time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery level(%)
2024-9-15 21:25:46:717,WTSensor3(8E7876082DDC),0.202,0.983,0.552,-2.808,36.194,-43.762,-135.55,-15.01,18.35,-20.55,-28.608,-50.542,0.90741,0.36447,-0.12747,0.16553,32.6,10080.1.13,100
2024-9-15 21:25:46:717,WTSensor3(8E7876082DDC),0.364,0.98,0.543,-9.033,36.072,-48.279,-135.58,-14.44,18.2,-20.55,-28.608,-50.542,0.90741,0.36447,-0.12747,0.16553,32.6,10080.1.13,100
2024-9-15 21:25:46:717,WTSensor3(8E7876082DDC),0.359,0.736,0.474,7.324,38.818,-40.71,-135.51,-13.9,18.09,-20.55,-28.608,-50.542,0.90741,0.36447,-0.12747,0.16553,32.6,10080.1.13,100
2024-9-15 21:25:46:717,WTSensor3(8E7876082DDC),0.383,0.605,0.627,13.55,37.415,-33.813,-135.37,-13.37,18.08,-20.55,-28.608,-50.542,0.90741,0.36447,-0.12747,0.16553,32.6,10080.1.13,100
2024-9-15 21:25:46:764,WTSensor3(8E7876082DDC),0.379,0.461,0.764,7.813,55.42,-28.87,-135.31,-12.78,18.18,-20.55,-28.608,-50.542,0.90741,0.36447,-0.12747,0.16553,32.6,10080.1.13,100
2024-9-15 21:25:46:764,WTSensor3(8E7876082DDC),0.548,0.327,0.786,9.216,39.795,-23.743,-135.23,-12.31,18.26,-20.55,-28.608,-50.542,0.90741,0.36447,-0.12747,0.16553,32.6,10080.1.13,100
2024-9-15 21:25:46:764,WTSensor3(8E7876082DDC),0.554,0.19,0.878,3.479,44.006,-11.047,-135.23,-11.89,18.45,-20.55,-28.608,-50.542,0.90741,0.36447,-0.12747,0.16553,32.6,10080.1.13,100
2024-9-15 21:25:46:764,WTSensor3(8E7876082DDC),0.51,0.269,0.927,0.427,51.941,5.92,-135.31,-11.52,18.82,-20.55,-28.608,-50.542,0.90741,0.36447,-0.12747,0.16553,32.6,10080.1.13,100
2024-9-15 21:25:46:792,WTSensor3(8E7876082DDC),0.377,0.291,0.902,-7.202,77.087,19.592,-135.5,-11.05,19.45,-20.55,-28.608,-50.542,0.90741,0.36447,-0.12747,0.16553,32.6,10080.1.13,100
2024-9-15 21:25:46:792,WTSensor3(8E7876082DDC),0.328,0.359,0.879,-5.859,86.731,27.222,-135.71,-10.53,20.22,-20.55,-28.608,-50.542,0.90741,0.36447,-0.12747,0.16553,32.6,10080.1.13,100
2024-9-15 21:25:46:792,WTSensor3(8E7876082DDC),0.15,0.509,0.862,-11.169,107.483,29.175,-135.99,-9.88,21.12,-20.55,-28.608,-50.542,0.90741,0.36447,-0.12747,0.16553,32.6,10080.1.13,100
