time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(Â°/s),AsY(Â°/s),AsZ(Â°/s),AngleX(Â°),AngleY(Â°),AngleZ(Â°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(Â°C),Version(),Battery
2024-9-19 20:55:37:847,WT901BLE67(626BC5B19267),0.296,-0.807,-0.441,-0.488,14.587,26.184,-119.2,-17.07,137.28,-31.1,95.325,-26.683,-0.30185,0.20734,0.83405,-0.41248,34.7,10080.1.13,100.0
2024-9-19 20:55:37:847,WT901BLE67(626BC5B19267),0.285,-0.801,-0.444,-1.282,14.587,25.391,-119.13,-16.92,137.03,-31.1,95.325,-26.683,-0.30185,0.20734,0.83405,-0.41248,34.7,10080.1.13,100.0
2024-9-19 20:55:37:847,WT901BLE67(626BC5B19267),0.262,-0.797,-0.444,-3.54,13.428,24.78,-119.09,-16.78,136.78,-26.358,95.708,-25.008,-0.30185,0.20734,0.83405,-0.41248,34.7,10080.1.13,100.0
2024-9-19 20:55:37:847,WT901BLE67(626BC5B19267),0.257,-0.792,-0.429,-5.371,11.169,23.926,-119.07,-16.63,136.57,-26.358,95.708,-25.008,-0.30185,0.20734,0.83405,-0.41248,34.7,10080.1.13,100.0
2024-9-19 20:55:37:906,WT901BLE67(626BC5B19267),0.238,-0.784,-0.425,-7.385,10.925,22.278,-119.08,-16.49,136.36,-26.358,95.708,-25.008,-0.30185,0.20734,0.83405,-0.41248,34.7,10080.1.13,100.0
2024-9-19 20:55:37:906,WT901BLE67(626BC5B19267),0.225,-0.777,-0.414,-8.85,9.521,19.714,-119.1,-16.37,136.18,-26.358,95.708,-25.008,-0.30185,0.20734,0.83405,-0.41248,34.7,10080.1.13,100.0
2024-9-19 20:55:37:906,WT901BLE67(626BC5B19267),0.205,-0.774,-0.409,-10.498,9.216,17.151,-119.15,-16.27,136.01,-26.358,95.708,-25.008,-0.30185,0.20734,0.83405,-0.41248,34.7,10080.1.13,100.0
2024-9-19 20:55:37:906,WT901BLE67(626BC5B19267),0.199,-0.768,-0.405,-12.329,10.01,14.221,-119.22,-16.19,135.86,-26.358,95.708,-25.008,-0.30185,0.20734,0.83405,-0.41248,34.7,10080.1.13,100.0
2024-9-19 20:55:37:936,WT901BLE67(626BC5B19267),0.191,-0.77,-0.409,-13.855,11.414,11.658,-119.31,-16.15,135.69,-26.358,95.708,-25.008,-0.30185,0.20734,0.83405,-0.41248,34.7,10080.1.13,100.0
2024-9-19 20:55:37:936,WT901BLE67(626BC5B19267),0.187,-0.773,-0.416,-15.381,12.024,8.972,-119.42,-16.13,135.55,-26.358,95.708,-25.008,-0.30185,0.20734,0.83405,-0.41248,34.7,10080.1.13,100.0
2024-9-19 20:55:37:936,WT901BLE67(626BC5B19267),0.183,-0.782,-0.431,-16.663,11.23,5.432,-119.54,-16.14,135.42,-26.358,95.708,-25.008,-0.30185,0.20734,0.83405,-0.41248,34.7,10080.1.13,100.0
2024-9-19 20:55:37:936,WT901BLE67(626BC5B19267),0.191,-0.786,-0.445,-17.761,8.728,2.075,-119.69,-16.17,135.35,-26.358,95.708,-25.008,-0.30185,0.20734,0.83405,-0.41248,34.7,10080.1.13,100.0
2024-9-19 20:55:37:966,WT901BLE67(626BC5B19267),0.199,-0.796,-0.458,-18.921,7.08,-0.671,-119.85,-16.22,135.28,-26.358,95.708,-25.008,-0.30185,0.20734,0.83405,-0.41248,34.7,10080.1.13,100.0
2024-9-19 20:55:37:966,WT901BLE67(626BC5B19267),0.2,-0.809,-0.47,-18.799,6.287,-3.357,-120.02,-16.28,135.25,-26.358,95.708,-25.008,-0.30185,0.20734,0.83405,-0.41248,34.7,10080.1.13,100.0
2024-9-19 20:55:37:967,WT901BLE67(626BC5B19267),0.196,-0.811,-0.476,-17.334,5.981,-5.005,-120.18,-16.36,135.22,-26.358,95.708,-25.008,-0.30185,0.20734,0.83405,-0.41248,34.7,10080.1.13,100.0
2024-9-19 20:55:37:967,WT901BLE67(626BC5B19267),0.21,-0.826,-0.483,-15.686,6.592,-5.859,-120.33,-16.45,135.21,-26.358,95.708,-25.008,-0.30185,0.20734,0.83405,-0.41248,34.7,10080.1.13,100.0
2024-9-19 20:55:38:26,WT901BLE67(626BC5B19267),0.224,-0.833,-0.502,-14.893,7.141,-6.653,-120.46,-16.54,135.18,-26.358,95.708,-25.008,-0.30185,0.20734,0.83405,-0.41248,34.7,10080.1.13,100.0
2024-9-19 20:55:38:26,WT901BLE67(626BC5B19267),0.221,-0.839,-0.52,-14.404,5.432,-8.057,-120.6,-16.64,135.19,-26.358,95.708,-25.008,-0.30185,0.20734,0.83405,-0.41248,34.7,10080.1.13,100.0
2024-9-19 20:55:38:26,WT901BLE67(626BC5B19267),0.235,-0.848,-0.521,-13.672,2.014,-9.644,-120.74,-16.74,135.22,-26.358,95.708,-25.008,-0.30185,0.20734,0.83405,-0.41248,34.7,10080.1.13,100.0
2024-9-19 20:55:38:26,WT901BLE67(626BC5B19267),0.237,-0.86,-0.528,-13.123,0.244,-11.108,-120.88,-16.84,135.29,-26.358,95.708,-25.008,-0.30185,0.20734,0.83405,-0.41248,34.7,10080.1.13,100.0
2024-9-19 20:55:38:57,WT901BLE67(626BC5B19267),0.254,-0.873,-0.542,-11.841,-1.465,-11.658,-121.01,-16.94,135.37,-26.358,95.708,-25.008,-0.30185,0.20734,0.83405,-0.41248,34.7,10080.1.13,100.0
2024-9-19 20:55:38:57,WT901BLE67(626BC5B19267),0.265,-0.889,-0.55,-10.498,-3.845,-12.207,-121.15,-17.02,135.48,-26.358,95.708,-25.008,-0.30185,0.20734,0.83405,-0.41248,34.7,10080.1.13,100.0
2024-9-19 20:55:38:57,WT901BLE67(626BC5B19267),0.282,-0.899,-0.543,-9.521,-6.836,-12.268,-121.27,-17.09,135.61,-26.358,95.708,-25.008,-0.30286,0.25745,0.82593,-0.39963,34.7,10080.1.13,100.0
2024-9-19 20:55:38:57,WT901BLE67(626BC5B19267),0.297,-0.907,-0.535,-10.62,-9.766,-11.23,-121.42,-17.15,135.77,-26.358,95.708,-25.008,-0.30286,0.25745,0.82593,-0.39963,34.7,10080.1.13,100.0
