time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery level(%)
2024-9-15 21:43:4:528,WTSensor3(8E7876082DDC),-0.938,0.086,-0.53,-0.549,-1.892,2.747,-4.08,61.23,130.47,51.525,31.642,31.925,0.48251,0.32687,0.79922,-0.14655,32.2,10080.1.13,100
2024-9-15 21:43:4:528,WTSensor3(8E7876082DDC),-0.936,0.075,-0.523,0.366,-0.977,2.625,-4.14,61.23,130.44,51.525,31.642,31.925,0.48251,0.32687,0.79922,-0.14655,32.2,10080.1.13,100
2024-9-15 21:43:4:528,WTSensor3(8E7876082DDC),-0.94,0.071,-0.504,1.282,-1.953,1.831,-4.17,61.26,130.39,51.525,31.642,31.925,0.48251,0.32687,0.79922,-0.14655,32.2,10080.1.13,100
2024-9-15 21:43:4:528,WTSensor3(8E7876082DDC),-0.947,0.066,-0.489,2.136,-4.333,0.549,-4.19,61.3,130.38,51.525,31.642,31.925,0.48251,0.32687,0.79922,-0.14655,32.2,10080.1.13,100
2024-9-15 21:43:4:558,WTSensor3(8E7876082DDC),-0.946,0.055,-0.467,2.197,-6.409,0.671,-4.2,61.36,130.34,51.525,31.642,31.925,0.48251,0.32687,0.79922,-0.14655,32.2,10080.1.13,100
2024-9-15 21:43:4:558,WTSensor3(8E7876082DDC),-0.939,0.054,-0.445,3.235,-6.226,1.282,-4.22,61.42,130.31,51.525,31.642,31.925,0.48251,0.32687,0.79922,-0.14655,32.2,10080.1.13,100
2024-9-15 21:43:4:558,WTSensor3(8E7876082DDC),-0.917,0.054,-0.428,2.136,-7.263,2.136,-4.26,61.48,130.24,51.525,31.642,31.925,0.48251,0.32687,0.79922,-0.14655,32.2,10080.1.13,100
2024-9-15 21:43:4:558,WTSensor3(8E7876082DDC),-0.896,0.057,-0.409,0.427,-7.507,2.319,-4.33,61.56,130.19,51.525,31.642,31.925,0.48251,0.32687,0.79922,-0.14655,32.2,10080.1.13,100
2024-9-15 21:43:4:603,WTSensor3(8E7876082DDC),-0.888,0.073,-0.396,-1.16,-6.287,3.418,-4.42,61.61,130.09,51.525,31.642,31.925,0.48251,0.32687,0.79922,-0.14655,32.2,10080.1.13,100
2024-9-15 21:43:4:603,WTSensor3(8E7876082DDC),-0.894,0.082,-0.413,-4.272,-2.502,3.784,-4.55,61.64,130.03,51.525,31.642,31.925,0.48251,0.32687,0.79922,-0.14655,32.2,10080.1.13,100
2024-9-15 21:43:4:603,WTSensor3(8E7876082DDC),-0.888,0.118,-0.448,-7.69,2.319,2.441,-4.66,61.61,129.98,51.525,31.642,31.925,0.48251,0.32687,0.79922,-0.14655,32.2,10080.1.13,100
2024-9-15 21:43:4:603,WTSensor3(8E7876082DDC),-0.913,0.118,-0.431,-7.629,7.202,1.892,-4.77,61.55,129.97,51.525,31.642,31.925,0.49075,0.32114,0.7973,-0.14215,32.2,10080.1.13,100
2024-9-15 21:43:4:648,WTSensor3(8E7876082DDC),-0.93,0.145,-0.427,-7.019,9.644,4.944,-4.92,61.45,129.9,51.525,31.642,31.925,0.49075,0.32114,0.7973,-0.14215,32.2,10080.1.13,100
