time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery level(%)
2024-9-16 20:37:22:900,WTSensor3(8E7876082DDC),-0.821,0.164,-0.521,0,0,0,-11.44,58.41,-111.7,16.217,-1.867,50.892,-0.3226,0.54556,-0.67584,-0.37604,28.8,10080.1.13,100
2024-9-16 20:37:22:900,WTSensor3(8E7876082DDC),-0.826,0.166,-0.523,0,0,0,-11.45,58.41,-111.71,16.217,-1.867,50.892,-0.3226,0.54556,-0.67584,-0.37604,28.8,10080.1.13,100
2024-9-16 20:37:22:901,WTSensor3(8E7876082DDC),-0.825,0.164,-0.525,0,0,0,-11.45,58.4,-111.73,16.217,-1.867,50.892,-0.3226,0.54556,-0.67584,-0.37604,28.8,10080.1.13,100
2024-9-16 20:37:22:901,WTSensor3(8E7876082DDC),-0.821,0.167,-0.524,0,0,0,-11.46,58.4,-111.73,16.217,-1.867,50.892,-0.3226,0.54556,-0.67584,-0.37604,28.8,10080.1.13,100
2024-9-16 20:37:22:944,WTSensor3(8E7876082DDC),-0.813,0.165,-0.519,0,0,0,-11.47,58.4,-111.74,16.217,-1.867,50.892,-0.3226,0.54556,-0.67584,-0.37604,28.8,10080.1.13,100
2024-9-16 20:37:22:944,WTSensor3(8E7876082DDC),-0.815,0.165,-0.517,0,0,0,-11.48,58.4,-111.75,16.217,-1.867,50.892,-0.3226,0.54556,-0.67584,-0.37604,28.8,10080.1.13,100
2024-9-16 20:37:22:944,WTSensor3(8E7876082DDC),-0.812,0.162,-0.513,0,0,0,-11.48,58.4,-111.75,16.217,-1.867,50.892,-0.3226,0.54556,-0.67584,-0.37604,28.8,10080.1.13,100
2024-9-16 20:37:22:944,WTSensor3(8E7876082DDC),-0.809,0.163,-0.512,0,0,0,-11.48,58.4,-111.77,16.217,-1.867,50.892,-0.3226,0.54556,-0.67584,-0.37604,28.8,10080.1.13,100
2024-9-16 20:37:22:988,WTSensor3(8E7876082DDC),-0.804,0.161,-0.509,0,0,0,-11.48,58.46,-111.79,16.217,-1.867,50.892,-0.3226,0.54556,-0.67584,-0.37604,28.8,10080.1.13,100
2024-9-16 20:37:22:988,WTSensor3(8E7876082DDC),-0.81,0.167,-0.51,0,0,0,-11.48,58.46,-111.82,16.217,-1.867,50.892,-0.3226,0.54556,-0.67584,-0.37604,28.8,10080.1.13,100
2024-9-16 20:37:22:988,WTSensor3(8E7876082DDC),-0.805,0.165,-0.515,0,0,0,-11.48,58.46,-111.82,16.217,-1.867,50.892,-0.3226,0.54556,-0.67584,-0.37604,28.8,10080.1.13,100
