time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery level(%)
2024-9-15 16:57:51:976,WT901BLE67(919C7A43D1FF),-0.542,0.775,-0.341,-1.404,-0.244,-0.183,111.18,35.86,-36,19.067,-43.217,-23.75,-0.43079,-0.80142,0.08069,0.40686,30.3,10080.1.7,100
2024-9-15 16:57:51:976,WT901BLE67(919C7A43D1FF),-0.547,0.769,-0.336,-1.404,0.061,0.122,111.16,35.86,-35.99,19.067,-43.217,-23.75,-0.43079,-0.80142,0.08069,0.40686,30.3,10080.1.7,100
2024-9-15 16:57:51:976,WT901BLE67(919C7A43D1FF),-0.542,0.771,-0.34,-1.465,0,0.061,111.15,35.86,-35.98,19.067,-43.217,-23.75,-0.43079,-0.80142,0.08069,0.40686,30.3,10080.1.7,100
2024-9-15 16:57:51:976,WT901BLE67(919C7A43D1FF),-0.539,0.772,-0.335,-1.465,-0.244,-0.122,111.13,35.86,-35.97,19.067,-43.217,-23.75,-0.43079,-0.80142,0.08069,0.40686,30.3,10080.1.7,100
2024-9-15 16:57:52:36,WT901BLE67(919C7A43D1FF),-0.544,0.772,-0.33,-1.587,-0.244,-0.305,111.12,35.87,-35.96,19.067,-43.217,-23.75,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:36,WT901BLE67(919C7A43D1FF),-0.546,0.769,-0.333,-1.526,0.061,-0.61,111.1,35.88,-35.95,19.067,-43.217,-23.75,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:36,WT901BLE67(919C7A43D1FF),-0.547,0.766,-0.331,-1.587,-0.061,-0.732,111.09,35.88,-35.94,19.067,-43.217,-23.75,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:37,WT901BLE67(919C7A43D1FF),-0.547,0.767,-0.328,-1.465,-0.122,-0.366,111.08,35.89,-35.93,19.067,-43.217,-23.75,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:66,WT901BLE67(919C7A43D1FF),-0.544,0.77,-0.325,-1.282,-0.793,-0.244,111.06,35.89,-35.93,19.067,-43.217,-23.75,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:66,WT901BLE67(919C7A43D1FF),-0.544,0.767,-0.326,-0.671,-0.366,-0.793,111.06,35.9,-35.91,19.067,-43.217,-23.75,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:66,WT901BLE67(919C7A43D1FF),-0.549,0.767,-0.331,0,0.671,-1.404,111.06,35.91,-35.9,19.067,-43.217,-23.75,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:66,WT901BLE67(919C7A43D1FF),-0.551,0.769,-0.33,0.305,0.916,-1.77,111.08,35.93,-35.86,19.067,-43.217,-23.75,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:97,WT901BLE67(919C7A43D1FF),-0.554,0.769,-0.328,0.183,0.305,-1.709,111.09,35.94,-35.84,19.067,-43.217,-23.75,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:97,WT901BLE67(919C7A43D1FF),-0.554,0.771,-0.329,0.183,-0.732,-1.587,111.09,35.95,-35.83,19.067,-43.217,-23.75,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:97,WT901BLE67(919C7A43D1FF),-0.553,0.774,-0.33,0,-1.404,-1.831,111.09,35.97,-35.83,19.067,-43.217,-23.75,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:97,WT901BLE67(919C7A43D1FF),-0.553,0.775,-0.335,-0.122,-1.404,-1.77,111.09,36,-35.83,19.067,-43.217,-23.75,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:156,WT901BLE67(919C7A43D1FF),-0.551,0.775,-0.339,-0.122,-0.793,-1.221,111.08,36.02,-35.82,19.067,-43.217,-23.75,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:156,WT901BLE67(919C7A43D1FF),-0.554,0.777,-0.34,0.061,-0.305,-0.549,111.08,36.02,-35.82,19.067,-43.217,-23.75,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:156,WT901BLE67(919C7A43D1FF),-0.555,0.777,-0.342,0.366,-0.122,-0.488,111.09,36.03,-35.8,19.067,-43.217,-23.75,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:156,WT901BLE67(919C7A43D1FF),-0.551,0.776,-0.342,0.366,-0.244,-0.427,111.09,36.04,-35.79,19.067,-43.217,-23.75,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:186,WT901BLE67(919C7A43D1FF),-0.551,0.774,-0.341,0.061,-0.549,-0.244,111.09,36.04,-35.79,19.067,-43.217,-23.75,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:186,WT901BLE67(919C7A43D1FF),-0.549,0.774,-0.342,-0.122,-0.549,-0.122,111.08,36.05,-35.79,19.067,-43.217,-23.75,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:186,WT901BLE67(919C7A43D1FF),-0.548,0.774,-0.342,-0.366,-0.549,-0.305,111.08,36.05,-35.78,19.067,-43.217,-23.75,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:186,WT901BLE67(919C7A43D1FF),-0.549,0.772,-0.344,-0.732,-0.305,-0.244,111.07,36.06,-35.78,19.067,-43.217,-23.75,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:216,WT901BLE67(919C7A43D1FF),-0.552,0.773,-0.344,-1.099,-0.183,0,111.06,36.06,-35.77,19.067,-43.217,-23.75,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:217,WT901BLE67(919C7A43D1FF),-0.548,0.773,-0.344,-1.221,-0.061,0.122,111.04,36.06,-35.76,19.333,-42.925,-24.325,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:217,WT901BLE67(919C7A43D1FF),-0.55,0.774,-0.34,-1.282,-0.122,0.244,111.03,36.06,-35.76,19.333,-42.925,-24.325,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:217,WT901BLE67(919C7A43D1FF),-0.549,0.772,-0.339,-1.282,0.122,0.061,111.01,36.06,-35.74,19.333,-42.925,-24.325,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:276,WT901BLE67(919C7A43D1FF),-0.543,0.771,-0.338,-1.343,0.183,-0.427,111,36.06,-35.73,19.333,-42.925,-24.325,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:276,WT901BLE67(919C7A43D1FF),-0.547,0.77,-0.332,-1.404,-0.061,-0.61,110.99,36.07,-35.72,19.333,-42.925,-24.325,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:277,WT901BLE67(919C7A43D1FF),-0.548,0.768,-0.33,-1.709,-0.061,-1.099,110.97,36.07,-35.71,19.333,-42.925,-24.325,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:277,WT901BLE67(919C7A43D1FF),-0.548,0.77,-0.332,-1.709,-0.122,-1.526,110.96,36.09,-35.69,19.333,-42.925,-24.325,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:306,WT901BLE67(919C7A43D1FF),-0.542,0.77,-0.33,-1.709,-0.244,-1.404,110.95,36.11,-35.68,19.333,-42.925,-24.325,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:306,WT901BLE67(919C7A43D1FF),-0.55,0.77,-0.325,-1.587,-0.061,-0.854,110.93,36.12,-35.67,19.333,-42.925,-24.325,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:306,WT901BLE67(919C7A43D1FF),-0.549,0.769,-0.329,-0.854,0.61,-0.977,110.93,36.12,-35.65,19.333,-42.925,-24.325,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:306,WT901BLE67(919C7A43D1FF),-0.544,0.769,-0.33,-0.122,0.732,-1.282,110.94,36.13,-35.62,19.333,-42.925,-24.325,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:338,WT901BLE67(919C7A43D1FF),-0.549,0.767,-0.326,0.061,0.854,-1.404,110.95,36.14,-35.6,19.333,-42.925,-24.325,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:338,WT901BLE67(919C7A43D1FF),-0.55,0.767,-0.328,0.122,1.282,-1.465,110.97,36.15,-35.57,19.333,-42.925,-24.325,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:338,WT901BLE67(919C7A43D1FF),-0.55,0.767,-0.33,0,0.977,-1.648,110.98,36.16,-35.54,19.333,-42.925,-24.325,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:338,WT901BLE67(919C7A43D1FF),-0.552,0.769,-0.327,0,0.793,-1.587,110.99,36.17,-35.51,19.333,-42.925,-24.325,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:396,WT901BLE67(919C7A43D1FF),-0.553,0.77,-0.33,0.061,0.854,-1.648,111.01,36.18,-35.49,19.333,-42.925,-24.325,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:397,WT901BLE67(919C7A43D1FF),-0.557,0.77,-0.332,0.305,0.916,-1.648,111.02,36.2,-35.46,19.333,-42.925,-24.325,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:397,WT901BLE67(919C7A43D1FF),-0.555,0.773,-0.336,0.549,0.977,-1.953,111.04,36.21,-35.43,19.333,-42.925,-24.325,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:397,WT901BLE67(919C7A43D1FF),-0.555,0.774,-0.336,0.61,1.038,-1.892,111.06,36.23,-35.4,19.333,-42.925,-24.325,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:457,WT901BLE67(919C7A43D1FF),-0.554,0.775,-0.334,0.488,1.282,-1.343,111.07,36.24,-35.36,19.333,-42.925,-24.325,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:457,WT901BLE67(919C7A43D1FF),-0.553,0.772,-0.332,0.427,0.916,-0.732,111.09,36.24,-35.34,19.333,-42.925,-24.325,-0.43338,-0.80002,0.07648,0.40765,30.3,10080.1.7,100
2024-9-15 16:57:52:457,WT901BLE67(919C7A43D1FF),-0.552,0.772,-0.332,0.549,0.916,-0.793,111.1,36.24,-35.32,19.333,-42.925,-24.325,-0.43439,-0.80017,0.07001,0.40747,30.3,10080.1.7,100
2024-9-15 16:57:52:457,WT901BLE67(919C7A43D1FF),-0.549,0.771,-0.335,0.732,1.038,-0.977,111.12,36.25,-35.29,19.333,-42.925,-24.325,-0.43439,-0.80017,0.07001,0.40747,30.3,10080.1.7,100
2024-9-15 16:57:52:487,WT901BLE67(919C7A43D1FF),-0.548,0.768,-0.333,0.916,1.099,-0.977,111.14,36.25,-35.27,19.333,-42.925,-24.325,-0.43439,-0.80017,0.07001,0.40747,30.3,10080.1.7,100
2024-9-15 16:57:52:487,WT901BLE67(919C7A43D1FF),-0.551,0.766,-0.334,1.038,1.343,-0.793,111.15,36.26,-35.24,19.333,-42.925,-24.325,-0.43439,-0.80017,0.07001,0.40747,30.3,10080.1.7,100
2024-9-15 16:57:52:487,WT901BLE67(919C7A43D1FF),-0.557,0.766,-0.336,1.221,0.977,-0.793,111.18,36.27,-35.22,19.333,-42.925,-24.325,-0.43439,-0.80017,0.07001,0.40747,30.3,10080.1.7,100
2024-9-15 16:57:52:487,WT901BLE67(919C7A43D1FF),-0.552,0.772,-0.34,0.977,0.916,-1.465,111.2,36.27,-35.19,19.333,-42.925,-24.325,-0.43439,-0.80017,0.07001,0.40747,30.3,10080.1.7,100
2024-9-15 16:57:52:516,WT901BLE67(919C7A43D1FF),-0.558,0.773,-0.337,0.427,0.488,-1.343,111.21,36.28,-35.17,19.333,-42.925,-24.325,-0.43439,-0.80017,0.07001,0.40747,30.3,10080.1.7,100
2024-9-15 16:57:52:516,WT901BLE67(919C7A43D1FF),-0.562,0.772,-0.337,-0.122,0.549,-1.343,111.22,36.29,-35.15,19.333,-42.925,-24.325,-0.43439,-0.80017,0.07001,0.40747,30.3,10080.1.7,100
2024-9-15 16:57:52:517,WT901BLE67(919C7A43D1FF),-0.559,0.772,-0.339,-0.305,0.366,-1.709,111.23,36.31,-35.12,19.333,-42.925,-24.325,-0.43439,-0.80017,0.07001,0.40747,30.3,10080.1.7,100
2024-9-15 16:57:52:517,WT901BLE67(919C7A43D1FF),-0.554,0.773,-0.337,-0.244,0.122,-1.892,111.23,36.33,-35.11,19.333,-42.925,-24.325,-0.43439,-0.80017,0.07001,0.40747,30.3,10080.1.7,100
2024-9-15 16:57:52:546,WT901BLE67(919C7A43D1FF),-0.556,0.77,-0.332,-0.427,0.244,-1.343,111.23,36.34,-35.08,19.333,-42.925,-24.325,-0.43439,-0.80017,0.07001,0.40747,30.3,10080.1.7,100
2024-9-15 16:57:52:546,WT901BLE67(919C7A43D1FF),-0.56,0.766,-0.334,-0.427,0.549,-0.793,111.23,36.35,-35.07,19.333,-42.925,-24.325,-0.43439,-0.80017,0.07001,0.40747,30.3,10080.1.7,100
2024-9-15 16:57:52:546,WT901BLE67(919C7A43D1FF),-0.561,0.765,-0.336,0,0.61,-0.671,111.23,36.35,-35.05,19.333,-42.925,-24.325,-0.43439,-0.80017,0.07001,0.40747,30.3,10080.1.7,100
2024-9-15 16:57:52:546,WT901BLE67(919C7A43D1FF),-0.556,0.766,-0.335,0.244,0.61,-0.549,111.24,36.36,-35.03,19.333,-42.925,-24.325,-0.43439,-0.80017,0.07001,0.40747,30.3,10080.1.7,100
2024-9-15 16:57:52:606,WT901BLE67(919C7A43D1FF),-0.555,0.767,-0.333,0.183,0.366,0.305,111.24,36.35,-35.02,19.333,-42.925,-24.325,-0.43439,-0.80017,0.07001,0.40747,30.3,10080.1.7,100
2024-9-15 16:57:52:607,WT901BLE67(919C7A43D1FF),-0.56,0.769,-0.33,0,0.977,1.953,111.24,36.34,-35.01,19.333,-42.925,-24.325,-0.43439,-0.80017,0.07001,0.40747,30.3,10080.1.7,100
2024-9-15 16:57:52:607,WT901BLE67(919C7A43D1FF),-0.564,0.772,-0.337,0.305,2.014,2.991,111.25,36.31,-34.99,19.333,-42.925,-24.325,-0.43439,-0.80017,0.07001,0.40747,30.3,10080.1.7,100
2024-9-15 16:57:52:607,WT901BLE67(919C7A43D1FF),-0.564,0.776,-0.34,1.282,2.563,2.869,111.27,36.28,-34.97,19.333,-42.925,-24.325,-0.43439,-0.80017,0.07001,0.40747,30.3,10080.1.7,100
2024-9-15 16:57:52:637,WT901BLE67(919C7A43D1FF),-0.561,0.781,-0.338,1.343,2.258,2.686,111.29,36.24,-34.94,19.333,-42.925,-24.325,-0.43439,-0.80017,0.07001,0.40747,30.3,10080.1.7,100
