time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-1-7 10:55:4.822	WTSensor3(80E44C2649CB)	0.353	0.980	0.776	2.380	7.629	4.944	-146.45	-21.42	121.65	-32.292	-42.475	-16.892	0.40491	0.33890	0.10187	0.84302	25.4	10080.1.13	100
2025-1-7 10:55:4.822	WTSensor3(80E44C2649CB)	0.293	0.873	0.840	1.892	4.517	7.690	-146.48	-21.41	121.74	-32.292	-42.475	-16.892	0.42358	0.27679	0.11642	0.85458	25.4	10080.1.13	100
2025-1-7 10:55:4.822	WTSensor3(80E44C2649CB)	0.333	0.823	0.815	3.296	-2.380	10.132	-146.48	-21.46	121.84	-32.292	-42.475	-16.892	0.42358	0.27679	0.11642	0.85458	25.4	10080.1.13	100
2025-1-7 10:55:4.822	WTSensor3(80E44C2649CB)	0.278	0.679	0.912	4.578	-6.653	10.803	-146.48	-21.58	121.91	-32.292	-42.475	-16.892	0.42358	0.27679	0.11642	0.85458	25.4	10080.1.13	100
2025-1-7 10:55:4.847	WTSensor3(80E44C2649CB)	0.454	0.395	0.890	-3.906	-18.860	17.456	-146.55	-21.80	122.00	-32.292	-42.475	-16.892	0.42358	0.27679	0.11642	0.85458	25.4	10080.1.13	100
2025-1-7 10:55:4.847	WTSensor3(80E44C2649CB)	0.150	0.708	0.918	-10.742	-31.799	26.733	-146.69	-22.15	122.11	-32.292	-42.475	-16.892	0.42358	0.27679	0.11642	0.85458	25.4	10080.1.13	100
2025-1-7 10:55:4.847	WTSensor3(80E44C2649CB)	0.254	0.638	0.770	-16.724	-32.410	32.898	-146.95	-22.60	122.28	-32.292	-42.475	-16.892	0.42358	0.27679	0.11642	0.85458	25.4	10080.1.13	100
2025-1-7 10:55:4.847	WTSensor3(80E44C2649CB)	0.378	0.356	0.758	-25.085	-28.992	11.169	-147.19	-22.89	122.27	-32.292	-42.475	-16.892	0.42358	0.27679	0.11642	0.85458	25.4	10080.1.13	100
2025-1-7 10:55:4.878	WTSensor3(80E44C2649CB)	0.354	0.104	0.836	-39.429	-16.663	-0.671	-147.56	-23.04	122.20	-32.292	-42.475	-16.892	0.42358	0.27679	0.11642	0.85458	25.4	10080.1.13	100
2025-1-7 10:55:4.878	WTSensor3(80E44C2649CB)	0.412	-0.197	0.610	-44.067	-13.977	-4.822	-147.96	-23.13	122.10	-32.292	-42.475	-16.892	0.42358	0.27679	0.11642	0.85458	25.4	10080.1.13	100
2025-1-7 10:55:4.878	WTSensor3(80E44C2649CB)	0.647	-0.508	0.693	-30.945	-5.798	-10.254	-148.23	-23.14	121.98	-32.292	-42.475	-16.892	0.42358	0.27679	0.11642	0.85458	25.4	10080.1.13	100
2025-1-7 10:55:4.878	WTSensor3(80E44C2649CB)	0.473	-0.468	0.811	-14.221	-10.254	-2.869	-148.35	-23.20	121.89	-32.292	-42.475	-16.892	0.42358	0.27679	0.11642	0.85458	25.4	10080.1.13	100
2025-1-7 10:55:4.938	WTSensor3(80E44C2649CB)	0.516	-0.504	0.792	1.892	-18.311	7.446	-148.35	-23.39	121.88	-32.292	-42.475	-16.892	0.42358	0.27679	0.11642	0.85458	25.4	10080.1.13	100
2025-1-7 10:55:4.938	WTSensor3(80E44C2649CB)	0.429	-0.491	0.880	-2.625	-28.992	2.686	-148.34	-23.65	121.77	-32.292	-42.475	-16.892	0.42358	0.27679	0.11642	0.85458	25.4	10080.1.13	100
2025-1-7 10:55:4.938	WTSensor3(80E44C2649CB)	0.498	-0.409	0.912	-14.832	-38.635	-13.306	-148.36	-23.94	121.48	-32.292	-42.475	-16.892	0.42358	0.27679	0.11642	0.85458	25.4	10080.1.13	100
2025-1-7 10:55:4.938	WTSensor3(80E44C2649CB)	0.390	-0.329	0.901	-28.259	-39.856	-32.776	-148.44	-24.14	120.97	-32.292	-42.475	-16.892	0.42358	0.27679	0.11642	0.85458	25.4	10080.1.13	100
2025-1-7 10:55:4.967	WTSensor3(80E44C2649CB)	0.465	-0.059	0.980	-46.814	-26.978	-54.443	-148.63	-24.15	120.33	-32.292	-42.475	-16.892	0.42358	0.27679	0.11642	0.85458	25.4	10080.1.13	100
2025-1-7 10:55:4.968	WTSensor3(80E44C2649CB)	0.517	0.420	0.923	-68.848	-4.150	-64.270	-148.99	-24.01	119.61	-32.292	-42.475	-16.892	0.42358	0.27679	0.11642	0.85458	25.4	10080.1.13	100
2025-1-7 10:55:4.968	WTSensor3(80E44C2649CB)	0.156	0.925	0.562	-53.955	-2.747	-53.345	-149.29	-23.81	119.05	-32.292	-42.475	-16.892	0.42358	0.27679	0.11642	0.85458	25.4	10080.1.13	100
2025-1-7 10:55:4.968	WTSensor3(80E44C2649CB)	0.349	1.280	0.476	-0.732	9.705	-40.649	-149.19	-23.58	118.66	-32.292	-42.475	-16.892	0.42358	0.27679	0.11642	0.85458	25.4	10080.1.13	100
2025-1-7 10:55:4.999	WTSensor3(80E44C2649CB)	0.213	1.566	1.005	-1.831	-0.977	-29.419	-149.08	-23.46	118.36	-32.292	-42.475	-16.892	0.42358	0.27679	0.11642	0.85458	25.4	10080.1.13	100
