time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery level(%)
2024-9-19 21:18:10:146,WT901BLE67(3814C7167C24),0.278,0.508,2.772,-5.127,-25.391,13.245,44.41,-18.2,2.05,25.05,-48.283,-39.683,-0.90717,-0.39606,0.12881,-0.05899,34.3,10080.1.7,10
2024-9-19 21:18:10:146,WT901BLE67(3814C7167C24),0.292,0.492,2.806,-7.385,-29.724,13.306,44.37,-18.46,1.96,25.05,-48.283,-39.683,-0.90717,-0.39606,0.12881,-0.05899,34.3,10080.1.7,10
2024-9-19 21:18:10:146,WT901BLE67(3814C7167C24),0.271,0.482,2.813,-14.465,-41.626,16.174,44.3,-18.81,1.81,25.05,-48.283,-39.683,-0.90717,-0.39606,0.12881,-0.05899,34.3,10080.1.7,10
2024-9-19 21:18:10:146,WT901BLE67(3814C7167C24),0.239,0.536,2.811,-13.245,-44.495,17.334,44.21,-19.23,1.63,25.05,-48.283,-39.683,-0.90717,-0.39606,0.12881,-0.05899,34.3,10080.1.7,10
2024-9-19 21:18:10:206,WT901BLE67(3814C7167C24),0.23,0.595,2.844,-13.428,-39.307,15.686,44.14,-19.6,1.47,25.05,-48.283,-39.683,-0.90717,-0.39606,0.12881,-0.05899,34.3,10080.1.7,10
2024-9-19 21:18:10:207,WT901BLE67(3814C7167C24),0.218,0.601,2.839,-20.447,-44.25,14.038,44.01,-19.97,1.28,25.05,-48.283,-39.683,-0.90717,-0.39606,0.12881,-0.05899,34.3,10080.1.7,10
2024-9-19 21:18:10:207,WT901BLE67(3814C7167C24),0.25,0.611,2.854,-26.001,-47.546,9.949,43.85,-20.35,1.03,25.05,-48.283,-39.683,-0.90717,-0.39606,0.12881,-0.05899,34.3,10080.1.7,10
2024-9-19 21:18:10:207,WT901BLE67(3814C7167C24),0.291,0.594,2.83,-27.71,-46.631,5.615,43.68,-20.7,0.76,25.05,-48.283,-39.683,-0.90717,-0.39606,0.12881,-0.05899,34.3,10080.1.7,10
2024-9-19 21:18:10:236,WT901BLE67(3814C7167C24),0.313,0.594,2.827,-25.94,-42.114,2.441,43.52,-21,0.47,25.05,-48.283,-39.683,-0.90717,-0.39606,0.12881,-0.05899,34.3,10080.1.7,10
2024-9-19 21:18:10:236,WT901BLE67(3814C7167C24),0.351,0.559,2.798,-24.719,-30.457,0,43.35,-21.2,0.25,25.05,-48.283,-39.683,-0.90717,-0.39606,0.12881,-0.05899,34.3,10080.1.7,10
2024-9-19 21:18:10:236,WT901BLE67(3814C7167C24),0.373,0.515,2.746,-23.315,-33.203,1.221,43.19,-21.41,0.04,25.05,-48.283,-39.683,-0.90717,-0.39606,0.12881,-0.05899,34.3,10080.1.7,10
2024-9-19 21:18:10:236,WT901BLE67(3814C7167C24),0.362,0.514,2.752,-19.531,-26.794,2.502,43.06,-21.59,-0.13,25.05,-48.283,-39.683,-0.90717,-0.39606,0.12881,-0.05899,34.3,10080.1.7,10
2024-9-19 21:18:10:267,WT901BLE67(3814C7167C24),0.335,0.527,2.743,-18.616,-22.827,3.784,42.92,-21.76,-0.26,25.05,-48.283,-39.683,-0.90717,-0.39606,0.12881,-0.05899,34.3,10080.1.7,10
2024-9-19 21:18:10:267,WT901BLE67(3814C7167C24),0.311,0.551,2.758,-15.625,-19.348,4.639,42.79,-21.91,-0.36,25.05,-48.283,-39.683,-0.90717,-0.39606,0.12881,-0.05899,34.3,10080.1.7,10
2024-9-19 21:18:10:267,WT901BLE67(3814C7167C24),0.303,0.575,2.771,-16.541,-16.357,4.089,42.67,-22.03,-0.43,25.05,-48.283,-39.683,-0.90717,-0.39606,0.12881,-0.05899,34.3,10080.1.7,10
2024-9-19 21:18:10:267,WT901BLE67(3814C7167C24),0.334,0.563,2.74,-15.015,-16.724,2.93,42.54,-22.14,-0.51,25.05,-48.283,-39.683,-0.90717,-0.39606,0.12881,-0.05899,34.3,10080.1.7,10
2024-9-19 21:18:10:326,WT901BLE67(3814C7167C24),0.336,0.556,2.814,-15.442,-19.958,1.16,42.44,-22.26,-0.62,25.05,-48.283,-39.683,-0.90717,-0.39606,0.12881,-0.05899,34.3,10080.1.7,10
2024-9-19 21:18:10:327,WT901BLE67(3814C7167C24),0.374,0.514,2.792,-15.991,-18.494,1.282,42.32,-22.36,-0.73,25.05,-48.283,-39.683,-0.90717,-0.39606,0.12881,-0.05899,34.3,10080.1.7,10
2024-9-19 21:18:10:327,WT901BLE67(3814C7167C24),0.405,0.487,2.8,-15.747,-19.287,1.648,42.21,-22.48,-0.83,25.05,-48.283,-39.683,-0.90717,-0.39606,0.12881,-0.05899,34.3,10080.1.7,10
2024-9-19 21:18:10:327,WT901BLE67(3814C7167C24),0.434,0.461,2.778,-21.484,-22.339,2.808,42.06,-22.63,-0.96,25.05,-48.283,-39.683,-0.90717,-0.39606,0.12881,-0.05899,34.3,10080.1.7,10
2024-9-19 21:18:10:359,WT901BLE67(3814C7167C24),0.43,0.436,2.755,-20.386,-24.414,4.7,41.9,-22.8,-1.08,25.05,-48.283,-39.683,-0.90717,-0.39606,0.12881,-0.05899,34.3,10080.1.7,10
2024-9-19 21:18:10:359,WT901BLE67(3814C7167C24),0.403,0.44,2.783,-20.691,-16.602,6.836,41.73,-22.96,-1.15,25.05,-48.283,-39.683,-0.90717,-0.39606,0.12881,-0.05899,34.3,10080.1.7,10
2024-9-19 21:18:10:359,WT901BLE67(3814C7167C24),0.384,0.443,2.759,-21.79,-12.451,5.188,41.52,-23.07,-1.18,25.05,-48.283,-39.683,-0.90717,-0.39606,0.12881,-0.05899,34.3,10080.1.7,10
