time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery level(%)
2024-9-19 20:34:52:945,WT901BLE67(3814C7167C24),0.175,0.927,1.452,-0.122,-0.244,0,74.6,-6.02,155.91,13.317,-74.033,41.283,0.13474,0.1669,0.58353,0.78317,33.2,10080.1.7,20
2024-9-19 20:34:52:946,WT901BLE67(3814C7167C24),0.175,0.927,1.453,0,0,-0.061,74.59,-6.03,155.91,13.317,-74.033,41.283,0.13474,0.1669,0.58353,0.78317,33.2,10080.1.7,20
2024-9-19 20:34:52:946,WT901BLE67(3814C7167C24),0.173,0.927,1.452,0.305,0.488,-0.427,74.58,-6.04,155.92,13.317,-74.033,41.283,0.13474,0.1669,0.58353,0.78317,33.2,10080.1.7,20
2024-9-19 20:34:52:946,WT901BLE67(3814C7167C24),0.17,0.927,1.451,0.427,0.549,-0.793,74.57,-6.04,155.93,13.317,-74.033,41.283,0.13474,0.1669,0.58353,0.78317,33.2,10080.1.7,20
2024-9-19 20:34:53:5,WT901BLE67(3814C7167C24),0.167,0.928,1.446,0.488,0.549,-1.343,74.56,-6.04,155.93,13.317,-74.033,41.283,0.13474,0.1669,0.58353,0.78317,33.2,10080.1.7,20
2024-9-19 20:34:53:5,WT901BLE67(3814C7167C24),0.165,0.929,1.442,0.305,0.122,-1.587,74.55,-6.04,155.93,13.317,-74.033,41.283,0.13474,0.1669,0.58353,0.78317,33.2,10080.1.7,20
2024-9-19 20:34:53:5,WT901BLE67(3814C7167C24),0.162,0.929,1.441,0.061,-0.061,-1.648,74.55,-6.03,155.93,13.317,-74.033,41.283,0.13474,0.1669,0.58353,0.78317,33.2,10080.1.7,20
2024-9-19 20:34:53:5,WT901BLE67(3814C7167C24),0.16,0.929,1.443,0,-0.061,-1.404,74.54,-6.03,155.93,13.317,-74.033,41.283,0.13474,0.1669,0.58353,0.78317,33.2,10080.1.7,20
2024-9-19 20:34:53:37,WT901BLE67(3814C7167C24),0.157,0.929,1.446,0,0.244,-0.977,74.53,-6.03,155.93,13.317,-74.033,41.283,0.13474,0.1669,0.58353,0.78317,33.2,10080.1.7,20
2024-9-19 20:34:53:37,WT901BLE67(3814C7167C24),0.154,0.929,1.449,0.183,0.549,-0.549,74.51,-6.04,155.93,13.317,-74.033,41.283,0.13474,0.1669,0.58353,0.78317,33.2,10080.1.7,20
2024-9-19 20:34:53:37,WT901BLE67(3814C7167C24),0.151,0.928,1.447,0.366,0.854,-0.183,74.5,-6.05,155.95,13.317,-74.033,41.283,0.13474,0.1669,0.58353,0.78317,33.2,10080.1.7,20
2024-9-19 20:34:53:37,WT901BLE67(3814C7167C24),0.152,0.93,1.441,0.671,0.793,0.061,74.5,-6.05,155.96,13.317,-74.033,41.283,0.13474,0.1669,0.58353,0.78317,33.2,10080.1.7,20
2024-9-19 20:34:53:65,WT901BLE67(3814C7167C24),0.157,0.931,1.434,0.793,0,0.488,74.49,-6.07,155.96,13.317,-74.033,41.283,0.13474,0.1669,0.58353,0.78317,33.2,10080.1.7,20
2024-9-19 20:34:53:65,WT901BLE67(3814C7167C24),0.16,0.934,1.432,0.183,-0.977,0.793,74.49,-6.09,155.96,13.317,-74.033,41.283,0.13474,0.1669,0.58353,0.78317,33.2,10080.1.7,20
2024-9-19 20:34:53:65,WT901BLE67(3814C7167C24),0.165,0.933,1.433,-0.61,-1.648,0.977,74.47,-6.11,155.95,13.317,-74.033,41.283,0.13474,0.1669,0.58353,0.78317,33.2,10080.1.7,20
2024-9-19 20:34:53:65,WT901BLE67(3814C7167C24),0.171,0.932,1.437,-1.221,-1.77,1.16,74.45,-6.14,155.94,13.317,-74.033,41.283,0.13474,0.1669,0.58353,0.78317,33.2,10080.1.7,20
2024-9-19 20:34:53:127,WT901BLE67(3814C7167C24),0.174,0.932,1.444,-1.404,-0.916,1.404,74.43,-6.17,155.93,13.317,-74.033,41.283,0.13474,0.1669,0.58353,0.78317,33.2,10080.1.7,20
2024-9-19 20:34:53:127,WT901BLE67(3814C7167C24),0.171,0.931,1.456,-1.221,0,1.892,74.4,-6.2,155.94,13.317,-74.033,41.283,0.13474,0.1669,0.58353,0.78317,33.2,10080.1.7,20
