time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery level(%)
2024-9-16 20:36:56:282,WT901BLE67(C3F20D2DC0A7),-0.314,0.633,-0.716,-2.075,2.686,1.282,138.66,18.18,110.78,43.2,-44.808,69.008,-0.32047,-0.48264,-0.79074,-0.19742,32.1,10080.1.7,10
2024-9-16 20:36:56:282,WT901BLE67(C3F20D2DC0A7),-0.313,0.633,-0.712,-1.526,1.953,0.671,138.65,18.16,110.78,43.2,-44.808,69.008,-0.32047,-0.48264,-0.79074,-0.19742,32.1,10080.1.7,10
2024-9-16 20:36:56:282,WT901BLE67(C3F20D2DC0A7),-0.314,0.627,-0.708,-1.404,2.014,0.122,138.64,18.14,110.79,43.2,-44.808,69.008,-0.32047,-0.48264,-0.79074,-0.19742,32.1,10080.1.7,10
2024-9-16 20:36:56:282,WT901BLE67(C3F20D2DC0A7),-0.32,0.618,-0.711,-1.77,3.54,0.305,138.63,18.12,110.81,43.2,-44.808,69.008,-0.32047,-0.48264,-0.79074,-0.19742,32.1,10080.1.7,10
2024-9-16 20:36:56:310,WT901BLE67(C3F20D2DC0A7),-0.333,0.614,-0.716,-3.052,5.554,1.587,138.61,18.08,110.84,43.2,-44.808,69.008,-0.32047,-0.48264,-0.79074,-0.19742,32.1,10080.1.7,10
2024-9-16 20:36:56:310,WT901BLE67(C3F20D2DC0A7),-0.332,0.613,-0.741,-8.728,9.827,5.31,138.55,17.98,110.87,43.2,-44.808,69.008,-0.32047,-0.48264,-0.79074,-0.19742,32.1,10080.1.7,10
2024-9-16 20:36:56:310,WT901BLE67(C3F20D2DC0A7),-0.331,0.606,-0.746,-13.123,10.437,8.484,138.44,17.86,110.89,43.2,-44.808,69.008,-0.32047,-0.48264,-0.79074,-0.19742,32.1,10080.1.7,10
2024-9-16 20:36:56:311,WT901BLE67(C3F20D2DC0A7),-0.321,0.609,-0.729,-16.785,9.583,12.695,138.28,17.71,110.86,43.2,-44.808,69.008,-0.3179,-0.47888,-0.79105,-0.20914,32.1,10080.1.7,10
2024-9-16 20:36:56:340,WT901BLE67(C3F20D2DC0A7),-0.314,0.622,-0.712,-20.081,11.841,15.625,138.08,17.53,110.82,43.2,-44.808,69.008,-0.3179,-0.47888,-0.79105,-0.20914,32.1,10080.1.7,10
2024-9-16 20:36:56:340,WT901BLE67(C3F20D2DC0A7),-0.336,0.691,-0.682,-21.912,21.729,14.893,137.87,17.29,110.84,43.2,-44.808,69.008,-0.3179,-0.47888,-0.79105,-0.20914,32.1,10080.1.7,10
