time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery level(%)
2024-9-19 20:46:10:561,WT901BLE67(55590BCD736A),-0.015,-0.807,-0.598,-1.038,-11.169,-9.583,-127.12,4.84,-156.68,2.675,82.158,23.533,0.12634,-0.1608,0.88013,-0.42834,36.4,10080.1.7,75
2024-9-19 20:46:10:561,WT901BLE67(55590BCD736A),-0.062,-0.819,-0.594,-2.747,-4.883,-7.751,-127.13,4.81,-156.58,2.675,82.158,23.533,0.12634,-0.1608,0.88013,-0.42834,36.4,10080.1.7,75
2024-9-19 20:46:10:561,WT901BLE67(55590BCD736A),-0.081,-0.826,-0.587,-6.165,-5.188,-7.446,-127.17,4.77,-156.49,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
2024-9-19 20:46:10:561,WT901BLE67(55590BCD736A),-0.104,-0.828,-0.607,-8.484,-6.042,-8.911,-127.23,4.74,-156.4,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
2024-9-19 20:46:10:622,WT901BLE67(55590BCD736A),-0.099,-0.85,-0.62,-10.254,-8.423,-6.165,-127.32,4.72,-156.29,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
2024-9-19 20:46:10:622,WT901BLE67(55590BCD736A),-0.103,-0.786,-0.625,-8.911,-8.057,-2.563,-127.39,4.75,-156.2,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
2024-9-19 20:46:10:622,WT901BLE67(55590BCD736A),-0.107,-0.773,-0.625,-7.751,-6.531,-2.502,-127.47,4.77,-156.14,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
2024-9-19 20:46:10:622,WT901BLE67(55590BCD736A),-0.096,-0.773,-0.617,-7.263,-2.075,-2.502,-127.54,4.77,-156.1,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
2024-9-19 20:46:10:653,WT901BLE67(55590BCD736A),-0.12,-0.742,-0.614,-5.432,0.244,-2.319,-127.6,4.75,-156.08,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
2024-9-19 20:46:10:653,WT901BLE67(55590BCD736A),-0.098,-0.784,-0.578,-6.775,2.869,-1.953,-127.66,4.72,-156.09,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
2024-9-19 20:46:10:653,WT901BLE67(55590BCD736A),-0.091,-0.739,-0.586,-4.089,3.845,-1.892,-127.7,4.69,-156.1,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
2024-9-19 20:46:10:653,WT901BLE67(55590BCD736A),-0.095,-0.754,-0.57,-3.906,1.16,-1.526,-127.73,4.66,-156.11,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
2024-9-19 20:46:10:681,WT901BLE67(55590BCD736A),-0.099,-0.729,-0.576,-2.014,0.183,0.061,-127.76,4.66,-156.12,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
2024-9-19 20:46:10:681,WT901BLE67(55590BCD736A),-0.096,-0.744,-0.572,-1.16,-0.183,0.916,-127.78,4.67,-156.12,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
2024-9-19 20:46:10:681,WT901BLE67(55590BCD736A),-0.087,-0.769,-0.573,-0.244,-1.77,1.831,-127.78,4.69,-156.12,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
2024-9-19 20:46:10:681,WT901BLE67(55590BCD736A),-0.08,-0.782,-0.574,0.671,-2.625,2.563,-127.78,4.73,-156.12,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
2024-9-19 20:46:10:742,WT901BLE67(55590BCD736A),-0.075,-0.782,-0.582,0.549,-3.113,2.747,-127.78,4.77,-156.11,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
2024-9-19 20:46:10:742,WT901BLE67(55590BCD736A),-0.074,-0.774,-0.597,1.16,-2.991,1.892,-127.77,4.81,-156.1,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
2024-9-19 20:46:10:742,WT901BLE67(55590BCD736A),-0.075,-0.767,-0.615,2.747,-3.296,-1.77,-127.74,4.83,-156.07,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
2024-9-19 20:46:10:742,WT901BLE67(55590BCD736A),-0.071,-0.792,-0.631,3.54,-3.479,-1.343,-127.71,4.84,-156.03,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
2024-9-19 20:46:10:781,WT901BLE67(55590BCD736A),-0.071,-0.793,-0.639,3.418,-1.648,0.916,-127.68,4.86,-156.02,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
2024-9-19 20:46:10:781,WT901BLE67(55590BCD736A),-0.065,-0.797,-0.635,2.991,0.671,1.892,-127.64,4.87,-156.03,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
2024-9-19 20:46:10:781,WT901BLE67(55590BCD736A),-0.064,-0.804,-0.632,2.319,2.258,2.38,-127.63,4.88,-156.07,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
2024-9-19 20:46:10:781,WT901BLE67(55590BCD736A),-0.06,-0.797,-0.628,1.404,2.808,2.808,-127.61,4.88,-156.1,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
2024-9-19 20:46:10:831,WT901BLE67(55590BCD736A),-0.056,-0.8,-0.612,0.732,2.808,2.502,-127.61,4.89,-156.14,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
2024-9-19 20:46:10:832,WT901BLE67(55590BCD736A),-0.051,-0.801,-0.606,0.183,2.38,1.831,-127.61,4.89,-156.18,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
2024-9-19 20:46:10:832,WT901BLE67(55590BCD736A),-0.052,-0.8,-0.599,-0.732,2.197,0.977,-127.62,4.89,-156.2,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
2024-9-19 20:46:10:832,WT901BLE67(55590BCD736A),-0.052,-0.797,-0.597,-1.465,1.709,0,-127.63,4.88,-156.22,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
2024-9-19 20:46:10:862,WT901BLE67(55590BCD736A),-0.063,-0.792,-0.603,-1.648,0.977,-0.732,-127.64,4.87,-156.23,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
2024-9-19 20:46:10:862,WT901BLE67(55590BCD736A),-0.069,-0.791,-0.607,-1.831,1.221,-1.343,-127.66,4.85,-156.23,2.675,82.158,23.533,0.12701,-0.16452,0.87985,-0.42728,36.4,10080.1.7,75
