time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery level(%)
2024-9-15 20:42:25:563,WTSensor3(8E7876082DDC),-0.906,0.376,-0.389,-26.55,-32.654,4.395,-24.85,68.54,-57,39.983,-10.817,-5.733,-0.12704,0.71103,-0.28986,-0.62781,28.1,10080.1.13,100
2024-9-15 20:42:25:563,WTSensor3(8E7876082DDC),-0.937,0.391,-0.407,-22.339,-47.485,12.573,-25.89,68.88,-57.88,39.983,-10.817,-5.733,-0.12704,0.71103,-0.28986,-0.62781,28.1,10080.1.13,100
2024-9-15 20:42:25:563,WTSensor3(8E7876082DDC),-0.81,0.362,-0.43,-18.494,-68.237,17.456,-27.37,69.36,-59.25,39.983,-10.817,-5.733,-0.12704,0.71103,-0.28986,-0.62781,28.1,10080.1.13,100
2024-9-15 20:42:25:564,WTSensor3(8E7876082DDC),-0.896,0.237,-0.226,-6.409,-57.19,24.475,-29.01,69.82,-60.9,39.983,-10.817,-5.733,-0.12704,0.71103,-0.28986,-0.62781,28.1,10080.1.13,100
2024-9-15 20:42:25:607,WTSensor3(8E7876082DDC),-0.854,0.298,-0.355,-7.69,-71.594,32.898,-30.92,70.21,-62.85,39.983,-10.817,-5.733,-0.06259,0.75638,-0.25452,-0.59924,28.1,10080.1.13,100
2024-9-15 20:42:25:608,WTSensor3(8E7876082DDC),-0.869,0.268,-0.466,-4.7,-72.083,35.339,-32.89,70.57,-64.89,39.983,-10.817,-5.733,-0.06259,0.75638,-0.25452,-0.59924,28.1,10080.1.13,100
2024-9-15 20:42:25:608,WTSensor3(8E7876082DDC),-0.965,0.274,-0.511,-6.592,-81.116,36.499,-35.16,70.95,-67.24,39.983,-10.817,-5.733,-0.06259,0.75638,-0.25452,-0.59924,28.1,10080.1.13,100
2024-9-15 20:42:25:608,WTSensor3(8E7876082DDC),-1.014,0.243,-0.53,-5.432,-89.905,39.246,-37.61,71.34,-69.79,39.983,-10.817,-5.733,-0.06259,0.75638,-0.25452,-0.59924,28.1,10080.1.13,100
2024-9-15 20:42:25:654,WTSensor3(8E7876082DDC),-1.005,0.15,-0.367,-3.235,-106.323,37.842,-40.53,71.82,-72.85,39.983,-10.817,-5.733,-0.06259,0.75638,-0.25452,-0.59924,28.1,10080.1.13,100
2024-9-15 20:42:25:654,WTSensor3(8E7876082DDC),-1.067,0.072,-0.227,5.737,-131.653,31.25,-43.97,72.47,-76.52,39.983,-10.817,-5.733,-0.06259,0.75638,-0.25452,-0.59924,28.1,10080.1.13,100
2024-9-15 20:42:25:654,WTSensor3(8E7876082DDC),-1.119,0.114,-0.077,27.527,-163.147,22.583,-48.25,73.31,-81.28,39.983,-10.817,-5.733,-0.06259,0.75638,-0.25452,-0.59924,28.1,10080.1.13,100
2024-9-15 20:42:25:654,WTSensor3(8E7876082DDC),-0.954,0.146,-0.129,40.588,-241.089,7.324,-54.64,74.54,-88.32,39.983,-10.817,-5.733,-0.06259,0.75638,-0.25452,-0.59924,28.1,10080.1.13,100
2024-9-15 20:42:25:684,WTSensor3(8E7876082DDC),-0.791,0.265,-0.294,40.222,-294.739,-14.343,-63.59,75.9,-98.03,39.983,-10.817,-5.733,-0.06259,0.75638,-0.25452,-0.59924,28.1,10080.1.13,100
2024-9-15 20:42:25:684,WTSensor3(8E7876082DDC),-0.682,0.247,-0.288,28.625,-277.222,-40.588,-73.47,77.06,-108.5,39.983,-10.817,-5.733,-0.06259,0.75638,-0.25452,-0.59924,28.1,10080.1.13,100
2024-9-15 20:42:25:684,WTSensor3(8E7876082DDC),-0.886,0.256,-0.267,1.892,-242.188,-100.769,-83.36,78.19,-118.7,39.983,-10.817,-5.733,-0.06259,0.75638,-0.25452,-0.59924,28.1,10080.1.13,100
2024-9-15 20:42:25:684,WTSensor3(8E7876082DDC),-1.139,0.297,-0.104,-25.574,-172.546,-80.566,-91.98,78.87,-127.28,39.983,-10.817,-5.733,-0.06259,0.75638,-0.25452,-0.59924,28.1,10080.1.13,100
2024-9-15 20:42:25:730,WTSensor3(8E7876082DDC),-1.4,-0.115,0.029,-26.489,-129.883,-41.138,-98.55,79.1,-133.7,39.983,-10.817,-5.733,-0.06259,0.75638,-0.25452,-0.59924,28.1,10080.1.13,100
2024-9-15 20:42:25:730,WTSensor3(8E7876082DDC),-1.486,0.008,0.308,-15.747,-75.134,-26.306,-102.73,79.17,-137.79,39.983,-10.817,-5.733,-0.06259,0.75638,-0.25452,-0.59924,28.1,10080.1.13,100
2024-9-15 20:42:25:730,WTSensor3(8E7876082DDC),-1.485,-0.007,0.343,-0.305,-57.861,-22.949,-105.84,79.18,-140.94,39.983,-10.817,-5.733,-0.06259,0.75638,-0.25452,-0.59924,28.1,10080.1.13,100
2024-9-15 20:42:25:730,WTSensor3(8E7876082DDC),-1.384,0.055,0.347,8.362,-40.344,-16.479,-107.96,79.17,-143.18,39.983,-10.817,-5.733,-0.06259,0.75638,-0.25452,-0.59924,28.1,10080.1.13,100
2024-9-15 20:42:25:787,WTSensor3(8E7876082DDC),-1.286,0.14,0.232,6.042,-19.409,-15.747,-109.13,79.23,-144.42,39.983,-10.817,-5.733,-0.06259,0.75638,-0.25452,-0.59924,28.1,10080.1.13,100
2024-9-15 20:42:25:787,WTSensor3(8E7876082DDC),-1.158,0.251,0.158,0.427,3.357,-9.766,-109.2,79.36,-144.5,39.983,-10.817,-5.733,-0.06259,0.75638,-0.25452,-0.59924,28.1,10080.1.13,100
