time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery level(%)
2024-9-15 17:11:17:770,WT901BLE67(919C7A43D1FF),-1.404,-0.724,0.684,96.252,167.725,-192.627,35.04,83.46,153.33,27.825,-13.725,13.292,-0.41946,0.40759,-0.46359,-0.6655,34.1,10080.1.7,90
2024-9-15 17:11:17:771,WT901BLE67(919C7A43D1FF),-1.715,-0.572,0.682,167.664,150.879,-165.039,30.65,85.81,147.4,27.825,-13.725,13.292,-0.41946,0.40759,-0.46359,-0.6655,34.1,10080.1.7,90
2024-9-15 17:11:17:771,WT901BLE67(919C7A43D1FF),-1.964,-0.454,0.564,219.849,120.178,-136.841,19.64,87.7,134.29,27.825,-13.725,13.292,-0.41946,0.40759,-0.46359,-0.6655,34.1,10080.1.7,90
2024-9-15 17:11:17:771,WT901BLE67(919C7A43D1FF),-2.135,-0.291,0.391,254.333,79.224,-97.778,-12.1,88.74,100.07,27.825,-13.725,13.292,-0.41946,0.40759,-0.46359,-0.6655,34.1,10080.1.7,90
2024-9-15 17:11:17:801,WT901BLE67(919C7A43D1FF),-2.172,-0.094,0.185,269.775,33.264,-46.082,-45.88,88.84,63.6,27.825,-13.725,13.292,-0.41946,0.40759,-0.46359,-0.6655,34.1,10080.1.7,90
2024-9-15 17:11:17:801,WT901BLE67(919C7A43D1FF),-2.063,0.045,0.051,264.099,-13.184,11.414,-44.23,88.79,62.58,27.825,-13.725,13.292,-0.41946,0.40759,-0.46359,-0.6655,34.1,10080.1.7,90
2024-9-15 17:11:17:801,WT901BLE67(919C7A43D1FF),-1.848,0.171,-0.037,240.967,-59.998,65.552,-11.63,88.59,92.72,27.825,-13.725,13.292,-0.41946,0.40759,-0.46359,-0.6655,34.1,10080.1.7,90
2024-9-15 17:11:17:801,WT901BLE67(919C7A43D1FF),-1.646,0.224,-0.089,209.778,-90.21,115.234,20.01,87.65,122.21,27.825,-13.725,13.292,-0.41946,0.40759,-0.46359,-0.6655,34.1,10080.1.7,90
2024-9-15 17:11:17:861,WT901BLE67(919C7A43D1FF),-1.458,0.205,-0.126,174.316,-115.845,166.077,36.66,85.96,137.04,27.825,-13.725,13.292,-0.41946,0.40759,-0.46359,-0.6655,34.1,10080.1.7,90
2024-9-15 17:11:17:861,WT901BLE67(919C7A43D1FF),-1.282,0.214,-0.274,132.69,-139.099,211.853,45.18,83.65,144.15,37.367,-8.05,18.192,-0.41946,0.40759,-0.46359,-0.6655,34.1,10080.1.7,90
2024-9-15 17:11:17:861,WT901BLE67(919C7A43D1FF),-1.075,0.266,-0.546,83.557,-162.476,242.004,49.38,80.88,147.43,37.367,-8.05,18.192,-0.41946,0.40759,-0.46359,-0.6655,34.1,10080.1.7,90
2024-9-15 17:11:17:861,WT901BLE67(919C7A43D1FF),-0.949,0.41,-0.979,17.273,-172.546,247.131,51.17,77.9,148.88,37.367,-8.05,18.192,-0.41946,0.40759,-0.46359,-0.6655,34.1,10080.1.7,90
2024-9-15 17:11:17:890,WT901BLE67(919C7A43D1FF),-0.617,0.734,-1.344,-65.186,-163.574,215.271,51.2,75.14,149.36,37.367,-8.05,18.192,-0.41946,0.40759,-0.46359,-0.6655,34.1,10080.1.7,90
