time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery level(%)
2024-9-15 17:33:37:621,WT901BLE67(919C7A43D1FF),-0.46,0.698,-0.558,2.38,3.296,3.967,128,27.54,103.99,131.758,-31.175,72.3,-0.43173,-0.45407,-0.75229,-0.20346,28.8,10080.1.7,90
2024-9-15 17:33:37:621,WT901BLE67(919C7A43D1FF),-0.458,0.698,-0.557,1.892,3.235,3.723,128.02,27.49,104,131.758,-31.175,72.3,-0.43173,-0.45407,-0.75229,-0.20346,28.8,10080.1.7,90
2024-9-15 17:33:37:621,WT901BLE67(919C7A43D1FF),-0.456,0.699,-0.559,1.343,3.113,3.601,128.03,27.44,104,131.758,-31.175,72.3,-0.43173,-0.45407,-0.75229,-0.20346,28.8,10080.1.7,90
2024-9-15 17:33:37:621,WT901BLE67(919C7A43D1FF),-0.455,0.699,-0.561,0.793,2.563,3.174,128.04,27.4,104,131.758,-31.175,72.3,-0.43173,-0.45407,-0.75229,-0.20346,28.8,10080.1.7,90
2024-9-15 17:33:37:651,WT901BLE67(919C7A43D1FF),-0.456,0.701,-0.56,0.427,2.563,2.747,128.05,27.37,104,131.758,-31.175,72.3,-0.43173,-0.45407,-0.75229,-0.20346,28.8,10080.1.7,90
2024-9-15 17:33:37:651,WT901BLE67(919C7A43D1FF),-0.458,0.701,-0.556,0.305,2.869,2.502,128.05,27.33,104.01,131.758,-31.175,72.3,-0.43173,-0.45407,-0.75229,-0.20346,28.8,10080.1.7,90
2024-9-15 17:33:37:651,WT901BLE67(919C7A43D1FF),-0.461,0.7,-0.557,0,1.587,2.563,128.05,27.3,104.01,131.758,-31.175,72.3,-0.43173,-0.45407,-0.75229,-0.20346,28.8,10080.1.7,90
2024-9-15 17:33:37:651,WT901BLE67(919C7A43D1FF),-0.459,0.701,-0.559,-0.305,0.427,2.686,128.05,27.27,103.99,131.758,-31.175,72.3,-0.43173,-0.45407,-0.75229,-0.20346,28.8,10080.1.7,90
2024-9-15 17:33:37:681,WT901BLE67(919C7A43D1FF),-0.456,0.699,-0.559,-0.488,0.427,2.686,128.03,27.25,103.97,131.758,-31.175,72.3,-0.43173,-0.45407,-0.75229,-0.20346,28.8,10080.1.7,90
2024-9-15 17:33:37:681,WT901BLE67(919C7A43D1FF),-0.458,0.7,-0.557,-0.671,0.977,2.563,128.02,27.23,103.96,131.758,-31.175,72.3,-0.43173,-0.45407,-0.75229,-0.20346,28.8,10080.1.7,90
2024-9-15 17:33:37:681,WT901BLE67(919C7A43D1FF),-0.462,0.698,-0.555,-0.916,1.221,2.563,128.01,27.2,103.96,131.758,-31.175,72.3,-0.43173,-0.45407,-0.75229,-0.20346,28.8,10080.1.7,90
2024-9-15 17:33:37:681,WT901BLE67(919C7A43D1FF),-0.462,0.701,-0.554,-1.16,0.549,2.258,127.99,27.18,103.95,131.758,-31.175,72.3,-0.43173,-0.45407,-0.75229,-0.20346,28.8,10080.1.7,90
2024-9-15 17:33:37:742,WT901BLE67(919C7A43D1FF),-0.46,0.704,-0.556,-1.343,-0.183,2.319,127.97,27.16,103.93,131.758,-31.175,72.3,-0.43173,-0.45407,-0.75229,-0.20346,28.8,10080.1.7,90
2024-9-15 17:33:37:742,WT901BLE67(919C7A43D1FF),-0.459,0.705,-0.553,-1.343,-0.061,2.93,127.95,27.14,103.91,131.075,-31.367,73.233,-0.43173,-0.45407,-0.75229,-0.20346,28.8,10080.1.7,90
2024-9-15 17:33:37:742,WT901BLE67(919C7A43D1FF),-0.458,0.706,-0.553,-1.221,0.977,3.174,127.92,27.11,103.9,131.075,-31.367,73.233,-0.43173,-0.45407,-0.75229,-0.20346,28.8,10080.1.7,90
2024-9-15 17:33:37:742,WT901BLE67(919C7A43D1FF),-0.451,0.706,-0.548,-0.854,1.709,3.113,127.91,27.08,103.89,131.075,-31.367,73.233,-0.43173,-0.45407,-0.75229,-0.20346,28.8,10080.1.7,90
2024-9-15 17:33:37:801,WT901BLE67(919C7A43D1FF),-0.453,0.702,-0.543,-0.244,1.587,2.93,127.91,27.05,103.88,131.075,-31.367,73.233,-0.43173,-0.45407,-0.75229,-0.20346,28.8,10080.1.7,90
2024-9-15 17:33:37:801,WT901BLE67(919C7A43D1FF),-0.45,0.702,-0.548,0.61,0.854,2.563,127.9,27.02,103.87,131.075,-31.367,73.233,-0.43173,-0.45407,-0.75229,-0.20346,28.8,10080.1.7,90
2024-9-15 17:33:37:801,WT901BLE67(919C7A43D1FF),-0.446,0.706,-0.551,1.099,0.732,2.014,127.91,27,103.86,131.075,-31.367,73.233,-0.43173,-0.45407,-0.75229,-0.20346,28.8,10080.1.7,90
2024-9-15 17:33:37:801,WT901BLE67(919C7A43D1FF),-0.445,0.708,-0.554,0.977,1.343,1.709,127.92,26.98,103.86,131.075,-31.367,73.233,-0.43173,-0.45407,-0.75229,-0.20346,28.8,10080.1.7,90
2024-9-15 17:33:37:801,WT901BLE67(919C7A43D1FF),-0.446,0.706,-0.554,0.793,2.563,1.038,127.93,26.96,103.88,131.075,-31.367,73.233,-0.43173,-0.45407,-0.75229,-0.20346,28.8,10080.1.7,90
2024-9-15 17:33:37:801,WT901BLE67(919C7A43D1FF),-0.45,0.706,-0.551,1.343,4.333,0.061,127.96,26.93,103.9,131.075,-31.367,73.233,-0.43173,-0.45407,-0.75229,-0.20346,28.8,10080.1.7,90
2024-9-15 17:33:37:802,WT901BLE67(919C7A43D1FF),-0.45,0.71,-0.548,2.075,6.042,-0.427,128,26.9,103.96,131.075,-31.367,73.233,-0.43173,-0.45407,-0.75229,-0.20346,28.8,10080.1.7,90
2024-9-15 17:33:37:802,WT901BLE67(919C7A43D1FF),-0.448,0.713,-0.542,2.502,7.202,-0.366,128.05,26.86,104.02,131.075,-31.367,73.233,-0.43173,-0.45407,-0.75229,-0.20346,28.8,10080.1.7,90
2024-9-15 17:33:37:861,WT901BLE67(919C7A43D1FF),-0.447,0.718,-0.537,3.662,10.681,-0.122,128.12,26.81,104.11,131.075,-31.367,73.233,-0.43173,-0.45407,-0.75229,-0.20346,28.8,10080.1.7,90
2024-9-15 17:33:37:861,WT901BLE67(919C7A43D1FF),-0.458,0.715,-0.537,6.104,16.113,0.366,128.23,26.71,104.23,131.075,-31.367,73.233,-0.43173,-0.45407,-0.75229,-0.20346,28.8,10080.1.7,90
