time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery level(%)
2024-9-16 20:44:54:442,WT901BLE67(919C7A43D1FF),-0.181,0.652,-0.741,-0.488,2.075,0.183,139.28,10.04,32.42,23.6,-37.025,29.4,0.35587,0.88956,0.28604,0.01138,32.6,10080.1.7,5
2024-9-16 20:44:54:443,WT901BLE67(919C7A43D1FF),-0.186,0.655,-0.737,-0.793,2.136,0.977,139.27,10.01,32.43,21.825,-37.483,29.192,0.35587,0.88956,0.28604,0.01138,32.6,10080.1.7,5
2024-9-16 20:44:54:443,WT901BLE67(919C7A43D1FF),-0.187,0.657,-0.736,-1.404,1.404,0.427,139.26,10,32.43,21.825,-37.483,29.192,0.35587,0.88956,0.28604,0.01138,32.6,10080.1.7,5
2024-9-16 20:44:54:443,WT901BLE67(919C7A43D1FF),-0.186,0.659,-0.742,-1.648,-0.122,0.427,139.25,10,32.43,21.825,-37.483,29.192,0.35587,0.88956,0.28604,0.01138,32.6,10080.1.7,5
2024-9-16 20:44:54:472,WT901BLE67(919C7A43D1FF),-0.185,0.659,-0.737,-2.075,-0.061,1.221,139.23,10,32.43,21.825,-37.483,29.192,0.35587,0.88956,0.28604,0.01138,32.6,10080.1.7,5
2024-9-16 20:44:54:472,WT901BLE67(919C7A43D1FF),-0.181,0.657,-0.731,-2.197,0.366,2.38,139.21,9.98,32.41,21.825,-37.483,29.192,0.35587,0.88956,0.28604,0.01138,32.6,10080.1.7,5
2024-9-16 20:44:54:472,WT901BLE67(919C7A43D1FF),-0.18,0.653,-0.718,-2.075,1.038,2.869,139.18,9.96,32.39,21.825,-37.483,29.192,0.35587,0.88956,0.28604,0.01138,32.6,10080.1.7,5
2024-9-16 20:44:54:472,WT901BLE67(919C7A43D1FF),-0.177,0.65,-0.716,-1.038,1.587,3.357,139.17,9.93,32.38,21.825,-37.483,29.192,0.35587,0.88956,0.28604,0.01138,32.6,10080.1.7,5
2024-9-16 20:44:54:503,WT901BLE67(919C7A43D1FF),-0.169,0.651,-0.719,0.244,0.732,3.418,139.16,9.9,32.37,21.825,-37.483,29.192,0.35587,0.88956,0.28604,0.01138,32.6,10080.1.7,5
2024-9-16 20:44:54:503,WT901BLE67(919C7A43D1FF),-0.167,0.656,-0.724,0.427,0,3.906,139.16,9.88,32.34,21.825,-37.483,29.192,0.35587,0.88956,0.28604,0.01138,32.6,10080.1.7,5
2024-9-16 20:44:54:503,WT901BLE67(919C7A43D1FF),-0.16,0.655,-0.731,-0.305,-0.305,4.333,139.16,9.86,32.31,21.825,-37.483,29.192,0.35587,0.88956,0.28604,0.01138,32.6,10080.1.7,5
2024-9-16 20:44:54:503,WT901BLE67(919C7A43D1FF),-0.158,0.648,-0.721,-0.977,0.366,4.883,139.15,9.83,32.27,21.825,-37.483,29.192,0.35587,0.88956,0.28604,0.01138,32.6,10080.1.7,5
2024-9-16 20:44:54:562,WT901BLE67(919C7A43D1FF),-0.162,0.646,-0.716,-0.122,0.854,4.333,139.14,9.8,32.24,21.825,-37.483,29.192,0.35587,0.88956,0.28604,0.01138,32.6,10080.1.7,5
2024-9-16 20:44:54:562,WT901BLE67(919C7A43D1FF),-0.165,0.649,-0.714,1.343,0.549,3.296,139.14,9.77,32.22,21.825,-37.483,29.192,0.35587,0.88956,0.28604,0.01138,32.6,10080.1.7,5
2024-9-16 20:44:54:562,WT901BLE67(919C7A43D1FF),-0.162,0.653,-0.718,1.892,-0.488,3.418,139.16,9.76,32.2,21.825,-37.483,29.192,0.35587,0.88956,0.28604,0.01138,32.6,10080.1.7,5
2024-9-16 20:44:54:562,WT901BLE67(919C7A43D1FF),-0.16,0.654,-0.723,1.343,-1.709,4.517,139.17,9.74,32.16,21.825,-37.483,29.192,0.35587,0.88956,0.28604,0.01138,32.6,10080.1.7,5
2024-9-16 20:44:54:592,WT901BLE67(919C7A43D1FF),-0.156,0.655,-0.726,0.977,-2.014,4.333,139.17,9.73,32.11,21.825,-37.483,29.192,0.35587,0.88956,0.28604,0.01138,32.6,10080.1.7,5
2024-9-16 20:44:54:592,WT901BLE67(919C7A43D1FF),-0.156,0.654,-0.734,1.343,-2.014,3.662,139.18,9.72,32.07,21.825,-37.483,29.192,0.35587,0.88956,0.28604,0.01138,32.6,10080.1.7,5
2024-9-16 20:44:54:592,WT901BLE67(919C7A43D1FF),-0.155,0.656,-0.741,1.831,-1.465,3.052,139.19,9.72,32.04,21.825,-37.483,29.192,0.35587,0.88956,0.28604,0.01138,32.6,10080.1.7,5
2024-9-16 20:44:54:592,WT901BLE67(919C7A43D1FF),-0.157,0.659,-0.747,1.648,-1.16,3.113,139.2,9.71,32,21.825,-37.483,29.192,0.35587,0.88956,0.28604,0.01138,32.6,10080.1.7,5
2024-9-16 20:44:54:623,WT901BLE67(919C7A43D1FF),-0.156,0.659,-0.748,0.549,-1.587,3.052,139.21,9.7,31.98,21.825,-37.483,29.192,0.35587,0.88956,0.28604,0.01138,32.6,10080.1.7,5
2024-9-16 20:44:54:623,WT901BLE67(919C7A43D1FF),-0.155,0.66,-0.75,-0.61,-2.502,2.686,139.2,9.71,31.94,21.825,-37.483,29.192,0.35587,0.88956,0.28604,0.01138,32.6,10080.1.7,5
2024-9-16 20:44:54:623,WT901BLE67(919C7A43D1FF),-0.151,0.663,-0.75,-1.343,-2.563,2.38,139.18,9.71,31.9,21.825,-37.483,29.192,0.35593,0.88974,0.28491,0.01917,32.6,10080.1.7,5
2024-9-16 20:44:54:623,WT901BLE67(919C7A43D1FF),-0.152,0.664,-0.752,-1.587,-1.831,2.319,139.16,9.71,31.87,21.825,-37.483,29.192,0.35593,0.88974,0.28491,0.01917,32.6,10080.1.7,5
2024-9-16 20:44:54:682,WT901BLE67(919C7A43D1FF),-0.154,0.665,-0.748,-2.014,-0.916,2.441,139.14,9.71,31.85,21.825,-37.483,29.192,0.35593,0.88974,0.28491,0.01917,32.6,10080.1.7,5
2024-9-16 20:44:54:682,WT901BLE67(919C7A43D1FF),-0.153,0.665,-0.737,-2.808,0.122,2.93,139.11,9.69,31.83,21.825,-37.483,29.192,0.35593,0.88974,0.28491,0.01917,32.6,10080.1.7,5
2024-9-16 20:44:54:682,WT901BLE67(919C7A43D1FF),-0.157,0.661,-0.731,-2.625,1.038,3.235,139.08,9.67,31.81,21.825,-37.483,29.192,0.35593,0.88974,0.28491,0.01917,32.6,10080.1.7,5
2024-9-16 20:44:54:682,WT901BLE67(919C7A43D1FF),-0.159,0.66,-0.723,-2.319,0.916,3.052,139.05,9.64,31.79,21.825,-37.483,29.192,0.35593,0.88974,0.28491,0.01917,32.6,10080.1.7,5
2024-9-16 20:44:54:713,WT901BLE67(919C7A43D1FF),-0.162,0.657,-0.715,-2.197,0.549,2.563,139.03,9.62,31.78,21.825,-37.483,29.192,0.35593,0.88974,0.28491,0.01917,32.6,10080.1.7,5
2024-9-16 20:44:54:713,WT901BLE67(919C7A43D1FF),-0.158,0.654,-0.722,-1.526,-0.183,2.625,139,9.6,31.76,21.825,-37.483,29.192,0.35593,0.88974,0.28491,0.01917,32.6,10080.1.7,5
2024-9-16 20:44:54:713,WT901BLE67(919C7A43D1FF),-0.151,0.655,-0.733,-0.671,-0.061,2.93,138.99,9.59,31.74,21.825,-37.483,29.192,0.35593,0.88974,0.28491,0.01917,32.6,10080.1.7,5
2024-9-16 20:44:54:713,WT901BLE67(919C7A43D1FF),-0.144,0.661,-0.737,-0.305,1.465,2.93,138.99,9.56,31.72,21.825,-37.483,29.192,0.35593,0.88974,0.28491,0.01917,32.6,10080.1.7,5
2024-9-16 20:44:54:742,WT901BLE67(919C7A43D1FF),-0.138,0.665,-0.739,-0.122,3.296,2.441,138.99,9.53,31.72,21.825,-37.483,29.192,0.35593,0.88974,0.28491,0.01917,32.6,10080.1.7,5
2024-9-16 20:44:54:742,WT901BLE67(919C7A43D1FF),-0.134,0.667,-0.744,-0.122,3.906,2.014,138.99,9.48,31.73,21.825,-37.483,29.192,0.35593,0.88974,0.28491,0.01917,32.6,10080.1.7,5
2024-9-16 20:44:54:742,WT901BLE67(919C7A43D1FF),-0.131,0.668,-0.743,-1.099,3.784,1.587,138.98,9.44,31.75,21.825,-37.483,29.192,0.35593,0.88974,0.28491,0.01917,32.6,10080.1.7,5
2024-9-16 20:44:54:742,WT901BLE67(919C7A43D1FF),-0.127,0.663,-0.743,-2.197,3.54,0.916,138.97,9.41,31.77,21.825,-37.483,29.192,0.35593,0.88974,0.28491,0.01917,32.6,10080.1.7,5
2024-9-16 20:44:54:802,WT901BLE67(919C7A43D1FF),-0.129,0.656,-0.739,-3.296,3.784,0.305,138.94,9.38,31.79,21.825,-37.483,29.192,0.35593,0.88974,0.28491,0.01917,32.6,10080.1.7,5
2024-9-16 20:44:54:803,WT901BLE67(919C7A43D1FF),-0.125,0.648,-0.735,-3.479,4.211,-0.366,138.91,9.35,31.82,21.825,-37.483,29.192,0.35593,0.88974,0.28491,0.01917,32.6,10080.1.7,5
2024-9-16 20:44:54:803,WT901BLE67(919C7A43D1FF),-0.12,0.646,-0.733,-2.991,4.761,-1.099,138.88,9.32,31.86,21.825,-37.483,29.192,0.35593,0.88974,0.28491,0.01917,32.6,10080.1.7,5
2024-9-16 20:44:54:803,WT901BLE67(919C7A43D1FF),-0.115,0.643,-0.742,-1.953,5.31,-1.526,138.87,9.29,31.9,21.825,-37.483,29.192,0.35593,0.88974,0.28491,0.01917,32.6,10080.1.7,5
2024-9-16 20:44:54:838,WT901BLE67(919C7A43D1FF),-0.112,0.638,-0.729,-2.075,6.653,-1.404,138.86,9.26,31.96,21.825,-37.483,29.192,0.35593,0.88974,0.28491,0.01917,32.6,10080.1.7,5
2024-9-16 20:44:54:839,WT901BLE67(919C7A43D1FF),-0.11,0.631,-0.728,-1.648,7.935,-2.38,138.86,9.21,32.03,21.825,-37.483,29.192,0.35593,0.88974,0.28491,0.01917,32.6,10080.1.7,5
2024-9-16 20:44:54:839,WT901BLE67(919C7A43D1FF),-0.113,0.626,-0.715,-1.282,7.751,-2.991,138.86,9.17,32.1,21.825,-37.483,29.192,0.35593,0.88974,0.28491,0.01917,32.6,10080.1.7,5
