time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery level(%)
2024-3-26 21:40:3:641,WT901BLE67(DA:5D:02:95:95:21),-0.024,0.995,-0.057,-0.977,1.282,-13.428,93.43,0.7,87.5,-17.908,-90.9,-4.675,-0.49826,-0.52267,-0.5079,-0.46951,27.4,10080.1.7,5
2024-3-26 21:40:3:692,WT901BLE67(DA:5D:02:95:95:21),-0.067,0.997,0.075,-5.127,0.183,-34.729,93.26,2.48,87.61,-17.908,-90.9,-4.675,-0.49826,-0.52267,-0.5079,-0.46951,27.4,10080.1.7,5
2024-3-26 21:40:3:842,WT901BLE67(DA:5D:02:95:95:21),-0.078,0.996,0.059,-1.648,0.244,-14.526,92.87,4.36,87.67,-17.908,-90.9,-4.675,-0.51273,-0.50732,-0.5184,-0.4592,27.4,10080.1.7,5
2024-3-26 21:40:3:903,WT901BLE67(DA:5D:02:95:95:21),-0.083,0.998,0.03,0,-0.366,-0.488,92.7,4.82,87.65,-17.908,-90.9,-4.675,-0.51273,-0.50732,-0.5184,-0.4592,27.4,10080.1.7,5
2024-3-26 21:40:4:24,WT901BLE67(DA:5D:02:95:95:21),-0.06,0.985,0.06,-0.793,-1.465,0.916,92.6,4.8,87.66,-47.817,-153.933,-4.925,-0.51273,-0.50732,-0.5184,-0.4592,27.4,10080.1.7,5
2024-3-26 21:40:4:151,WT901BLE67(DA:5D:02:95:95:21),-0.067,0.999,0.103,1.221,-1.16,-0.732,92.48,5.09,87.71,-47.817,-153.933,-4.925,-0.51273,-0.50732,-0.5184,-0.4592,27.4,10080.1.7,5
2024-3-26 21:40:4:241,WT901BLE67(DA:5D:02:95:95:21),-0.061,1,-0.052,3.113,0.305,23.987,92.49,4.06,87.63,-47.817,-153.933,-4.925,-0.52032,-0.49939,-0.52151,-0.45584,27.4,10080.1.7,5
2024-3-26 21:40:4:338,WT901BLE67(DA:5D:02:95:95:21),-0.053,0.981,-0.229,2.136,0,18.799,92.68,2.54,87.47,-47.817,-153.933,-4.925,-0.52032,-0.49939,-0.52151,-0.45584,27.4,10080.1.7,5
2024-3-26 21:40:4:446,WT901BLE67(DA:5D:02:95:95:21),-0.014,0.972,-0.28,1.77,-0.061,13.306,93,1.05,87.4,-13.967,-89.617,-2.333,-0.52032,-0.49939,-0.52151,-0.45584,27.4,10080.1.7,5
2024-3-26 21:40:4:506,WT901BLE67(DA:5D:02:95:95:21),-0.007,0.994,-0.165,-0.488,1.953,-3.723,93.27,0.2,87.45,-13.967,-89.617,-2.333,-0.52032,-0.49939,-0.52151,-0.45584,27.4,10080.1.7,5
2024-3-26 21:40:4:662,WT901BLE67(DA:5D:02:95:95:21),-0.039,0.991,0.003,-0.854,-0.244,-8.606,93.28,1.14,87.57,-13.967,-89.617,-2.333,-0.4986,-0.52267,-0.50546,-0.4718,27.4,10080.1.7,5
2024-3-26 21:40:4:747,WT901BLE67(DA:5D:02:95:95:21),-0.061,1.009,0.075,-1.77,-0.916,-18.921,93,3.24,87.64,-13.967,-89.617,-2.333,-0.4986,-0.52267,-0.50546,-0.4718,27.4,10080.1.7,5
2024-3-26 21:40:4:836,WT901BLE67(DA:5D:02:95:95:21),-0.068,0.996,0.05,-0.793,-1.16,-6.042,92.79,4.14,87.65,-43.683,-134.817,-10.5,-0.4986,-0.52267,-0.50546,-0.4718,27.4,10080.1.7,5
2024-3-26 21:40:4:930,WT901BLE67(DA:5D:02:95:95:21),-0.061,1.004,0.066,0.183,0.854,-1.343,92.68,4.26,87.65,-43.683,-134.817,-10.5,-0.4986,-0.52267,-0.50546,-0.4718,27.4,10080.1.7,5
2024-3-26 21:40:5:43,WT901BLE67(DA:5D:02:95:95:21),-0.05,0.989,0.076,-0.488,-1.099,-1.831,92.58,4.33,87.67,-43.683,-134.817,-10.5,-0.51669,-0.50336,-0.51917,-0.45825,27.4,10080.1.7,5
2024-3-26 21:40:5:134,WT901BLE67(DA:5D:02:95:95:21),-0.072,0.991,0.091,0.427,-3.967,-3.418,92.48,4.67,87.64,-43.683,-134.817,-10.5,-0.51669,-0.50336,-0.51917,-0.45825,27.4,10080.1.7,5
2024-3-26 21:40:5:255,WT901BLE67(DA:5D:02:95:95:21),-0.049,0.998,-0.132,2.319,-1.404,12.329,92.5,3.57,87.55,-26.542,-112.125,-15.2,-0.51669,-0.50336,-0.51917,-0.45825,27.4,10080.1.7,5
2024-3-26 21:40:5:353,WT901BLE67(DA:5D:02:95:95:21),-0.035,0.979,-0.259,1.343,-3.662,16.663,92.8,1.93,87.43,-26.542,-112.125,-15.2,-0.51669,-0.50336,-0.51917,-0.45825,27.4,10080.1.7,5
2024-3-26 21:40:5:444,WT901BLE67(DA:5D:02:95:95:21),-0.008,0.996,-0.244,2.075,1.587,7.813,93.16,0.36,87.42,-26.542,-112.125,-15.2,-0.50262,-0.51947,-0.50613,-0.47037,27.4,10080.1.7,5
