time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery level(%)
2024-10-7 22:11:33:647,WTSensor3(8E7876082DDC),-0.9,0.209,-0.233,1.77,-0.732,2.136,-45.21,70.29,51.27,56.967,-1.6,10.242,-0.54099,-0.56024,-0.54376,0.3125,34.9,10080.1.13,100
2024-10-7 22:11:33:647,WTSensor3(8E7876082DDC),-0.893,0.22,-0.231,2.014,-0.061,2.686,-45.24,70.28,51.22,56.967,-1.6,10.242,-0.54099,-0.56024,-0.54376,0.3125,34.9,10080.1.13,100
2024-10-7 22:11:33:647,WTSensor3(8E7876082DDC),-0.887,0.222,-0.23,1.465,-0.183,4.028,-45.29,70.26,51.15,56.967,-1.6,10.242,-0.54099,-0.56024,-0.54376,0.3125,34.9,10080.1.13,100
2024-10-7 22:11:33:647,WTSensor3(8E7876082DDC),-0.886,0.222,-0.232,0.854,-1.038,5.676,-45.39,70.23,51.03,56.967,-1.6,10.242,-0.54099,-0.56024,-0.54376,0.3125,34.9,10080.1.13,100
2024-10-7 22:11:33:692,WTSensor3(8E7876082DDC),-0.892,0.219,-0.229,0.244,-0.916,7.385,-45.52,70.19,50.89,56.967,-1.6,10.242,-0.54099,-0.56024,-0.54376,0.3125,34.9,10080.1.13,100
2024-10-7 22:11:33:692,WTSensor3(8E7876082DDC),-0.907,0.209,-0.225,-0.122,0,8.85,-45.66,70.13,50.74,56.967,-1.6,10.242,-0.54099,-0.56024,-0.54376,0.3125,34.9,10080.1.13,100
2024-10-7 22:11:33:692,WTSensor3(8E7876082DDC),-0.925,0.197,-0.221,-0.061,1.587,9.644,-45.79,70.05,50.61,56.967,-1.6,10.242,-0.54099,-0.56024,-0.54376,0.3125,34.9,10080.1.13,100
2024-10-7 22:11:33:692,WTSensor3(8E7876082DDC),-0.953,0.174,-0.222,0.122,2.502,9.46,-45.88,69.97,50.5,56.967,-1.6,10.242,-0.54099,-0.56024,-0.54376,0.3125,34.9,10080.1.13,100
2024-10-7 22:11:33:738,WTSensor3(8E7876082DDC),-0.959,0.151,-0.22,2.441,4.761,8.118,-45.9,69.89,50.47,56.967,-1.6,10.242,-0.54099,-0.56024,-0.54376,0.3125,34.9,10080.1.13,100
2024-10-7 22:11:33:738,WTSensor3(8E7876082DDC),-0.939,0.153,-0.214,5.188,5.676,6.592,-45.83,69.81,50.48,56.967,-1.6,10.242,-0.54099,-0.56024,-0.54376,0.3125,34.9,10080.1.13,100
2024-10-7 22:11:33:738,WTSensor3(8E7876082DDC),-0.897,0.157,-0.211,7.019,4.822,5.127,-45.74,69.75,50.5,56.967,-1.6,10.242,-0.54099,-0.56024,-0.54376,0.3125,34.9,10080.1.13,100
2024-10-7 22:11:33:738,WTSensor3(8E7876082DDC),-0.804,0.197,-0.231,7.751,5.31,5.981,-45.65,69.68,50.52,57.592,-2.9,9.967,-0.54099,-0.56024,-0.54376,0.3125,34.9,10080.1.13,100
2024-10-7 22:11:33:780,WTSensor3(8E7876082DDC),-0.692,0.283,-0.229,7.202,5.798,9.46,-45.6,69.57,50.49,57.592,-2.9,9.967,-0.54099,-0.56024,-0.54376,0.3125,34.9,10080.1.13,100
2024-10-7 22:11:33:780,WTSensor3(8E7876082DDC),-0.631,0.351,-0.263,2.502,8.118,19.043,-45.71,69.38,50.34,57.592,-2.9,9.967,-0.54099,-0.56024,-0.54376,0.3125,34.9,10080.1.13,100
2024-10-7 22:11:33:780,WTSensor3(8E7876082DDC),-0.761,0.299,-0.314,5.371,11.963,30.396,-45.9,69.09,50.09,57.592,-2.9,9.967,-0.54099,-0.56024,-0.54376,0.3125,34.9,10080.1.13,100
2024-10-7 22:11:33:780,WTSensor3(8E7876082DDC),-1.039,0.309,-0.282,1.404,17.517,37.72,-46.12,68.7,49.83,57.592,-2.9,9.967,-0.54099,-0.56024,-0.54376,0.3125,34.9,10080.1.13,100
2024-10-7 22:11:33:812,WTSensor3(8E7876082DDC),-1.282,0.154,-0.288,-8.545,12.634,33.325,-46.44,68.37,49.55,57.592,-2.9,9.967,-0.54099,-0.56024,-0.54376,0.3125,34.9,10080.1.13,100
2024-10-7 22:11:33:812,WTSensor3(8E7876082DDC),-1.278,0,-0.286,0.183,5.676,15.198,-46.57,68.21,49.42,57.592,-2.9,9.967,-0.54099,-0.56024,-0.54376,0.3125,34.9,10080.1.13,100
2024-10-7 22:11:33:812,WTSensor3(8E7876082DDC),-1.213,-0.068,-0.233,12.512,-4.028,-7.141,-46.42,68.29,49.45,57.592,-2.9,9.967,-0.54099,-0.56024,-0.54376,0.3125,34.9,10080.1.13,100
2024-10-7 22:11:33:812,WTSensor3(8E7876082DDC),-1.063,0,-0.19,24.109,-9.888,-24.719,-46.01,68.54,49.65,57.592,-2.9,9.967,-0.54099,-0.56024,-0.54376,0.3125,34.9,10080.1.13,100
2024-10-7 22:11:33:879,WTSensor3(8E7876082DDC),-0.717,0.187,-0.267,36.56,-8.24,-29.175,-45.37,68.83,49.95,57.592,-2.9,9.967,-0.54099,-0.56024,-0.54376,0.3125,34.9,10080.1.13,100
2024-10-7 22:11:33:879,WTSensor3(8E7876082DDC),-0.355,0.504,-0.346,32.593,-15.747,-15.198,-45.09,69.06,49.91,57.592,-2.9,9.967,-0.54099,-0.56024,-0.54376,0.3125,34.9,10080.1.13,100
