time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery level(%)
2024-10-7 22:2:8:644,WTSensor3(8E7876082DDC),-0.67,0.448,-0.12,5.92,16.785,10.681,-67.29,61.13,79.74,55.975,-13.65,5.5,0.66281,0.34161,0.66608,0.01419,33.4,10080.1.13,100
2024-10-7 22:2:8:644,WTSensor3(8E7876082DDC),-0.852,0.313,-0.215,4.7,12.146,11.78,-66.96,61.04,80.08,55.975,-13.65,5.5,0.66281,0.34161,0.66608,0.01419,33.4,10080.1.13,100
2024-10-7 22:2:8:644,WTSensor3(8E7876082DDC),-0.855,0.432,-0.192,4.272,11.353,16.479,-66.82,60.86,80.2,55.975,-13.65,5.5,0.66281,0.34161,0.66608,0.01419,33.4,10080.1.13,100
2024-10-7 22:2:8:644,WTSensor3(8E7876082DDC),-0.841,0.427,-0.187,3.479,8.85,13.794,-66.62,60.73,80.39,56.183,-13.15,6.933,0.66281,0.34161,0.66608,0.01419,33.4,10080.1.13,100
2024-10-7 22:2:8:672,WTSensor3(8E7876082DDC),-0.866,0.463,-0.164,3.845,7.385,-5.371,-66.49,60.73,80.51,56.183,-13.15,6.933,0.66281,0.34161,0.66608,0.01419,33.4,10080.1.13,100
2024-10-7 22:2:8:673,WTSensor3(8E7876082DDC),-0.869,0.476,-0.164,1.526,-8.667,8.118,-66.67,60.68,80.3,56.183,-13.15,6.933,0.66281,0.34161,0.66608,0.01419,33.4,10080.1.13,100
2024-10-7 22:2:8:673,WTSensor3(8E7876082DDC),-0.766,0.351,-0.19,-2.136,-11.414,-0.854,-66.73,60.72,80.24,56.183,-13.15,6.933,0.66281,0.34161,0.66608,0.01419,33.4,10080.1.13,100
2024-10-7 22:2:8:673,WTSensor3(8E7876082DDC),-0.714,0.418,-0.095,3.296,-1.465,15.076,-66.79,60.69,80.18,56.183,-13.15,6.933,0.66281,0.34161,0.66608,0.01419,33.4,10080.1.13,100
2024-10-7 22:2:8:724,WTSensor3(8E7876082DDC),-0.815,0.416,-0.124,5.92,-2.197,13.245,-66.81,60.58,80.11,56.183,-13.15,6.933,0.66281,0.34161,0.66608,0.01419,33.4,10080.1.13,100
2024-10-7 22:2:8:724,WTSensor3(8E7876082DDC),-0.806,0.458,-0.114,1.709,7.568,7.08,-66.76,60.42,80.11,56.183,-13.15,6.933,0.66281,0.34161,0.66608,0.01419,33.4,10080.1.13,100
2024-10-7 22:2:8:724,WTSensor3(8E7876082DDC),-0.731,0.453,-0.097,2.686,6.104,25.879,-66.69,60.15,80.12,56.183,-13.15,6.933,0.66281,0.34161,0.66608,0.01419,33.4,10080.1.13,100
2024-10-7 22:2:8:724,WTSensor3(8E7876082DDC),-0.776,0.418,-0.172,5.188,12.329,24.963,-66.52,59.89,80.27,56.183,-13.15,6.933,0.66281,0.34161,0.66608,0.01419,33.4,10080.1.13,100
2024-10-7 22:2:8:763,WTSensor3(8E7876082DDC),-0.962,0.436,-0.15,1.099,18.616,22.705,-66.38,59.57,80.4,56.183,-13.15,6.933,0.66281,0.34161,0.66608,0.01419,33.4,10080.1.13,100
2024-10-7 22:2:8:763,WTSensor3(8E7876082DDC),-0.858,0.478,-0.118,-0.488,32.654,20.02,-66.15,59.18,80.64,56.183,-13.15,6.933,0.66281,0.34161,0.66608,0.01419,33.4,10080.1.13,100
2024-10-7 22:2:8:763,WTSensor3(8E7876082DDC),-0.805,0.41,-0.139,-0.977,24.17,29.175,-65.85,58.83,80.97,56.183,-13.15,6.933,0.66281,0.34161,0.66608,0.01419,33.4,10080.1.13,100
2024-10-7 22:2:8:763,WTSensor3(8E7876082DDC),-0.868,0.405,-0.161,4.7,13.062,37.781,-65.71,58.49,81.1,56.183,-13.15,6.933,0.66281,0.34161,0.66608,0.01419,33.4,10080.1.13,100
2024-10-7 22:2:8:793,WTSensor3(8E7876082DDC),-0.895,0.443,-0.14,5.066,10.681,31.25,-65.67,58.19,81.12,56.183,-13.15,6.933,0.66281,0.34161,0.66608,0.01419,33.4,10080.1.13,100
