time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery level(%)
2024-10-7 21:46:23:791,WTSensor3(8E7876082DDC),-0.648,0.353,-0.636,-0.61,-1.587,1.465,-24.62,43.63,-97.43,17.55,-30.633,61.608,-0.1058,0.6651,-0.61151,-0.41519,30.7,10080.1.13,100
2024-10-7 21:46:23:791,WTSensor3(8E7876082DDC),-0.645,0.354,-0.637,-0.488,-0.427,1.587,-24.64,43.64,-97.46,17.55,-30.633,61.608,-0.1058,0.6651,-0.61151,-0.41519,30.7,10080.1.13,100
2024-10-7 21:46:23:791,WTSensor3(8E7876082DDC),-0.643,0.356,-0.633,-0.366,1.343,1.404,-24.65,43.62,-97.47,17.55,-30.633,61.608,-0.1058,0.6651,-0.61151,-0.41519,30.7,10080.1.13,100
2024-10-7 21:46:23:791,WTSensor3(8E7876082DDC),-0.643,0.356,-0.635,-0.366,0.916,0.793,-24.65,43.62,-97.48,17.55,-30.633,61.608,-0.1058,0.6651,-0.61151,-0.41519,30.7,10080.1.13,100
2024-10-7 21:46:23:802,WTSensor3(8E7876082DDC),-0.647,0.351,-0.637,-0.122,-0.183,0.122,-24.66,43.63,-97.49,17.55,-30.633,61.608,-0.1058,0.6651,-0.61151,-0.41519,30.7,10080.1.13,100
2024-10-7 21:46:23:802,WTSensor3(8E7876082DDC),-0.654,0.354,-0.636,0.122,-1.099,-0.671,-24.65,43.64,-97.49,17.55,-30.633,61.608,-0.1058,0.6651,-0.61151,-0.41519,30.7,10080.1.13,100
2024-10-7 21:46:23:803,WTSensor3(8E7876082DDC),-0.653,0.353,-0.637,0.671,-1.099,-0.427,-24.65,43.67,-97.5,17.55,-30.633,61.608,-0.1058,0.6651,-0.61151,-0.41519,30.7,10080.1.13,100
2024-10-7 21:46:23:803,WTSensor3(8E7876082DDC),-0.653,0.351,-0.647,1.648,-1.282,0.549,-24.64,43.68,-97.51,17.55,-30.633,61.608,-0.1058,0.6651,-0.61151,-0.41519,30.7,10080.1.13,100
2024-10-7 21:46:23:831,WTSensor3(8E7876082DDC),-0.656,0.35,-0.645,1.587,-1.038,0.427,-24.63,43.69,-97.53,17.55,-30.633,61.608,-0.1058,0.6651,-0.61151,-0.41519,30.7,10080.1.13,100
2024-10-7 21:46:23:831,WTSensor3(8E7876082DDC),-0.664,0.351,-0.649,1.404,-1.526,-0.488,-24.62,43.71,-97.54,17.55,-30.633,61.608,-0.1058,0.6651,-0.61151,-0.41519,30.7,10080.1.13,100
