time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery level(%)
2024-10-24 21:5:30:711,WTSensor3(8E7876082DDC),0.108,-0.514,-0.883,8.423,-12.207,6.165,38.89,-2.63,14.7,20.383,-6.667,75.358,-0.28714,0.94907,0.129,-0.00873,27,10080.1.13,100
2024-10-24 21:5:30:711,WTSensor3(8E7876082DDC),0.122,-0.528,-0.919,12.268,-19.531,12.695,39.01,-2.41,14.71,20.383,-6.667,75.358,-0.28714,0.94907,0.129,-0.00873,27,10080.1.13,100
2024-10-24 21:5:30:711,WTSensor3(8E7876082DDC),0.111,-0.539,-0.896,17.09,-27.771,20.508,39.17,-2.07,14.69,20.383,-6.667,75.358,-0.28714,0.94907,0.129,-0.00873,27,10080.1.13,100
2024-10-24 21:5:30:711,WTSensor3(8E7876082DDC),0.121,-0.537,-0.916,19.531,-38.818,27.771,39.36,-1.6,14.67,20.383,-6.667,75.358,-0.28714,0.94907,0.129,-0.00873,27,10080.1.13,100
2024-10-24 21:5:30:754,WTSensor3(8E7876082DDC),0.112,-0.528,-0.914,22.583,-52.063,30.09,39.58,-1.01,14.71,20.383,-6.667,75.358,-0.28714,0.94907,0.129,-0.00873,27,10080.1.13,100
2024-10-24 21:5:30:754,WTSensor3(8E7876082DDC),0.104,-0.523,-0.92,24.17,-60.303,29.236,39.82,-0.36,14.8,21.283,-6.717,75.05,-0.28714,0.94907,0.129,-0.00873,27,10080.1.13,100
2024-10-24 21:5:30:754,WTSensor3(8E7876082DDC),0.08,-0.487,-0.993,19.226,-61.218,29.053,40.01,0.31,14.9,21.283,-6.717,75.05,-0.28714,0.94907,0.129,-0.00873,27,10080.1.13,100
2024-10-24 21:5:30:754,WTSensor3(8E7876082DDC),0.126,-0.485,-1.143,3.479,-56.885,30.884,40.05,0.94,14.97,21.283,-6.717,75.05,-0.28714,0.94907,0.129,-0.00873,27,10080.1.13,100
2024-10-24 21:5:30:799,WTSensor3(8E7876082DDC),0.259,-0.554,-1.316,-20.447,-57.068,28.137,39.85,1.57,15.06,21.283,-6.717,75.05,-0.28714,0.94907,0.129,-0.00873,27,10080.1.13,100
2024-10-24 21:5:30:799,WTSensor3(8E7876082DDC),0.307,-0.505,-1.432,-47.852,-53.406,11.353,39.39,2.07,15.26,21.283,-6.717,75.05,-0.28714,0.94907,0.129,-0.00873,27,10080.1.13,100
2024-10-24 21:5:30:799,WTSensor3(8E7876082DDC),0.21,-0.497,-1.316,-59.57,-20.935,-20.996,38.81,2.17,15.56,21.283,-6.717,75.05,-0.28714,0.94907,0.129,-0.00873,27,10080.1.13,100
2024-10-24 21:5:30:799,WTSensor3(8E7876082DDC),0.129,-0.691,-1.328,-38.269,-30.09,-51.331,38.44,2.13,16.12,21.283,-6.717,75.05,-0.28714,0.94907,0.129,-0.00873,27,10080.1.13,100
2024-10-24 21:5:30:829,WTSensor3(8E7876082DDC),0.049,-0.715,-1.249,0.488,-7.446,-58.899,38.44,1.88,16.66,21.283,-6.717,75.05,-0.28714,0.94907,0.129,-0.00873,27,10080.1.13,100
2024-10-24 21:5:30:829,WTSensor3(8E7876082DDC),0.03,-0.773,-1.323,32.837,-1.16,-57.678,38.75,1.57,17.15,21.283,-6.717,75.05,-0.28714,0.94907,0.129,-0.00873,27,10080.1.13,100
2024-10-24 21:5:30:829,WTSensor3(8E7876082DDC),0.012,-0.724,-1.317,46.021,3.601,-41.809,39.2,1.31,17.49,21.283,-6.717,75.05,-0.28714,0.94907,0.129,-0.00873,27,10080.1.13,100
2024-10-24 21:5:30:829,WTSensor3(8E7876082DDC),-0.013,-0.69,-1.44,35.339,3.784,-27.71,39.57,1.13,17.71,21.283,-6.717,75.05,-0.28714,0.94907,0.129,-0.00873,27,10080.1.13,100
2024-10-24 21:5:30:874,WTSensor3(8E7876082DDC),-0.004,-0.701,-1.423,20.752,-22.888,-15.137,39.78,1.22,17.96,21.283,-6.717,75.05,-0.28714,0.94907,0.129,-0.00873,27,10080.1.13,100
2024-10-24 21:5:30:874,WTSensor3(8E7876082DDC),0.036,-0.67,-1.327,11.719,-33.63,2.136,39.91,1.49,18.14,21.283,-6.717,75.05,-0.28714,0.94907,0.129,-0.00873,27,10080.1.13,100
2024-10-24 21:5:30:874,WTSensor3(8E7876082DDC),0.077,-0.646,-1.243,11.047,-39.124,10.62,40.02,1.87,18.28,21.283,-6.717,75.05,-0.28714,0.94907,0.129,-0.00873,27,10080.1.13,100
2024-10-24 21:5:30:874,WTSensor3(8E7876082DDC),0.062,-0.602,-1.135,14.648,-38.33,5.432,40.17,2.21,18.44,21.283,-6.717,75.05,-0.28714,0.94907,0.129,-0.00873,27,10080.1.13,100
