time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery level(%)
2024-10-7 21:28:44:175,WTSensor3(8E7876082DDC),-0.757,0.289,-0.561,2.625,5.493,-5.127,-21.06,52.4,-25.01,36.45,-40.567,38.208,-0.11176,-0.87616,0.09018,0.46005,26.5,10080.1.13,100
2024-10-7 21:28:44:175,WTSensor3(8E7876082DDC),-0.759,0.292,-0.568,2.502,3.479,-6.653,-20.93,52.4,-24.88,36.45,-40.567,38.208,-0.11176,-0.87616,0.09018,0.46005,26.5,10080.1.13,100
2024-10-7 21:28:44:175,WTSensor3(8E7876082DDC),-0.766,0.294,-0.571,2.991,3.296,-7.324,-20.8,52.4,-24.79,36.45,-40.567,38.208,-0.11176,-0.87616,0.09018,0.46005,26.5,10080.1.13,100
2024-10-7 21:28:44:175,WTSensor3(8E7876082DDC),-0.767,0.294,-0.576,3.174,3.54,-7.263,-20.67,52.4,-24.65,36.45,-40.567,38.208,-0.11176,-0.87616,0.09018,0.46005,26.5,10080.1.13,100
2024-10-7 21:28:44:233,WTSensor3(8E7876082DDC),-0.772,0.292,-0.574,2.991,4.578,-7.385,-20.52,52.39,-24.54,36.45,-40.567,38.208,-0.11176,-0.87616,0.09018,0.46005,26.5,10080.1.13,100
2024-10-7 21:28:44:233,WTSensor3(8E7876082DDC),-0.793,0.286,-0.573,3.54,5.31,-8.606,-20.36,52.39,-24.38,36.45,-40.567,38.208,-0.11176,-0.87616,0.09018,0.46005,26.5,10080.1.13,100
2024-10-7 21:28:44:233,WTSensor3(8E7876082DDC),-0.824,0.286,-0.576,5.005,3.296,-10.803,-20.17,52.4,-24.22,36.45,-40.567,38.208,-0.11176,-0.87616,0.09018,0.46005,26.5,10080.1.13,100
2024-10-7 21:28:44:233,WTSensor3(8E7876082DDC),-0.854,0.278,-0.567,5.493,-1.648,-12.695,-19.98,52.47,-24.05,36.45,-40.567,38.208,-0.11176,-0.87616,0.09018,0.46005,26.5,10080.1.13,100
2024-10-7 21:28:44:267,WTSensor3(8E7876082DDC),-0.859,0.275,-0.571,5.615,-6.287,-12.695,-19.81,52.58,-23.93,36.45,-40.567,38.208,-0.11176,-0.87616,0.09018,0.46005,26.5,10080.1.13,100
2024-10-7 21:28:44:267,WTSensor3(8E7876082DDC),-0.836,0.27,-0.569,5.371,-9.216,-11.475,-19.67,52.71,-23.83,36.45,-40.567,38.208,-0.11176,-0.87616,0.09018,0.46005,26.5,10080.1.13,100
2024-10-7 21:28:44:267,WTSensor3(8E7876082DDC),-0.824,0.271,-0.548,5.127,-6.897,-8.667,-19.56,52.81,-23.77,36.45,-40.567,38.208,-0.11176,-0.87616,0.09018,0.46005,26.5,10080.1.13,100
2024-10-7 21:28:44:267,WTSensor3(8E7876082DDC),-0.816,0.269,-0.535,2.258,0.122,-4.089,-19.51,52.83,-23.74,36.45,-40.567,38.208,-0.11176,-0.87616,0.09018,0.46005,26.5,10080.1.13,100
2024-10-7 21:28:44:296,WTSensor3(8E7876082DDC),-0.787,0.264,-0.539,0,4.883,-1.648,-19.45,52.79,-23.71,36.45,-40.567,38.208,-0.11176,-0.87616,0.09018,0.46005,26.5,10080.1.13,100
2024-10-7 21:28:44:297,WTSensor3(8E7876082DDC),-0.765,0.254,-0.522,0.366,7.385,0.549,-19.41,52.72,-23.66,36.45,-40.567,38.208,-0.11176,-0.87616,0.09018,0.46005,26.5,10080.1.13,100
2024-10-7 21:28:44:297,WTSensor3(8E7876082DDC),-0.733,0.244,-0.52,0.671,7.141,1.404,-19.38,52.65,-23.66,36.45,-40.567,38.208,-0.11176,-0.87616,0.09018,0.46005,26.5,10080.1.13,100
2024-10-7 21:28:44:297,WTSensor3(8E7876082DDC),-0.72,0.256,-0.534,0.671,7.507,-0.061,-19.34,52.59,-23.61,36.45,-40.567,38.208,-0.10275,-0.87848,0.08658,0.4584,26.5,10080.1.13,100
2024-10-7 21:28:44:342,WTSensor3(8E7876082DDC),-0.715,0.25,-0.554,-0.977,8.24,-1.831,-19.28,52.52,-23.55,36.45,-40.567,38.208,-0.10275,-0.87848,0.08658,0.4584,26.5,10080.1.13,100
2024-10-7 21:28:44:342,WTSensor3(8E7876082DDC),-0.719,0.256,-0.566,-4.211,8.362,-3.906,-19.23,52.46,-23.44,36.45,-40.567,38.208,-0.10275,-0.87848,0.08658,0.4584,26.5,10080.1.13,100
2024-10-7 21:28:44:342,WTSensor3(8E7876082DDC),-0.728,0.247,-0.56,-5.31,7.019,-5.676,-19.18,52.42,-23.33,36.45,-40.567,38.208,-0.10275,-0.87848,0.08658,0.4584,26.5,10080.1.13,100
2024-10-7 21:28:44:342,WTSensor3(8E7876082DDC),-0.745,0.257,-0.543,-6.226,4.272,-6.104,-19.15,52.4,-23.21,36.45,-40.567,38.208,-0.10275,-0.87848,0.08658,0.4584,26.5,10080.1.13,100
2024-10-7 21:28:44:388,WTSensor3(8E7876082DDC),-0.752,0.235,-0.534,-5.188,1.587,-5.798,-19.12,52.4,-23.14,36.45,-40.567,38.208,-0.10275,-0.87848,0.08658,0.4584,26.5,10080.1.13,100
2024-10-7 21:28:44:388,WTSensor3(8E7876082DDC),-0.771,0.241,-0.543,-2.502,1.465,-4.15,-19.12,52.4,-23.1,36.45,-40.567,38.208,-0.10275,-0.87848,0.08658,0.4584,26.5,10080.1.13,100
2024-10-7 21:28:44:388,WTSensor3(8E7876082DDC),-0.78,0.237,-0.554,-0.427,-0.427,-1.831,-19.1,52.42,-23.1,36.45,-40.567,38.208,-0.10275,-0.87848,0.08658,0.4584,26.5,10080.1.13,100
2024-10-7 21:28:44:388,WTSensor3(8E7876082DDC),-0.801,0.226,-0.568,0.732,-3.967,0.427,-19.12,52.45,-23.13,36.45,-40.567,38.208,-0.10275,-0.87848,0.08658,0.4584,26.5,10080.1.13,100
2024-10-7 21:28:44:431,WTSensor3(8E7876082DDC),-0.822,0.209,-0.557,3.479,-7.141,1.404,-19.14,52.51,-23.23,36.45,-40.567,38.208,-0.10275,-0.87848,0.08658,0.4584,26.5,10080.1.13,100
2024-10-7 21:28:44:431,WTSensor3(8E7876082DDC),-0.833,0.202,-0.575,6.348,-9.949,1.221,-19.14,52.6,-23.31,36.45,-40.567,38.208,-0.10275,-0.87848,0.08658,0.4584,26.5,10080.1.13,100
2024-10-7 21:28:44:431,WTSensor3(8E7876082DDC),-0.835,0.198,-0.586,7.935,-10.132,3.052,-19.15,52.68,-23.45,36.45,-40.567,38.208,-0.10275,-0.87848,0.08658,0.4584,26.5,10080.1.13,100
2024-10-7 21:28:44:431,WTSensor3(8E7876082DDC),-0.838,0.204,-0.601,6.531,-9.583,5.615,-19.2,52.74,-23.59,36.45,-40.567,38.208,-0.10275,-0.87848,0.08658,0.4584,26.5,10080.1.13,100
2024-10-7 21:28:44:460,WTSensor3(8E7876082DDC),-0.84,0.203,-0.587,0.61,-7.263,6.897,-19.31,52.78,-23.77,36.45,-40.567,38.208,-0.10275,-0.87848,0.08658,0.4584,26.5,10080.1.13,100
2024-10-7 21:28:44:460,WTSensor3(8E7876082DDC),-0.835,0.182,-0.559,-4.089,-3.601,6.897,-19.45,52.78,-23.9,36.45,-40.567,38.208,-0.10275,-0.87848,0.08658,0.4584,26.5,10080.1.13,100
2024-10-7 21:28:44:461,WTSensor3(8E7876082DDC),-0.833,0.159,-0.531,-3.54,4.089,6.592,-19.54,52.72,-24,36.45,-40.567,38.208,-0.10275,-0.87848,0.08658,0.4584,26.5,10080.1.13,100
2024-10-7 21:28:44:461,WTSensor3(8E7876082DDC),-0.839,0.161,-0.524,1.038,6.836,5.859,-19.56,52.64,-24.04,36.45,-40.567,38.208,-0.10275,-0.87848,0.08658,0.4584,26.5,10080.1.13,100
2024-10-7 21:28:44:506,WTSensor3(8E7876082DDC),-0.842,0.154,-0.493,7.69,7.019,4.822,-19.51,52.55,-24.09,36.45,-40.567,38.208,-0.10275,-0.87848,0.08658,0.4584,26.5,10080.1.13,100
2024-10-7 21:28:44:507,WTSensor3(8E7876082DDC),-0.839,0.17,-0.517,15.503,2.014,5.737,-19.41,52.51,-24.16,36.45,-40.567,38.208,-0.10275,-0.87848,0.08658,0.4584,26.5,10080.1.13,100
2024-10-7 21:28:44:507,WTSensor3(8E7876082DDC),-0.841,0.187,-0.517,18.494,-5.066,8.484,-19.35,52.51,-24.34,36.45,-40.567,38.208,-0.10275,-0.87848,0.08658,0.4584,26.5,10080.1.13,100
2024-10-7 21:28:44:507,WTSensor3(8E7876082DDC),-0.809,0.201,-0.551,19.47,-10.193,12.085,-19.35,52.55,-24.58,36.45,-40.567,38.208,-0.10275,-0.87848,0.08658,0.4584,26.5,10080.1.13,100
2024-10-7 21:28:44:536,WTSensor3(8E7876082DDC),-0.792,0.212,-0.546,19.226,-10.071,16.418,-19.4,52.58,-24.92,36.758,-40.075,38.5,-0.10275,-0.87848,0.08658,0.4584,26.5,10080.1.13,100
2024-10-7 21:28:44:536,WTSensor3(8E7876082DDC),-0.772,0.208,-0.551,22.827,-6.165,19.897,-19.43,52.56,-25.25,36.758,-40.075,38.5,-0.10275,-0.87848,0.08658,0.4584,26.5,10080.1.13,100
2024-10-7 21:28:44:536,WTSensor3(8E7876082DDC),-0.772,0.226,-0.554,28.259,-12.268,20.691,-19.46,52.58,-25.66,36.758,-40.075,38.5,-0.10275,-0.87848,0.08658,0.4584,26.5,10080.1.13,100
2024-10-7 21:28:44:536,WTSensor3(8E7876082DDC),-0.791,0.237,-0.567,33.264,-18.25,20.752,-19.47,52.65,-26.09,36.758,-40.075,38.5,-0.10275,-0.87848,0.08658,0.4584,26.5,10080.1.13,100
2024-10-7 21:28:44:581,WTSensor3(8E7876082DDC),-0.806,0.229,-0.609,36.743,-23.743,19.348,-19.46,52.78,-26.56,36.758,-40.075,38.5,-0.10275,-0.87848,0.08658,0.4584,26.5,10080.1.13,100
