time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery level(%)
2024-10-28 0:10:29:813,WTSensor3(8E7876082DDC),0.487,0.415,0.708,39.429,-17.395,45.41,-148.8,-25.35,98.08,-4.067,-26.858,-35.6,0.65674,0.35565,0.07355,0.6608,21.3,10080.1.13,90
2024-10-28 0:10:29:813,WTSensor3(8E7876082DDC),0.518,0.404,0.721,40.222,-14.648,50.964,-148.6,-25.7,98.53,-4.067,-26.858,-35.6,0.65674,0.35565,0.07355,0.6608,21.3,10080.1.13,90
2024-10-28 0:10:29:813,WTSensor3(8E7876082DDC),0.496,0.4,0.751,34.79,0.488,59.082,-148.51,-25.96,99.12,-4.067,-26.858,-35.6,0.65674,0.35565,0.07355,0.6608,21.3,10080.1.13,90
2024-10-28 0:10:29:813,WTSensor3(8E7876082DDC),0.521,0.39,0.757,26.062,13.245,66.284,-148.57,-26.14,99.84,-4.067,-26.858,-35.6,0.65674,0.35565,0.07355,0.6608,21.3,10080.1.13,90
2024-10-28 0:10:29:845,WTSensor3(8E7876082DDC),0.487,0.375,0.734,20.264,22.583,71.96,-148.75,-26.25,100.68,-4.067,-26.858,-35.6,0.65674,0.35565,0.07355,0.6608,21.3,10080.1.13,90
2024-10-28 0:10:29:845,WTSensor3(8E7876082DDC),0.472,0.404,0.674,19.653,23.56,78.125,-148.96,-26.36,101.59,-4.067,-26.858,-35.6,0.65674,0.35565,0.07355,0.6608,21.3,10080.1.13,90
2024-10-28 0:10:29:845,WTSensor3(8E7876082DDC),0.406,0.394,0.678,22.095,20.264,79.712,-149.16,-26.52,102.5,-4.067,-26.858,-35.6,0.65674,0.35565,0.07355,0.6608,21.3,10080.1.13,90
2024-10-28 0:10:29:845,WTSensor3(8E7876082DDC),0.389,0.384,0.677,24.475,5.005,79.041,-149.3,-26.8,103.33,-4.067,-26.858,-35.6,0.65674,0.35565,0.07355,0.6608,21.3,10080.1.13,90
2024-10-28 0:10:29:875,WTSensor3(8E7876082DDC),0.398,0.341,0.688,24.719,-9.705,77.942,-149.41,-27.21,104.1,-4.067,-26.858,-35.6,0.65674,0.35565,0.07355,0.6608,21.3,10080.1.13,90
2024-10-28 0:10:29:875,WTSensor3(8E7876082DDC),0.413,0.342,0.712,22.095,-14.893,77.698,-149.53,-27.66,104.83,-4.067,-26.858,-35.6,0.65674,0.35565,0.07355,0.6608,21.3,10080.1.13,90
2024-10-28 0:10:29:875,WTSensor3(8E7876082DDC),0.462,0.336,0.678,19.653,-17.09,80.139,-149.69,-28.15,105.58,-4.067,-26.858,-35.6,0.65674,0.35565,0.07355,0.6608,21.3,10080.1.13,90
2024-10-28 0:10:29:875,WTSensor3(8E7876082DDC),0.482,0.38,0.657,21.057,-21.912,83.313,-149.85,-28.69,106.35,-4.067,-26.858,-35.6,0.65674,0.35565,0.07355,0.6608,21.3,10080.1.13,90
2024-10-28 0:10:29:920,WTSensor3(8E7876082DDC),0.512,0.343,0.694,26.123,-24.109,83.984,-149.97,-29.26,107.12,-4.067,-26.858,-35.6,0.65674,0.35565,0.07355,0.6608,21.3,10080.1.13,90
2024-10-28 0:10:29:920,WTSensor3(8E7876082DDC),0.491,0.293,0.708,42.847,-26.062,81.604,-149.92,-29.83,107.85,-4.067,-26.858,-35.6,0.65674,0.35565,0.07355,0.6608,21.3,10080.1.13,90
2024-10-28 0:10:29:920,WTSensor3(8E7876082DDC),0.503,0.348,0.793,65.491,-13.672,70.374,-149.63,-30.26,108.53,-4.067,-26.858,-35.6,0.65674,0.35565,0.07355,0.6608,21.3,10080.1.13,90
2024-10-28 0:10:29:920,WTSensor3(8E7876082DDC),0.576,0.366,0.689,95.276,-6.348,54.688,-148.97,-30.57,109.09,-4.067,-26.858,-35.6,0.4935,0.33957,0.02374,0.80029,21.3,10080.1.13,90
2024-10-28 0:10:29:967,WTSensor3(8E7876082DDC),0.547,0.367,0.472,139.465,-27.222,44.495,-147.8,-31.03,109.43,-4.067,-26.858,-35.6,0.4935,0.33957,0.02374,0.80029,21.3,10080.1.13,90
2024-10-28 0:10:29:967,WTSensor3(8E7876082DDC),0.61,0.47,0.476,172.852,-81.665,52.124,-146.15,-31.95,109.56,-4.067,-26.858,-35.6,0.4935,0.33957,0.02374,0.80029,21.3,10080.1.13,90
2024-10-28 0:10:29:967,WTSensor3(8E7876082DDC),0.636,0.361,0.525,187.439,-106.14,64.941,-144.33,-33.17,109.63,-4.067,-26.858,-35.6,0.4935,0.33957,0.02374,0.80029,21.3,10080.1.13,90
