time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery level(%)
2024-11-8 23:58:43:425,WTSensor3(8E7876082DDC),0.839,0.572,-0.127,7.813,-5.493,-14.343,-84.63,-25.36,25.73,-89.242,-66.433,96.017,-0.40192,-0.71292,0.02255,-0.5741,27.6,10080.1.13,75
2024-11-8 23:58:43:425,WTSensor3(8E7876082DDC),0.82,0.582,-0.132,10.437,-10.498,-17.517,-84.73,-24.71,25.09,-89.242,-66.433,96.017,-0.64212,-0.70496,0.00226,-0.30099,27.6,10080.1.13,75
2024-11-8 23:58:43:425,WTSensor3(8E7876082DDC),0.838,0.588,-0.112,9.705,-10.193,-20.813,-84.82,-24.03,24.37,-89.242,-66.433,96.017,-0.64212,-0.70496,0.00226,-0.30099,27.6,10080.1.13,75
2024-11-8 23:58:43:425,WTSensor3(8E7876082DDC),0.867,0.59,-0.128,10.559,-13.245,-21.545,-84.91,-23.35,23.7,-89.242,-66.433,96.017,-0.64212,-0.70496,0.00226,-0.30099,27.6,10080.1.13,75
2024-11-8 23:58:43:470,WTSensor3(8E7876082DDC),0.942,0.605,-0.14,14.587,-20.691,-19.775,-84.93,-22.68,22.88,-89.242,-66.433,96.017,-0.64212,-0.70496,0.00226,-0.30099,27.6,10080.1.13,75
2024-11-8 23:58:43:470,WTSensor3(8E7876082DDC),0.894,0.677,-0.095,23.254,-30.09,-21.484,-84.88,-22,22.06,-89.242,-66.433,96.017,-0.64212,-0.70496,0.00226,-0.30099,27.6,10080.1.13,75
2024-11-8 23:58:43:470,WTSensor3(8E7876082DDC),0.946,0.626,-0.233,23.132,-29.297,-31.921,-84.81,-21.21,21.14,-89.242,-66.433,96.017,-0.64212,-0.70496,0.00226,-0.30099,27.6,10080.1.13,75
2024-11-8 23:58:43:470,WTSensor3(8E7876082DDC),0.869,0.653,-0.109,23.926,-37.781,-32.349,-84.7,-20.42,20.22,-89.242,-66.433,96.017,-0.64212,-0.70496,0.00226,-0.30099,27.6,10080.1.13,75
2024-11-8 23:58:43:515,WTSensor3(8E7876082DDC),0.825,0.64,-0.145,21.423,-40.833,-34.668,-84.62,-19.6,19.21,-89.242,-66.433,96.017,-0.64212,-0.70496,0.00226,-0.30099,27.6,10080.1.13,75
2024-11-8 23:58:43:515,WTSensor3(8E7876082DDC),0.782,0.616,-0.183,13.672,-37.17,-37.231,-84.65,-18.76,18.31,-89.242,-66.433,96.017,-0.64212,-0.70496,0.00226,-0.30099,27.6,10080.1.13,75
2024-11-8 23:58:43:515,WTSensor3(8E7876082DDC),0.738,0.605,-0.159,11.23,-34.668,-38.879,-84.72,-17.9,17.36,-89.242,-66.433,96.017,-0.64212,-0.70496,0.00226,-0.30099,27.6,10080.1.13,75
2024-11-8 23:58:43:515,WTSensor3(8E7876082DDC),0.694,0.588,-0.134,2.808,-24.902,-41.504,-84.92,-17.02,16.59,-89.242,-66.433,96.017,-0.64212,-0.70496,0.00226,-0.30099,27.6,10080.1.13,75
2024-11-8 23:58:43:547,WTSensor3(8E7876082DDC),0.642,0.544,-0.177,-4.456,-18.677,-40.283,-85.22,-16.14,15.82,-89.242,-66.433,96.017,-0.64212,-0.70496,0.00226,-0.30099,27.6,10080.1.13,75
2024-11-8 23:58:43:547,WTSensor3(8E7876082DDC),0.618,0.512,-0.21,-6.104,-16.479,-35.034,-85.57,-15.34,15.14,-89.242,-66.433,96.017,-0.64212,-0.70496,0.00226,-0.30099,27.6,10080.1.13,75
2024-11-8 23:58:43:547,WTSensor3(8E7876082DDC),0.619,0.502,-0.214,-5.31,-12.756,-27.71,-85.91,-14.58,14.43,-89.242,-66.433,96.017,-0.64212,-0.70496,0.00226,-0.30099,27.6,10080.1.13,75
2024-11-8 23:58:43:547,WTSensor3(8E7876082DDC),0.612,0.521,-0.201,-7.751,-6.958,-22.705,-86.31,-13.9,13.84,-89.242,-66.433,96.017,-0.64212,-0.70496,0.00226,-0.30099,27.6,10080.1.13,75
2024-11-8 23:58:43:592,WTSensor3(8E7876082DDC),0.602,0.515,-0.199,-10.986,-2.258,-16.479,-86.75,-13.28,13.24,-89.242,-66.433,96.017,-0.64212,-0.70496,0.00226,-0.30099,27.6,10080.1.13,75
