time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery level(%)
2024-10-24 20:47:19:243,WTSensor3(8E7876082DDC),-1.089,-0.742,-0.828,213.623,-27.588,-26.184,49.18,34.09,130.91,17.583,6.725,54.908,0.29236,0.38977,0.83871,-0.24301,25.9,10080.1.13,100
2024-10-24 20:47:19:243,WTSensor3(8E7876082DDC),-1.198,-0.813,-1.096,215.393,-34.302,-15.137,51.56,34.22,131.39,17.583,6.725,54.908,0.29236,0.38977,0.83871,-0.24301,25.9,10080.1.13,100
2024-10-24 20:47:19:243,WTSensor3(8E7876082DDC),-1.312,-0.804,-1.506,199.829,-40.771,-3.906,53.78,34.47,131.85,17.583,6.725,54.908,0.29236,0.38977,0.83871,-0.24301,25.9,10080.1.13,100
2024-10-24 20:47:19:243,WTSensor3(8E7876082DDC),-1.307,-0.742,-1.854,151.184,-44.312,9.216,55.5,34.82,132.24,17.583,6.725,54.908,0.29236,0.38977,0.83871,-0.24301,25.9,10080.1.13,100
2024-10-24 20:47:19:286,WTSensor3(8E7876082DDC),-1.254,-0.706,-2.229,71.106,-16.052,43.701,56.17,35.24,132.14,17.583,6.725,54.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:286,WTSensor3(8E7876082DDC),-1.267,-0.714,-2.477,-14.709,42.419,90.149,55.46,35.67,131.16,17.583,6.725,54.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:286,WTSensor3(8E7876082DDC),-1.234,-0.694,-2.582,-99.243,96.375,136.353,53.39,36.06,129.28,17.583,6.725,54.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:286,WTSensor3(8E7876082DDC),-1.186,-0.639,-2.532,-169.739,144.226,169.556,50.17,36.28,126.65,17.583,6.725,54.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:335,WTSensor3(8E7876082DDC),-1.162,-0.583,-2.378,-221.802,172.974,192.261,46.14,36.32,123.55,17.583,6.725,54.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:335,WTSensor3(8E7876082DDC),-1.1,-0.509,-2.216,-255.737,172.18,207.092,41.67,36.25,120.3,17.583,6.725,54.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:335,WTSensor3(8E7876082DDC),-1.014,-0.438,-2.131,-279.236,144.775,216.736,37.01,36.24,117.14,17.583,6.725,54.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:335,WTSensor3(8E7876082DDC),-0.895,-0.345,-2.12,-303.772,99.243,228.21,32.18,36.47,114.14,17.583,6.725,54.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:361,WTSensor3(8E7876082DDC),-0.699,-0.27,-2.094,-335.938,45.654,240.723,27.09,37.02,111.23,17.583,6.725,54.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:361,WTSensor3(8E7876082DDC),-0.514,-0.21,-2.074,-373.413,-4.761,258.118,21.54,37.88,108.25,17.583,6.725,54.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:361,WTSensor3(8E7876082DDC),-0.333,-0.14,-2.023,-417.542,-43.335,275.513,15.38,38.91,105.03,17.583,6.725,54.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:361,WTSensor3(8E7876082DDC),-0.163,-0.081,-1.899,-467.285,-64.697,286.377,8.49,39.87,101.54,17.583,6.725,54.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:405,WTSensor3(8E7876082DDC),-0.02,-0.065,-1.789,-518.311,-67.261,294.067,0.88,40.53,97.76,17.583,6.725,54.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:405,WTSensor3(8E7876082DDC),0.075,-0.077,-1.675,-566.406,-52.063,282.898,-7.19,40.65,94.05,17.583,6.725,54.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:405,WTSensor3(8E7876082DDC),0.099,-0.055,-1.396,-598.694,-34.485,260.986,-15.35,40.27,90.68,17.583,6.725,54.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:405,WTSensor3(8E7876082DDC),0.018,-0.05,-1.062,-604.309,-15.93,241.882,-23.26,39.45,87.78,17.583,6.725,54.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:454,WTSensor3(8E7876082DDC),-0.058,-0.073,-0.697,-579.041,-13.672,226.318,-30.66,38.39,85.25,17.583,6.725,54.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:454,WTSensor3(8E7876082DDC),-0.05,-0.049,-0.371,-525.452,-36.987,210.815,-37.38,37.35,82.94,17.583,6.725,54.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:454,WTSensor3(8E7876082DDC),0.057,0.037,-0.115,-458.008,-68.176,176.025,-43.29,36.58,80.81,17.583,6.725,54.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:454,WTSensor3(8E7876082DDC),0.203,0.117,0.03,-395.996,-88.501,139.099,-48.44,36.06,78.9,17.583,6.725,54.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:484,WTSensor3(8E7876082DDC),0.253,0.184,0.176,-345.703,-74.768,114.685,-52.87,35.55,77.33,17.583,6.725,54.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:484,WTSensor3(8E7876082DDC),0.245,0.276,0.297,-313.11,-35.034,93.75,-56.6,34.95,76.38,17.583,6.725,54.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:484,WTSensor3(8E7876082DDC),0.16,0.301,0.355,-290.771,15.076,77.087,-59.72,34.25,76.07,28.833,-21.592,47.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:484,WTSensor3(8E7876082DDC),0.063,0.271,0.399,-264.282,46.997,64.758,-62.32,33.51,76.25,28.833,-21.592,47.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:528,WTSensor3(8E7876082DDC),0.008,0.255,0.434,-233.276,53.589,49.377,-64.51,32.89,76.6,28.833,-21.592,47.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:528,WTSensor3(8E7876082DDC),-0.047,0.256,0.409,-204.346,43.03,31.921,-66.42,32.48,76.96,28.833,-21.592,47.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:528,WTSensor3(8E7876082DDC),-0.053,0.293,0.352,-175.659,24.536,18.494,-68.12,32.26,77.17,28.833,-21.592,47.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:528,WTSensor3(8E7876082DDC),-0.023,0.368,0.38,-168.64,7.874,0.305,-69.8,32.26,77.25,28.833,-21.592,47.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:571,WTSensor3(8E7876082DDC),0.02,0.388,0.399,-158.875,-2.319,-10.742,-71.44,32.4,77.24,28.833,-21.592,47.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:571,WTSensor3(8E7876082DDC),-0.01,0.418,0.417,-143.555,3.174,-28.32,-72.87,32.7,77.33,28.833,-21.592,47.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:571,WTSensor3(8E7876082DDC),-0.097,0.429,0.4,-129.639,23.132,-37.17,-74.04,33.06,77.63,28.833,-21.592,47.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:571,WTSensor3(8E7876082DDC),-0.188,0.444,0.315,-120.117,45.654,-39.307,-74.98,33.4,78.22,28.833,-21.592,47.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:600,WTSensor3(8E7876082DDC),-0.3,0.459,0.2,-109.924,56.458,-43.945,-75.73,33.78,78.92,28.833,-21.592,47.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:600,WTSensor3(8E7876082DDC),-0.365,0.494,0.101,-103.516,57.129,-47.668,-76.4,34.21,79.66,28.833,-21.592,47.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:600,WTSensor3(8E7876082DDC),-0.367,0.544,0.119,-97.534,37.415,-48.706,-77.14,34.68,80.16,28.833,-21.592,47.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:600,WTSensor3(8E7876082DDC),-0.339,0.568,0.165,-86.792,9.705,-56.641,-77.94,35.25,80.35,28.833,-21.592,47.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:648,WTSensor3(8E7876082DDC),-0.334,0.596,0.224,-78.735,-10.803,-65.43,-78.8,35.94,80.29,28.833,-21.592,47.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
2024-10-24 20:47:19:648,WTSensor3(8E7876082DDC),-0.267,0.565,0.307,-71.716,-11.902,-68.97,-79.61,36.67,80.2,28.833,-21.592,47.908,0.08109,0.46631,0.73755,-0.48157,25.9,10080.1.13,100
