time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-10-28 21:11:54.850	WT1(C3F20D2DC0A7)	0.942	0.174	-0.471	-0.488	1.526	-0.122	155.74	-69.88	41.48	5.525	-49.058	82.250	-0.04697	0.79196	0.17697	0.58237	32.3	10080.1.7	10
2024-10-28 21:11:54.850	WT1(C3F20D2DC0A7)	0.947	0.176	-0.473	-0.305	1.526	0.000	155.71	-69.89	41.52	5.525	-49.058	82.250	-0.04697	0.79196	0.17697	0.58237	32.3	10080.1.7	10
2024-10-28 21:11:54.850	WT1(C3F20D2DC0A7)	0.946	0.174	-0.477	-0.305	2.014	0.183	155.69	-69.91	41.56	5.525	-49.058	82.250	-0.04697	0.79196	0.17697	0.58237	32.3	10080.1.7	10
2024-10-28 21:11:54.850	WT1(C3F20D2DC0A7)	0.942	0.178	-0.476	-0.122	1.770	0.000	155.66	-69.92	41.61	5.525	-49.058	82.250	-0.04697	0.79196	0.17697	0.58237	32.3	10080.1.7	10
2024-10-28 21:11:54.881	WT1(C3F20D2DC0A7)	0.940	0.180	-0.474	0.061	1.282	-0.061	155.64	-69.93	41.65	5.525	-49.058	82.250	-0.04697	0.79196	0.17697	0.58237	32.3	10080.1.7	10
2024-10-28 21:11:54.881	WT1(C3F20D2DC0A7)	0.938	0.180	-0.471	0.000	0.183	-0.427	155.62	-69.93	41.69	5.525	-49.058	82.250	-0.04697	0.79196	0.17697	0.58237	32.3	10080.1.7	10
2024-10-28 21:11:54.881	WT1(C3F20D2DC0A7)	0.936	0.183	-0.475	0.122	-0.671	-0.488	155.60	-69.92	41.72	5.525	-49.058	82.250	-0.04697	0.79196	0.17697	0.58237	32.3	10080.1.7	10
2024-10-28 21:11:54.881	WT1(C3F20D2DC0A7)	0.935	0.179	-0.474	0.122	-0.671	-0.427	155.59	-69.91	41.75	5.525	-49.058	82.250	-0.04697	0.79196	0.17697	0.58237	32.3	10080.1.7	10
2024-10-28 21:11:54.947	WT1(C3F20D2DC0A7)	0.938	0.178	-0.473	-0.061	0.244	0.000	155.59	-69.91	41.78	5.525	-49.058	82.250	-0.04697	0.79196	0.17697	0.58237	32.3	10080.1.7	10
2024-10-28 21:11:54.947	WT1(C3F20D2DC0A7)	0.937	0.177	-0.470	-0.122	0.366	0.061	155.58	-69.91	41.81	5.525	-49.058	82.250	-0.04697	0.79196	0.17697	0.58237	32.3	10080.1.7	10
