time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-10-28 20:19:40.743	WT1(C3F20D2DC0A7)	0.212	0.335	-0.927	-0.305	0.549	0.977	159.90	-10.02	21.93	39.983	-79.417	78.708	0.14224	0.96786	0.17163	0.11584	29.1	10080.1.7	10
2024-10-28 20:19:40.743	WT1(C3F20D2DC0A7)	0.211	0.337	-0.927	-0.244	0.427	0.916	159.90	-10.03	21.93	39.983	-79.417	78.708	0.14224	0.96786	0.17163	0.11584	29.1	10080.1.7	10
2024-10-28 20:19:40.743	WT1(C3F20D2DC0A7)	0.212	0.335	-0.926	-0.183	0.366	0.916	159.90	-10.04	21.93	39.983	-79.417	78.708	0.14224	0.96786	0.17163	0.11584	29.1	10080.1.7	10
2024-10-28 20:19:40.743	WT1(C3F20D2DC0A7)	0.212	0.333	-0.924	0.000	0.305	0.854	159.90	-10.04	21.93	39.983	-79.417	78.708	0.14224	0.96786	0.17163	0.11584	29.1	10080.1.7	10
2024-10-28 20:19:40.743	WT1(C3F20D2DC0A7)	0.214	0.334	-0.921	0.183	0.183	0.671	159.90	-10.05	21.93	39.983	-79.417	78.708	0.14224	0.96786	0.17163	0.11584	29.1	10080.1.7	10
2024-10-28 20:19:40.743	WT1(C3F20D2DC0A7)	0.215	0.333	-0.917	0.549	0.122	0.427	159.91	-10.05	21.93	39.983	-79.417	78.708	0.14224	0.96786	0.17163	0.11584	29.1	10080.1.7	10
2024-10-28 20:19:40.743	WT1(C3F20D2DC0A7)	0.218	0.335	-0.922	0.854	0.183	0.000	159.92	-10.05	21.94	39.983	-79.417	78.708	0.14224	0.96786	0.17163	0.11584	29.1	10080.1.7	10
2024-10-28 20:19:40.743	WT1(C3F20D2DC0A7)	0.219	0.336	-0.931	0.916	0.183	-0.244	159.92	-10.05	21.95	39.983	-79.417	78.708	0.14224	0.96786	0.17163	0.11584	29.1	10080.1.7	10
2024-10-28 20:19:40.773	WT1(C3F20D2DC0A7)	0.220	0.338	-0.937	0.854	0.000	-0.366	159.93	-10.05	21.96	39.983	-79.417	78.708	0.14224	0.96786	0.17163	0.11584	29.1	10080.1.7	10
2024-10-28 20:19:40.773	WT1(C3F20D2DC0A7)	0.218	0.342	-0.937	0.793	-0.305	-0.549	159.94	-10.05	21.97	39.983	-79.417	78.708	0.14224	0.96786	0.17163	0.11584	29.1	10080.1.7	10
2024-10-28 20:19:40.773	WT1(C3F20D2DC0A7)	0.218	0.340	-0.936	0.366	-0.366	-0.793	159.94	-10.05	21.98	39.983	-79.417	78.708	0.14224	0.96786	0.17163	0.11584	29.1	10080.1.7	10
2024-10-28 20:19:40.773	WT1(C3F20D2DC0A7)	0.218	0.338	-0.934	0.000	-0.366	-0.610	159.94	-10.04	21.99	39.983	-79.417	78.708	0.14224	0.96786	0.17163	0.11584	29.1	10080.1.7	10
2024-10-28 20:19:40.835	WT1(C3F20D2DC0A7)	0.217	0.336	-0.930	-0.305	-0.549	-0.366	159.94	-10.04	22.00	39.983	-79.417	78.708	0.14224	0.96786	0.17163	0.11584	29.1	10080.1.7	10
2024-10-28 20:19:40.835	WT1(C3F20D2DC0A7)	0.221	0.334	-0.926	-0.549	-0.671	-0.244	159.93	-10.03	22.01	39.983	-79.417	78.708	0.14224	0.96786	0.17163	0.11584	29.1	10080.1.7	10
2024-10-28 20:19:40.835	WT1(C3F20D2DC0A7)	0.221	0.331	-0.926	-0.854	-0.671	0.061	159.93	-10.03	22.01	39.983	-79.417	78.708	0.14224	0.96786	0.17163	0.11584	29.1	10080.1.7	10
2024-10-28 20:19:40.835	WT1(C3F20D2DC0A7)	0.221	0.329	-0.926	-0.854	-0.732	0.488	159.92	-10.02	22.01	39.983	-79.417	78.708	0.14224	0.96786	0.17163	0.11584	29.1	10080.1.7	10
2024-10-28 20:19:40.865	WT1(C3F20D2DC0A7)	0.221	0.329	-0.923	-0.793	-0.610	0.732	159.91	-10.01	22.01	39.983	-79.417	78.708	0.14224	0.96786	0.17163	0.11584	29.1	10080.1.7	10
2024-10-28 20:19:40.865	WT1(C3F20D2DC0A7)	0.221	0.330	-0.920	-0.671	-0.427	1.160	159.91	-10.01	22.01	39.983	-79.417	78.708	0.14224	0.96786	0.17163	0.11584	29.1	10080.1.7	10
2024-10-28 20:19:40.865	WT1(C3F20D2DC0A7)	0.218	0.331	-0.923	-0.305	-0.183	1.343	159.91	-10.02	21.99	39.983	-79.417	78.708	0.14224	0.96786	0.17163	0.11584	29.1	10080.1.7	10
2024-10-28 20:19:40.865	WT1(C3F20D2DC0A7)	0.217	0.331	-0.923	0.000	-0.366	1.587	159.91	-10.03	21.98	39.983	-79.417	78.708	0.14224	0.96786	0.17163	0.11584	29.1	10080.1.7	10
2024-10-28 20:19:40.895	WT1(C3F20D2DC0A7)	0.212	0.334	-0.926	0.183	-0.671	1.648	159.92	-10.03	21.97	39.983	-79.417	78.708	0.14224	0.96786	0.17163	0.11584	29.1	10080.1.7	10
2024-10-28 20:19:40.895	WT1(C3F20D2DC0A7)	0.211	0.335	-0.926	0.427	-0.916	1.770	159.92	-10.02	21.96	39.983	-79.417	78.708	0.14224	0.96786	0.17163	0.11584	29.1	10080.1.7	10
2024-10-28 20:19:40.895	WT1(C3F20D2DC0A7)	0.208	0.335	-0.926	0.366	-0.977	1.709	159.93	-10.02	21.95	39.983	-79.417	78.708	0.14224	0.96786	0.17163	0.11584	29.1	10080.1.7	10
2024-10-28 20:19:40.895	WT1(C3F20D2DC0A7)	0.209	0.336	-0.926	0.183	-0.793	1.648	159.93	-10.02	21.93	39.983	-79.417	78.708	0.14224	0.96786	0.17163	0.11584	29.1	10080.1.7	10
