time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-10-3 22:2:7:654	WT901BLE67(4A3DE8A6FBCE)	0.157	-0.039	0.984	2.747	1.160	-0.122	6.92	3.01	114.88	33.400	-17.475	68.450	0.54022	0.01691	0.09283	0.83615	33.3	10080.1.7	10
2024-10-3 22:2:7:654	WT901BLE67(4A3DE8A6FBCE)	0.154	-0.040	0.991	1.465	0.000	0.732	6.90	2.98	114.88	33.400	-17.475	68.450	0.54022	0.01691	0.09283	0.83615	33.3	10080.1.7	10
2024-10-3 22:2:7:654	WT901BLE67(4A3DE8A6FBCE)	0.156	-0.034	0.992	0.244	-0.977	0.732	6.88	2.93	114.89	33.400	-17.475	68.450	0.54022	0.01691	0.09283	0.83615	33.3	10080.1.7	10
2024-10-3 22:2:7:654	WT901BLE67(4A3DE8A6FBCE)	0.168	-0.031	0.989	-1.038	-1.831	-0.305	6.84	2.88	114.89	33.400	-17.475	68.450	0.54022	0.01691	0.09283	0.83615	33.3	10080.1.7	10
2024-10-3 22:2:7:684	WT901BLE67(4A3DE8A6FBCE)	0.178	-0.034	0.981	-1.465	-1.831	-1.099	6.80	2.83	114.88	33.400	-17.475	68.450	0.54022	0.01691	0.09283	0.83615	33.3	10080.1.7	10
2024-10-3 22:2:7:684	WT901BLE67(4A3DE8A6FBCE)	0.181	-0.043	0.977	-1.038	-1.831	-0.732	6.76	2.78	114.87	33.400	-17.475	68.450	0.54022	0.01691	0.09283	0.83615	33.3	10080.1.7	10
2024-10-3 22:2:7:684	WT901BLE67(4A3DE8A6FBCE)	0.178	-0.052	0.973	0.366	-1.221	0.000	6.72	2.73	114.87	33.400	-17.475	68.450	0.54022	0.01691	0.09283	0.83615	33.3	10080.1.7	10
2024-10-3 22:2:7:684	WT901BLE67(4A3DE8A6FBCE)	0.171	-0.049	0.979	2.136	-0.610	0.488	6.71	2.69	114.87	33.400	-17.475	68.450	0.54022	0.01691	0.09283	0.83615	33.3	10080.1.7	10
2024-10-3 22:2:7:714	WT901BLE67(4A3DE8A6FBCE)	0.165	-0.044	0.985	2.686	-0.183	0.549	6.71	2.65	114.88	33.400	-17.475	68.450	0.54022	0.01691	0.09283	0.83615	33.3	10080.1.7	10
2024-10-3 22:2:7:714	WT901BLE67(4A3DE8A6FBCE)	0.159	-0.043	0.992	1.831	-0.488	0.366	6.70	2.61	114.88	33.400	-17.475	68.450	0.54022	0.01691	0.09283	0.83615	33.3	10080.1.7	10
2024-10-3 22:2:7:714	WT901BLE67(4A3DE8A6FBCE)	0.158	-0.042	0.991	0.000	-2.075	0.244	6.68	2.56	114.88	33.400	-17.475	68.450	0.54022	0.01691	0.09283	0.83615	33.3	10080.1.7	10
2024-10-3 22:2:7:714	WT901BLE67(4A3DE8A6FBCE)	0.164	-0.040	0.987	-1.221	-2.441	-0.732	6.64	2.50	114.88	33.400	-17.475	68.450	0.54022	0.01691	0.09283	0.83615	33.3	10080.1.7	10
2024-10-3 22:2:7:774	WT901BLE67(4A3DE8A6FBCE)	0.170	-0.045	0.974	-1.648	-2.563	-1.221	6.59	2.44	114.86	33.400	-17.475	68.450	0.54022	0.01691	0.09283	0.83615	33.3	10080.1.7	10
2024-10-3 22:2:7:774	WT901BLE67(4A3DE8A6FBCE)	0.171	-0.044	0.969	-0.671	-2.380	-1.160	6.55	2.39	114.85	33.400	-17.475	68.450	0.54022	0.01691	0.09283	0.83615	33.3	10080.1.7	10
2024-10-3 22:2:7:774	WT901BLE67(4A3DE8A6FBCE)	0.170	-0.035	0.970	0.488	-1.709	-0.671	6.53	2.33	114.84	33.400	-17.475	68.450	0.54022	0.01691	0.09283	0.83615	33.3	10080.1.7	10
2024-10-3 22:2:7:774	WT901BLE67(4A3DE8A6FBCE)	0.166	-0.033	0.976	0.854	-1.160	0.000	6.50	2.29	114.84	33.400	-17.475	68.450	0.54022	0.01691	0.09283	0.83615	33.3	10080.1.7	10
