time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-10-3 21:53:16:574	WT901BLE67(4A3DE8A6FBCE)	0.022	0.214	0.868	-0.732	14.038	4.333	65.36	21.26	-134.43	31.792	-69.342	85.767	-0.23880	-0.35553	0.41562	0.80231	33.1	10080.1.7	10
2024-10-3 21:53:16:575	WT901BLE67(4A3DE8A6FBCE)	-0.013	0.232	0.908	-6.226	14.099	7.202	65.24	21.22	-134.31	31.792	-69.342	85.767	-0.23880	-0.35553	0.41562	0.80231	33.1	10080.1.7	10
2024-10-3 21:53:16:575	WT901BLE67(4A3DE8A6FBCE)	0.028	0.228	0.867	-15.503	13.550	15.320	65.03	21.12	-134.17	31.792	-69.342	85.767	-0.23880	-0.35553	0.41562	0.80231	33.1	10080.1.7	10
2024-10-3 21:53:16:575	WT901BLE67(4A3DE8A6FBCE)	0.005	0.279	0.828	-29.236	10.254	36.011	64.72	20.85	-133.98	31.792	-69.342	85.767	-0.23880	-0.35553	0.41562	0.80231	33.1	10080.1.7	10
2024-10-3 21:53:16:605	WT901BLE67(4A3DE8A6FBCE)	-0.020	0.316	0.863	-46.082	41.199	57.434	64.36	20.47	-133.48	31.792	-69.342	85.767	-0.23880	-0.35553	0.41562	0.80231	33.1	10080.1.7	10
2024-10-3 21:53:16:605	WT901BLE67(4A3DE8A6FBCE)	-0.050	0.294	0.853	-66.772	59.509	77.515	63.91	20.02	-132.65	31.792	-69.342	85.767	-0.23880	-0.35553	0.41562	0.80231	33.1	10080.1.7	10
2024-10-3 21:53:16:605	WT901BLE67(4A3DE8A6FBCE)	-0.028	0.259	0.855	-75.867	49.561	89.844	63.33	19.43	-131.78	31.792	-69.342	85.767	-0.23880	-0.35553	0.41562	0.80231	33.1	10080.1.7	10
2024-10-3 21:53:16:605	WT901BLE67(4A3DE8A6FBCE)	0.054	0.241	0.940	-72.754	51.514	85.144	62.75	18.84	-130.94	31.792	-69.342	85.767	-0.23880	-0.35553	0.41562	0.80231	33.1	10080.1.7	10
2024-10-3 21:53:16:634	WT901BLE67(4A3DE8A6FBCE)	0.141	0.215	1.011	-70.435	54.443	81.238	62.20	18.35	-130.09	31.792	-69.342	85.767	-0.23880	-0.35553	0.41562	0.80231	33.1	10080.1.7	10
2024-10-3 21:53:16:634	WT901BLE67(4A3DE8A6FBCE)	-0.075	0.240	1.087	-72.388	49.622	95.398	61.65	17.75	-129.24	31.792	-69.342	85.767	-0.23880	-0.35553	0.41562	0.80231	33.1	10080.1.7	10
2024-10-3 21:53:16:634	WT901BLE67(4A3DE8A6FBCE)	0.067	0.332	1.087	-88.257	16.296	115.906	60.94	16.88	-128.48	31.792	-69.342	85.767	-0.23880	-0.35553	0.41562	0.80231	33.1	10080.1.7	10
2024-10-3 21:53:16:634	WT901BLE67(4A3DE8A6FBCE)	0.154	0.369	1.148	-98.206	19.287	102.478	60.03	15.99	-127.87	31.792	-69.342	85.767	-0.23880	-0.35553	0.41562	0.80231	33.1	10080.1.7	10
2024-10-3 21:53:16:695	WT901BLE67(4A3DE8A6FBCE)	0.175	0.325	1.146	-97.351	42.480	90.088	59.15	15.34	-127.11	31.792	-69.342	85.767	-0.23880	-0.35553	0.41562	0.80231	33.1	10080.1.7	10
2024-10-3 21:53:16:695	WT901BLE67(4A3DE8A6FBCE)	0.220	0.331	1.167	-94.604	50.354	87.463	58.32	14.82	-126.26	31.792	-69.342	85.767	-0.23880	-0.35553	0.41562	0.80231	33.1	10080.1.7	10
2024-10-3 21:53:16:695	WT901BLE67(4A3DE8A6FBCE)	0.249	0.322	1.177	-92.224	46.326	94.177	57.50	14.27	-125.39	31.792	-69.342	85.767	-0.23880	-0.35553	0.41562	0.80231	33.1	10080.1.7	10
2024-10-3 21:53:16:695	WT901BLE67(4A3DE8A6FBCE)	0.245	0.300	1.213	-87.646	58.960	105.652	56.76	13.67	-124.40	31.792	-69.342	85.767	-0.23880	-0.35553	0.41562	0.80231	33.1	10080.1.7	10
2024-10-3 21:53:16:725	WT901BLE67(4A3DE8A6FBCE)	0.258	0.330	1.231	-81.055	69.641	113.281	56.10	13.07	-123.24	31.792	-69.342	85.767	-0.23880	-0.35553	0.41562	0.80231	33.1	10080.1.7	10
2024-10-3 21:53:16:725	WT901BLE67(4A3DE8A6FBCE)	0.223	0.378	1.260	-70.496	80.994	104.980	55.55	12.56	-122.02	31.792	-69.342	85.767	-0.23880	-0.35553	0.41562	0.80231	33.1	10080.1.7	10
2024-10-3 21:53:16:725	WT901BLE67(4A3DE8A6FBCE)	0.201	0.446	1.280	-60.669	91.492	80.811	55.09	12.31	-120.81	31.792	-69.342	85.767	-0.23880	-0.35553	0.41562	0.80231	33.1	10080.1.7	10
2024-10-3 21:53:16:725	WT901BLE67(4A3DE8A6FBCE)	0.346	0.445	1.338	-59.448	86.670	50.415	54.62	12.30	-119.78	31.792	-69.342	85.767	-0.23880	-0.35553	0.41562	0.80231	33.1	10080.1.7	10
2024-10-3 21:53:16:755	WT901BLE67(4A3DE8A6FBCE)	1.048	0.277	1.420	-62.561	73.914	27.771	54.09	12.44	-118.99	31.792	-69.342	85.767	-0.23880	-0.35553	0.41562	0.80231	33.1	10080.1.7	10
2024-10-3 21:53:16:755	WT901BLE67(4A3DE8A6FBCE)	0.826	-0.260	1.013	-53.833	106.873	56.824	53.66	12.67	-117.91	31.792	-69.342	85.767	-0.23880	-0.35553	0.41562	0.80231	33.1	10080.1.7	10
2024-10-3 21:53:16:755	WT901BLE67(4A3DE8A6FBCE)	0.446	0.287	1.041	-13.062	57.800	154.175	53.57	11.89	-116.66	31.792	-69.342	85.767	-0.23880	-0.35553	0.41562	0.80231	33.1	10080.1.7	10
2024-10-3 21:53:16:755	WT901BLE67(4A3DE8A6FBCE)	0.506	0.409	1.063	24.963	21.057	175.049	53.92	10.66	-115.35	31.792	-69.342	85.767	-0.23880	-0.35553	0.41562	0.80231	33.1	10080.1.7	10
2024-10-3 21:53:16:817	WT901BLE67(4A3DE8A6FBCE)	0.358	0.374	1.180	35.461	-14.648	175.842	54.33	9.12	-114.41	31.792	-69.342	85.767	-0.23880	-0.35553	0.41562	0.80231	33.1	10080.1.7	10
