time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery
2024-10-3 21:57:19:570,WT901BLE67(4A3DE8A6FBCE),0.561,0.724,2.485,1.038,0.977,2.686,53.42,-34.65,134.03,3.292,-60.158,-25.217,-0.24771,-0.41251,-0.33511,-0.80997,33.2,10080.1.7,10.0
2024-10-3 21:57:19:570,WT901BLE67(4A3DE8A6FBCE),0.558,0.71,2.479,0.916,2.075,3.784,53.42,-34.66,134.06,3.292,-60.158,-25.217,-0.24771,-0.41251,-0.33511,-0.80997,33.2,10080.1.7,10.0
2024-10-3 21:57:19:570,WT901BLE67(4A3DE8A6FBCE),0.56,0.71,2.484,0.916,2.258,3.784,53.42,-34.67,134.09,3.292,-60.158,-25.217,-0.24771,-0.41251,-0.33511,-0.80997,33.2,10080.1.7,10.0
2024-10-3 21:57:19:570,WT901BLE67(4A3DE8A6FBCE),0.564,0.708,2.485,1.221,0.793,4.456,53.42,-34.69,134.12,3.292,-60.158,-25.217,-0.24771,-0.41251,-0.33511,-0.80997,33.2,10080.1.7,10.0
2024-10-3 21:57:19:600,WT901BLE67(4A3DE8A6FBCE),0.567,0.704,2.48,2.441,0.0,4.211,53.43,-34.72,134.14,3.292,-60.158,-25.217,-0.24771,-0.41251,-0.33511,-0.80997,33.2,10080.1.7,10.0
2024-10-3 21:57:19:600,WT901BLE67(4A3DE8A6FBCE),0.571,0.717,2.479,3.418,-0.732,3.479,53.46,-34.75,134.15,3.292,-60.158,-25.217,-0.24771,-0.41251,-0.33511,-0.80997,33.2,10080.1.7,10.0
2024-10-3 21:57:19:600,WT901BLE67(4A3DE8A6FBCE),0.571,0.721,2.468,3.601,-0.488,2.869,53.5,-34.77,134.15,3.292,-60.158,-25.217,-0.24771,-0.41251,-0.33511,-0.80997,33.2,10080.1.7,10.0
2024-10-3 21:57:19:600,WT901BLE67(4A3DE8A6FBCE),0.576,0.733,2.466,3.54,0.366,2.441,53.54,-34.79,134.16,3.292,-60.158,-25.217,-0.24771,-0.41251,-0.33511,-0.80997,33.2,10080.1.7,10.0
2024-10-3 21:57:19:629,WT901BLE67(4A3DE8A6FBCE),0.57,0.73,2.467,2.93,2.075,2.625,53.57,-34.79,134.18,3.292,-60.158,-25.217,-0.24771,-0.41251,-0.33511,-0.80997,33.2,10080.1.7,10.0
2024-10-3 21:57:19:630,WT901BLE67(4A3DE8A6FBCE),0.566,0.717,2.469,2.625,3.967,2.319,53.58,-34.79,134.22,3.292,-60.158,-25.217,-0.24771,-0.41251,-0.33511,-0.80997,33.2,10080.1.7,10.0
2024-10-3 21:57:19:630,WT901BLE67(4A3DE8A6FBCE),0.569,0.711,2.471,3.235,3.662,1.953,53.59,-34.78,134.26,3.292,-60.158,-25.217,-0.24771,-0.41251,-0.33511,-0.80997,33.2,10080.1.7,10.0
2024-10-3 21:57:19:630,WT901BLE67(4A3DE8A6FBCE),0.572,0.719,2.469,4.089,2.258,1.526,53.62,-34.77,134.28,3.292,-60.158,-25.217,-0.24771,-0.41251,-0.33511,-0.80997,33.2,10080.1.7,10.0
