time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(Â°/s),AsY(Â°/s),AsZ(Â°/s),AngleX(Â°),AngleY(Â°),AngleZ(Â°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(Â°C),Version(),Battery
2024-10-17 2:20:13:183,WTSensor3(8E7876082DDC),-0.594,0.149,-0.747,-2.319,-4.639,-3.906,-5.85,39.15,-163.24,41.075,8.325,65.975,-0.30734,0.16846,-0.92578,-0.14142,22.9,10080.1.13,90.0
2024-10-17 2:20:13:183,WTSensor3(8E7876082DDC),-0.603,0.116,-0.74,-1.892,-6.165,-3.662,-5.86,39.22,-163.21,41.075,8.325,65.975,-0.30734,0.16846,-0.92578,-0.14142,22.9,10080.1.13,90.0
2024-10-17 2:20:13:183,WTSensor3(8E7876082DDC),-0.604,0.12,-0.751,-2.441,-7.813,-3.296,-5.87,39.3,-163.19,41.075,8.325,65.975,-0.30734,0.16846,-0.92578,-0.14142,22.9,10080.1.13,90.0
2024-10-17 2:20:13:183,WTSensor3(8E7876082DDC),-0.599,0.106,-0.772,-2.747,-10.62,-2.258,-5.89,39.4,-163.19,41.075,8.325,65.975,-0.30734,0.16846,-0.92578,-0.14142,22.9,10080.1.13,90.0
2024-10-17 2:20:13:212,WTSensor3(8E7876082DDC),-0.598,0.097,-0.775,-2.441,-10.986,-2.258,-5.92,39.52,-163.19,41.075,8.325,65.975,-0.30734,0.16846,-0.92578,-0.14142,22.9,10080.1.13,90.0
2024-10-17 2:20:13:212,WTSensor3(8E7876082DDC),-0.589,0.044,-0.759,-0.854,-10.681,-1.16,-5.93,39.62,-163.2,41.075,8.325,65.975,-0.30734,0.16846,-0.92578,-0.14142,22.9,10080.1.13,90.0
2024-10-17 2:20:13:212,WTSensor3(8E7876082DDC),-0.594,0.042,-0.756,2.136,-7.08,0.793,-5.93,39.69,-163.22,41.075,8.325,65.975,-0.30734,0.16846,-0.92578,-0.14142,22.9,10080.1.13,90.0
2024-10-17 2:20:13:212,WTSensor3(8E7876082DDC),-0.595,0.041,-0.769,4.822,-2.38,2.991,-5.91,39.71,-163.27,41.075,8.325,65.975,-0.30734,0.16846,-0.92578,-0.14142,22.9,10080.1.13,90.0
2024-10-17 2:20:13:243,WTSensor3(8E7876082DDC),-0.591,0.03,-0.773,7.874,0.916,5.31,-5.87,39.69,-163.33,41.075,8.325,65.975,-0.30734,0.16846,-0.92578,-0.14142,22.9,10080.1.13,90.0
2024-10-17 2:20:13:243,WTSensor3(8E7876082DDC),-0.597,0.041,-0.77,11.108,2.075,6.653,-5.82,39.66,-163.42,41.075,8.325,65.975,-0.30734,0.16846,-0.92578,-0.14142,22.9,10080.1.13,90.0
2024-10-17 2:20:13:243,WTSensor3(8E7876082DDC),-0.618,0.046,-0.764,12.573,0.366,7.141,-5.75,39.64,-163.5,41.075,8.325,65.975,-0.30734,0.16846,-0.92578,-0.14142,22.9,10080.1.13,90.0
2024-10-17 2:20:13:243,WTSensor3(8E7876082DDC),-0.629,0.063,-0.767,13.489,-1.831,6.226,-5.66,39.64,-163.59,41.075,8.325,65.975,-0.30734,0.16846,-0.92578,-0.14142,22.9,10080.1.13,90.0
2024-10-17 2:20:13:305,WTSensor3(8E7876082DDC),-0.635,0.089,-0.778,11.658,-4.883,3.967,-5.58,39.69,-163.65,41.075,8.325,65.975,-0.30734,0.16846,-0.92578,-0.14142,22.9,10080.1.13,90.0
2024-10-17 2:20:13:305,WTSensor3(8E7876082DDC),-0.626,0.127,-0.796,6.592,-8.911,0.122,-5.53,39.77,-163.68,41.075,8.325,65.975,-0.31735,0.16537,-0.92343,-0.13815,22.9,10080.1.13,90.0
2024-10-17 2:20:13:305,WTSensor3(8E7876082DDC),-0.618,0.13,-0.809,4.211,-12.695,-3.174,-5.48,39.9,-163.66,41.075,8.325,65.975,-0.31735,0.16537,-0.92343,-0.13815,22.9,10080.1.13,90.0
2024-10-17 2:20:13:305,WTSensor3(8E7876082DDC),-0.612,0.2,-0.811,-0.61,-11.353,-7.629,-5.43,40.03,-163.61,41.075,8.325,65.975,-0.31735,0.16537,-0.92343,-0.13815,22.9,10080.1.13,90.0
2024-10-17 2:20:13:333,WTSensor3(8E7876082DDC),-0.62,0.229,-0.804,-2.625,-10.742,-7.08,-5.41,40.14,-163.54,41.075,8.325,65.975,-0.31735,0.16537,-0.92343,-0.13815,22.9,10080.1.13,90.0
2024-10-17 2:20:13:333,WTSensor3(8E7876082DDC),-0.62,0.27,-0.782,-3.052,-6.409,-7.08,-5.39,40.23,-163.47,41.075,8.325,65.975,-0.31735,0.16537,-0.92343,-0.13815,22.9,10080.1.13,90.0
2024-10-17 2:20:13:333,WTSensor3(8E7876082DDC),-0.644,0.322,-0.761,-3.845,-4.822,-7.019,-5.38,40.29,-163.39,41.075,8.325,65.975,-0.31735,0.16537,-0.92343,-0.13815,22.9,10080.1.13,90.0
2024-10-17 2:20:13:333,WTSensor3(8E7876082DDC),-0.614,0.327,-0.742,-1.465,-4.089,-7.141,-5.35,40.34,-163.31,41.075,8.325,65.975,-0.31735,0.16537,-0.92343,-0.13815,22.9,10080.1.13,90.0
2024-10-17 2:20:13:393,WTSensor3(8E7876082DDC),-0.574,0.334,-0.692,-3.967,-7.324,-4.761,-5.36,40.41,-163.26,41.075,8.325,65.975,-0.31735,0.16537,-0.92343,-0.13815,22.9,10080.1.13,90.0
2024-10-17 2:20:13:393,WTSensor3(8E7876082DDC),-0.585,0.322,-0.654,-2.014,-3.662,-4.456,-5.34,40.46,-163.21,41.075,8.325,65.975,-0.31735,0.16537,-0.92343,-0.13815,22.9,10080.1.13,90.0
2024-10-17 2:20:13:393,WTSensor3(8E7876082DDC),-0.581,0.361,-0.645,-1.465,-0.732,-2.625,-5.33,40.47,-163.17,41.075,8.325,65.975,-0.31735,0.16537,-0.92343,-0.13815,22.9,10080.1.13,90.0
2024-10-17 2:20:13:393,WTSensor3(8E7876082DDC),-0.573,0.348,-0.668,-4.456,-0.366,-3.113,-5.36,40.47,-163.13,41.075,8.325,65.975,-0.31735,0.16537,-0.92343,-0.13815,22.9,10080.1.13,90.0
2024-10-17 2:20:13:423,WTSensor3(8E7876082DDC),-0.59,0.32,-0.665,-8.728,4.211,-2.808,-5.41,40.44,-163.09,41.075,8.325,65.975,-0.31735,0.16537,-0.92343,-0.13815,22.9,10080.1.13,90.0
2024-10-17 2:20:13:423,WTSensor3(8E7876082DDC),-0.568,0.323,-0.669,-12.939,7.69,-1.465,-5.52,40.37,-163.05,41.075,8.325,65.975,-0.31735,0.16537,-0.92343,-0.13815,22.9,10080.1.13,90.0
2024-10-17 2:20:13:423,WTSensor3(8E7876082DDC),-0.56,0.267,-0.712,-20.081,8.24,0.488,-5.7,40.29,-163.04,41.075,8.325,65.975,-0.31735,0.16537,-0.92343,-0.13815,22.9,10080.1.13,90.0
2024-10-17 2:20:13:423,WTSensor3(8E7876082DDC),-0.513,0.257,-0.791,-32.349,6.47,-2.136,-5.97,40.23,-162.99,41.075,8.325,65.975,-0.31735,0.16537,-0.92343,-0.13815,22.9,10080.1.13,90.0
2024-10-17 2:20:13:454,WTSensor3(8E7876082DDC),-0.494,0.178,-0.803,-37.72,6.958,-8.118,-6.26,40.19,-162.88,41.075,8.325,65.975,-0.31735,0.16537,-0.92343,-0.13815,22.9,10080.1.13,90.0
2024-10-17 2:20:13:454,WTSensor3(8E7876082DDC),-0.528,0.108,-0.831,-39.307,5.249,-13.55,-6.53,40.17,-162.7,41.075,8.325,65.975,-0.31735,0.16537,-0.92343,-0.13815,22.9,10080.1.13,90.0
2024-10-17 2:20:13:454,WTSensor3(8E7876082DDC),-0.594,0.023,-0.836,-33.264,4.883,-14.771,-6.75,40.16,-162.49,41.075,8.325,65.975,-0.31735,0.16537,-0.92343,-0.13815,22.9,10080.1.13,90.0
2024-10-17 2:20:13:454,WTSensor3(8E7876082DDC),-0.637,-0.017,-0.838,-30.518,4.272,-11.78,-6.94,40.14,-162.32,41.075,8.325,65.975,-0.31735,0.16537,-0.92343,-0.13815,22.9,10080.1.13,90.0
2024-10-17 2:20:13:513,WTSensor3(8E7876082DDC),-0.672,-0.095,-0.816,-23.132,1.038,-9.705,-7.1,40.15,-162.2,41.075,8.325,65.975,-0.31735,0.16537,-0.92343,-0.13815,22.9,10080.1.13,90.0
2024-10-17 2:20:13:513,WTSensor3(8E7876082DDC),-0.683,-0.102,-0.817,-17.212,-5.005,-6.592,-7.23,40.21,-162.13,42.258,8.008,64.9,-0.31735,0.16537,-0.92343,-0.13815,22.9,10080.1.13,90.0
2024-10-17 2:20:13:513,WTSensor3(8E7876082DDC),-0.679,-0.11,-0.823,-8.911,-6.714,-1.892,-7.31,40.28,-162.11,42.258,8.008,64.9,-0.31735,0.16537,-0.92343,-0.13815,22.9,10080.1.13,90.0
2024-10-17 2:20:13:513,WTSensor3(8E7876082DDC),-0.658,-0.175,-0.82,-2.747,-5.798,-2.869,-7.33,40.34,-162.1,42.258,8.008,64.9,-0.31735,0.16537,-0.92343,-0.13815,22.9,10080.1.13,90.0
2024-10-17 2:20:13:544,WTSensor3(8E7876082DDC),-0.662,-0.142,-0.8,3.174,-9.583,-0.61,-7.32,40.43,-162.11,42.258,8.008,64.9,-0.31735,0.16537,-0.92343,-0.13815,22.9,10080.1.13,90.0
2024-10-17 2:20:13:544,WTSensor3(8E7876082DDC),-0.654,-0.112,-0.787,6.836,-11.292,0.61,-7.28,40.53,-162.16,42.258,8.008,64.9,-0.31735,0.16537,-0.92343,-0.13815,22.9,10080.1.13,90.0
