time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-10-19 0:39:35:499	WTSensor3(8E7876082DDC)	-0.735	0.101	-0.659	1.648	-1.160	0.793	-6.17	50.04	-144.72	48.250	4.950	59.608	-0.36752	0.31528	-0.84787	-0.21573	20.4	10080.1.13	75
2024-10-19 0:39:35:499	WTSensor3(8E7876082DDC)	-0.730	0.100	-0.656	1.221	-0.122	1.221	-6.17	50.04	-144.74	48.250	4.950	59.608	-0.36752	0.31528	-0.84787	-0.21573	20.4	10080.1.13	75
2024-10-19 0:39:35:499	WTSensor3(8E7876082DDC)	-0.728	0.100	-0.648	1.221	-0.427	1.587	-6.18	50.04	-144.77	48.250	4.950	59.608	-0.36752	0.31528	-0.84787	-0.21573	20.4	10080.1.13	75
2024-10-19 0:39:35:499	WTSensor3(8E7876082DDC)	-0.730	0.097	-0.642	1.282	-1.770	1.953	-6.19	50.05	-144.80	48.250	4.950	59.608	-0.36752	0.31528	-0.84787	-0.21573	20.4	10080.1.13	75
2024-10-19 0:39:35:550	WTSensor3(8E7876082DDC)	-0.739	0.098	-0.641	1.343	-2.686	2.563	-6.21	50.08	-144.85	48.250	4.950	59.608	-0.36752	0.31528	-0.84787	-0.21573	20.4	10080.1.13	75
2024-10-19 0:39:35:550	WTSensor3(8E7876082DDC)	-0.741	0.101	-0.642	1.038	-2.136	3.174	-6.25	50.09	-144.90	48.250	4.950	59.608	-0.36752	0.31528	-0.84787	-0.21573	20.4	10080.1.13	75
2024-10-19 0:39:35:550	WTSensor3(8E7876082DDC)	-0.737	0.100	-0.644	0.000	-1.282	3.418	-6.29	50.10	-144.96	48.250	4.950	59.608	-0.36752	0.31528	-0.84787	-0.21573	20.4	10080.1.13	75
2024-10-19 0:39:35:550	WTSensor3(8E7876082DDC)	-0.740	0.099	-0.632	-0.366	-1.038	3.723	-6.29	50.10	-145.03	48.250	4.950	59.608	-0.36752	0.31528	-0.84787	-0.21573	20.4	10080.1.13	75
2024-10-19 0:39:35:573	WTSensor3(8E7876082DDC)	-0.745	0.101	-0.622	-1.099	-1.343	3.906	-6.34	50.10	-145.08	48.250	4.950	59.608	-0.36752	0.31528	-0.84787	-0.21573	20.4	10080.1.13	75
2024-10-19 0:39:35:573	WTSensor3(8E7876082DDC)	-0.740	0.103	-0.629	-2.319	-2.808	3.967	-6.42	50.13	-145.15	48.250	4.950	59.608	-0.36752	0.31528	-0.84787	-0.21573	20.4	10080.1.13	75
