time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery level(%)
2024-10-28 0:14:49:518,WTSensor3(8E7876082DDC),-0.599,0.077,-0.775,0,0,0,1.87,38.96,-52.72,25.958,-26.733,90.358,-0.11844,0.85068,-0.40903,-0.30811,25.4,10080.1.13,75
2024-10-28 0:14:49:518,WTSensor3(8E7876082DDC),-0.598,0.078,-0.779,0,0,0,1.85,38.96,-52.75,25.958,-26.733,90.358,-0.11844,0.85068,-0.40903,-0.30811,25.4,10080.1.13,75
2024-10-28 0:14:49:518,WTSensor3(8E7876082DDC),-0.597,0.076,-0.776,0,0,0,1.82,38.95,-52.77,25.958,-26.733,90.358,-0.11844,0.85068,-0.40903,-0.30811,25.4,10080.1.13,75
2024-10-28 0:14:49:519,WTSensor3(8E7876082DDC),-0.601,0.075,-0.773,0,0,0,1.8,38.92,-52.79,25.958,-26.733,90.358,-0.11844,0.85068,-0.40903,-0.30811,25.4,10080.1.13,75
2024-10-28 0:14:49:548,WTSensor3(8E7876082DDC),-0.606,0.075,-0.767,0,0,0,1.78,38.9,-52.81,25.958,-26.733,90.358,-0.11844,0.85068,-0.40903,-0.30811,25.4,10080.1.13,75
2024-10-28 0:14:49:548,WTSensor3(8E7876082DDC),-0.606,0.079,-0.768,0,0,0,1.74,38.89,-52.73,25.958,-26.733,90.358,-0.11844,0.85068,-0.40903,-0.30811,25.4,10080.1.13,75
2024-10-28 0:14:49:548,WTSensor3(8E7876082DDC),-0.601,0.081,-0.776,0,0,0,1.73,38.89,-52.75,25.958,-26.733,90.358,-0.11844,0.85068,-0.40903,-0.30811,25.4,10080.1.13,75
2024-10-28 0:14:49:548,WTSensor3(8E7876082DDC),-0.595,0.083,-0.783,0,0,0,1.72,38.89,-52.76,25.958,-26.733,90.358,-0.11844,0.85068,-0.40903,-0.30811,25.4,10080.1.13,75
2024-10-28 0:14:49:600,WTSensor3(8E7876082DDC),-0.588,0.083,-0.791,0,0,0,1.72,38.89,-52.77,25.958,-26.733,90.358,-0.11844,0.85068,-0.40903,-0.30811,25.4,10080.1.13,75
2024-10-28 0:14:49:600,WTSensor3(8E7876082DDC),-0.59,0.082,-0.793,0,0,0,1.73,38.88,-52.78,25.958,-26.733,90.358,-0.11844,0.85068,-0.40903,-0.30811,25.4,10080.1.13,75
2024-10-28 0:14:49:600,WTSensor3(8E7876082DDC),-0.595,0.083,-0.788,0,0,0,1.74,38.87,-52.78,25.958,-26.733,90.358,-0.11844,0.85068,-0.40903,-0.30811,25.4,10080.1.13,75
2024-10-28 0:14:49:600,WTSensor3(8E7876082DDC),-0.602,0.087,-0.778,0,0,0,1.75,38.85,-52.78,25.958,-26.733,90.358,-0.11844,0.85068,-0.40903,-0.30811,25.4,10080.1.13,75
2024-10-28 0:14:49:652,WTSensor3(8E7876082DDC),-0.606,0.092,-0.766,0,0,0,1.77,38.84,-52.78,25.633,-26.958,90.258,-0.11844,0.85068,-0.40903,-0.30811,25.4,10080.1.13,75
2024-10-28 0:14:49:652,WTSensor3(8E7876082DDC),-0.607,0.104,-0.761,0,0,0,1.8,38.83,-52.77,25.633,-26.958,90.258,-0.11844,0.85068,-0.40903,-0.30811,25.4,10080.1.13,75
2024-10-28 0:14:49:652,WTSensor3(8E7876082DDC),-0.602,0.114,-0.77,0,0,0,1.81,38.82,-52.75,25.633,-26.958,90.258,-0.11844,0.85068,-0.40903,-0.30811,25.4,10080.1.13,75
2024-10-28 0:14:49:652,WTSensor3(8E7876082DDC),-0.592,0.125,-0.775,0,0,0,1.82,38.8,-52.73,25.633,-26.958,90.258,-0.11844,0.85068,-0.40903,-0.30811,25.4,10080.1.13,75
2024-10-28 0:14:49:667,WTSensor3(8E7876082DDC),-0.574,0.131,-0.786,0,0,0,1.82,38.79,-52.72,25.633,-26.958,90.258,-0.11844,0.85068,-0.40903,-0.30811,25.4,10080.1.13,75
2024-10-28 0:14:49:667,WTSensor3(8E7876082DDC),-0.564,0.134,-0.791,0,0,0,1.82,38.77,-52.7,25.633,-26.958,90.258,-0.11844,0.85068,-0.40903,-0.30811,25.4,10080.1.13,75
2024-10-28 0:14:49:667,WTSensor3(8E7876082DDC),-0.559,0.144,-0.8,0,0,0,1.81,38.74,-52.7,25.633,-26.958,90.258,-0.11844,0.85068,-0.40903,-0.30811,25.4,10080.1.13,75
2024-10-28 0:14:49:667,WTSensor3(8E7876082DDC),-0.561,0.143,-0.794,0,0,0,1.79,38.72,-52.71,25.633,-26.958,90.258,-0.11844,0.85068,-0.40903,-0.30811,25.4,10080.1.13,75
