time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery level(%)
2024-10-25 23:18:46:70,WTSensor3(8E7876082DDC),0.698,0.374,0.637,1.038,4.761,-1.892,-143.92,-39.67,161.97,-13.983,-34.283,-12.692,0.05579,0.37048,0.19363,0.90665,27,10080.1.13,90
2024-10-25 23:18:46:70,WTSensor3(8E7876082DDC),0.692,0.375,0.642,1.526,4.883,-2.136,-143.92,-39.62,161.99,-13.983,-34.283,-12.692,0.05579,0.37048,0.19363,0.90665,27,10080.1.13,90
2024-10-25 23:18:46:70,WTSensor3(8E7876082DDC),0.69,0.372,0.645,2.563,3.967,-1.77,-143.91,-39.57,162.01,-13.983,-34.283,-12.692,0.05579,0.37048,0.19363,0.90665,27,10080.1.13,90
2024-10-25 23:18:46:70,WTSensor3(8E7876082DDC),0.695,0.372,0.654,3.296,4.089,-1.648,-143.89,-39.53,162.03,-13.983,-34.283,-12.692,0.05579,0.37048,0.19363,0.90665,27,10080.1.13,90
2024-10-25 23:18:46:117,WTSensor3(8E7876082DDC),0.701,0.372,0.655,3.479,3.479,-1.465,-143.87,-39.5,162.05,-13.983,-34.283,-12.692,0.05579,0.37048,0.19363,0.90665,27,10080.1.13,90
2024-10-25 23:18:46:117,WTSensor3(8E7876082DDC),0.704,0.372,0.663,3.479,2.319,-1.343,-143.84,-39.47,162.06,-13.983,-34.283,-12.692,0.05579,0.37048,0.19363,0.90665,27,10080.1.13,90
2024-10-25 23:18:46:117,WTSensor3(8E7876082DDC),0.702,0.368,0.669,3.601,1.526,-1.038,-143.82,-39.46,162.08,-13.983,-34.283,-12.692,0.05203,0.36472,0.19302,0.90933,27,10080.1.13,90
2024-10-25 23:18:46:117,WTSensor3(8E7876082DDC),0.706,0.368,0.668,3.113,0.793,-0.793,-143.79,-39.45,162.09,-13.983,-34.283,-12.692,0.05203,0.36472,0.19302,0.90933,27,10080.1.13,90
2024-10-25 23:18:46:158,WTSensor3(8E7876082DDC),0.696,0.369,0.67,2.197,0.61,-0.488,-143.78,-39.45,162.1,-13.983,-34.283,-12.692,0.05203,0.36472,0.19302,0.90933,27,10080.1.13,90
2024-10-25 23:18:46:158,WTSensor3(8E7876082DDC),0.691,0.375,0.67,2.136,0,-0.366,-143.77,-39.45,162.1,-13.983,-34.283,-12.692,0.05203,0.36472,0.19302,0.90933,27,10080.1.13,90
2024-10-25 23:18:46:158,WTSensor3(8E7876082DDC),0.687,0.375,0.666,2.319,-0.671,-0.305,-143.75,-39.46,162.11,-13.983,-34.283,-12.692,0.05203,0.36472,0.19302,0.90933,27,10080.1.13,90
2024-10-25 23:18:46:158,WTSensor3(8E7876082DDC),0.679,0.38,0.66,1.77,-0.671,-0.854,-143.73,-39.46,162.11,-13.983,-34.283,-12.692,0.05203,0.36472,0.19302,0.90933,27,10080.1.13,90
2024-10-25 23:18:46:188,WTSensor3(8E7876082DDC),0.675,0.384,0.657,1.831,-0.305,-1.648,-143.71,-39.46,162.1,-13.983,-34.283,-12.692,0.05203,0.36472,0.19302,0.90933,27,10080.1.13,90
2024-10-25 23:18:46:188,WTSensor3(8E7876082DDC),0.672,0.384,0.645,1.526,-0.488,-2.625,-143.68,-39.45,162.08,-13.983,-34.283,-12.692,0.05203,0.36472,0.19302,0.90933,27,10080.1.13,90
2024-10-25 23:18:46:188,WTSensor3(8E7876082DDC),0.667,0.383,0.641,1.587,-2.014,-3.418,-143.65,-39.46,162.04,-13.983,-34.283,-12.692,0.05203,0.36472,0.19302,0.90933,27,10080.1.13,90
2024-10-25 23:18:46:188,WTSensor3(8E7876082DDC),0.665,0.385,0.649,1.648,-1.953,-4.333,-143.6,-39.46,161.99,-13.983,-34.283,-12.692,0.05203,0.36472,0.19302,0.90933,27,10080.1.13,90
2024-10-25 23:18:46:232,WTSensor3(8E7876082DDC),0.668,0.381,0.644,1.892,-1.16,-4.761,-143.55,-39.45,161.94,-13.983,-34.283,-12.692,0.05203,0.36472,0.19302,0.90933,27,10080.1.13,90
2024-10-25 23:18:46:233,WTSensor3(8E7876082DDC),0.669,0.384,0.644,1.343,0.916,-5.554,-143.51,-39.41,161.9,-13.983,-34.283,-12.692,0.05203,0.36472,0.19302,0.90933,27,10080.1.13,90
2024-10-25 23:18:46:233,WTSensor3(8E7876082DDC),0.669,0.38,0.64,1.648,2.869,-6.042,-143.47,-39.36,161.87,-13.983,-34.283,-12.692,0.05203,0.36472,0.19302,0.90933,27,10080.1.13,90
2024-10-25 23:18:46:233,WTSensor3(8E7876082DDC),0.668,0.386,0.629,1.831,2.808,-6.531,-143.43,-39.31,161.82,-13.983,-34.283,-12.692,0.05203,0.36472,0.19302,0.90933,27,10080.1.13,90
2024-10-25 23:18:46:279,WTSensor3(8E7876082DDC),0.669,0.387,0.625,2.197,1.587,-7.202,-143.37,-39.26,161.77,-13.983,-34.283,-12.692,0.05203,0.36472,0.19302,0.90933,27,10080.1.13,90
