time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-10-24 21:9:56.326	WT1(4A3DE8A6FBCE)	0.067	0.155	-0.994	-0.610	0.854	1.465	168.49	-2.55	-60.68	16.483	-56.850	98.000	-0.08563	-0.85931	0.50330	0.02856	33.2	10080.1.7	20
2024-10-24 21:9:56.326	WT1(4A3DE8A6FBCE)	0.065	0.156	-0.992	-0.732	0.549	0.916	168.48	-2.57	-60.69	16.358	-56.942	97.817	-0.08563	-0.85931	0.50330	0.02856	33.2	10080.1.7	20
2024-10-24 21:9:56.326	WT1(4A3DE8A6FBCE)	0.064	0.155	-0.989	-0.916	0.061	0.366	168.48	-2.57	-60.69	16.358	-56.942	97.817	-0.08563	-0.85931	0.50330	0.02856	33.2	10080.1.7	20
2024-10-24 21:9:56.326	WT1(4A3DE8A6FBCE)	0.063	0.153	-0.987	-0.854	-0.427	0.305	168.47	-2.57	-60.70	16.358	-56.942	97.817	-0.08563	-0.85931	0.50330	0.02856	33.2	10080.1.7	20
2024-10-24 21:9:56.349	WT1(4A3DE8A6FBCE)	0.065	0.153	-0.988	-0.732	-0.427	0.061	168.47	-2.57	-60.70	16.358	-56.942	97.817	-0.08563	-0.85931	0.50330	0.02856	33.2	10080.1.7	20
2024-10-24 21:9:56.349	WT1(4A3DE8A6FBCE)	0.063	0.154	-0.986	-0.916	-0.610	-0.244	168.46	-2.57	-60.70	16.358	-56.942	97.817	-0.08563	-0.85931	0.50330	0.02856	33.2	10080.1.7	20
2024-10-24 21:9:56.349	WT1(4A3DE8A6FBCE)	0.062	0.154	-0.984	-0.671	-0.854	-0.732	168.46	-2.57	-60.69	16.358	-56.942	97.817	-0.08563	-0.85931	0.50330	0.02856	33.2	10080.1.7	20
2024-10-24 21:9:56.349	WT1(4A3DE8A6FBCE)	0.061	0.155	-0.984	-0.305	-0.610	-0.732	168.46	-2.56	-60.69	16.358	-56.942	97.817	-0.08563	-0.85931	0.50330	0.02856	33.2	10080.1.7	20
2024-10-24 21:9:56.379	WT1(4A3DE8A6FBCE)	0.062	0.154	-0.984	0.122	-0.305	-0.488	168.46	-2.56	-60.68	16.358	-56.942	97.817	-0.08563	-0.85931	0.50330	0.02856	33.2	10080.1.7	20
2024-10-24 21:9:56.379	WT1(4A3DE8A6FBCE)	0.061	0.157	-0.985	0.244	-0.061	-0.244	168.46	-2.56	-60.68	16.358	-56.942	97.817	-0.08563	-0.85931	0.50330	0.02856	33.2	10080.1.7	20
2024-10-24 21:9:56.379	WT1(4A3DE8A6FBCE)	0.061	0.158	-0.985	0.122	0.000	0.122	168.47	-2.57	-60.68	16.358	-56.942	97.817	-0.08563	-0.85931	0.50330	0.02856	33.2	10080.1.7	20
