time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(Â°/s),AsY(Â°/s),AsZ(Â°/s),AngleX(Â°),AngleY(Â°),AngleZ(Â°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(Â°C),Version(),Battery
2024-10-25 22:19:20.556,WT1(4A3DE8A6FBCE),0.208,0.396,1.1,0.183,-1.465,1.099,107.1,-11.71,53.04,55.383,-75.358,146.992,0.44159,0.78036,0.32602,0.29935,28.7,10080.1.7,10.0
2024-10-25 22:19:20.557,WT1(4A3DE8A6FBCE),0.208,0.396,1.107,0.0,-2.014,0.793,106.94,-11.74,53.05,55.383,-75.358,146.992,0.44159,0.78036,0.32602,0.29935,28.7,10080.1.7,10.0
2024-10-25 22:19:20.557,WT1(4A3DE8A6FBCE),0.203,0.396,1.114,-0.366,-2.502,0.61,106.77,-11.77,53.06,55.383,-75.358,146.992,0.44159,0.78036,0.32602,0.29935,28.7,10080.1.7,10.0
2024-10-25 22:19:20.557,WT1(4A3DE8A6FBCE),0.2,0.396,1.112,-0.366,-2.869,0.854,106.59,-11.8,53.07,55.383,-75.358,146.992,0.44159,0.78036,0.32602,0.29935,28.7,10080.1.7,10.0
2024-10-25 22:19:20.648,WT1(4A3DE8A6FBCE),0.198,0.394,1.116,-0.427,-3.235,1.16,106.43,-11.83,53.07,55.383,-75.358,146.992,0.44159,0.78036,0.32602,0.29935,28.7,10080.1.7,10.0
2024-10-25 22:19:20.648,WT1(4A3DE8A6FBCE),0.198,0.392,1.125,-0.305,-4.272,1.343,106.27,-11.87,53.06,55.383,-75.358,146.992,0.44159,0.78036,0.32602,0.29935,28.7,10080.1.7,10.0
2024-10-25 22:19:20.648,WT1(4A3DE8A6FBCE),0.198,0.389,1.128,0.0,-5.798,1.587,106.11,-11.89,53.04,55.383,-75.358,146.992,0.44159,0.78036,0.32602,0.29935,28.7,10080.1.7,10.0
2024-10-25 22:19:20.648,WT1(4A3DE8A6FBCE),0.201,0.386,1.131,1.648,-6.47,1.709,105.96,-11.92,53.01,55.383,-75.358,146.992,0.44159,0.78036,0.32602,0.29935,28.7,10080.1.7,10.0
2024-10-25 22:19:20.649,WT1(4A3DE8A6FBCE),0.202,0.383,1.127,4.028,-6.165,2.197,105.84,-11.95,52.98,55.383,-75.358,146.992,0.44159,0.78036,0.32602,0.29935,28.7,10080.1.7,10.0
2024-10-25 22:19:20.649,WT1(4A3DE8A6FBCE),0.204,0.384,1.122,6.714,-5.92,2.991,105.74,-11.99,52.94,55.383,-75.358,146.992,0.44159,0.78036,0.32602,0.29935,28.7,10080.1.7,10.0
2024-10-25 22:19:20.649,WT1(4A3DE8A6FBCE),0.204,0.388,1.112,8.972,-6.104,4.15,105.67,-12.04,52.91,55.383,-75.358,146.992,0.44159,0.78036,0.32602,0.29935,28.7,10080.1.7,10.0
2024-10-25 22:19:20.649,WT1(4A3DE8A6FBCE),0.214,0.391,1.106,9.399,-7.324,6.165,105.61,-12.11,52.86,55.383,-75.358,146.992,0.44159,0.78036,0.32602,0.29935,28.7,10080.1.7,10.0
