time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(Â°/s),AsY(Â°/s),AsZ(Â°/s),AngleX(Â°),AngleY(Â°),AngleZ(Â°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(Â°C),Version(),Battery
2024-10-24 21:8:20.589,WT1(4A3DE8A6FBCE),0.334,-0.157,-0.853,-24.475,-23.315,4.456,-169.17,-8.25,-7.01,-1.5,-43.55,88.158,0.108,-0.99295,-0.00912,-0.047,24.2,10080.1.7,75.0
2024-10-24 21:8:20.589,WT1(4A3DE8A6FBCE),0.313,-0.145,-0.934,-31.921,-26.184,7.202,-169.48,-8.04,-7.03,-1.5,-43.55,88.158,0.108,-0.99295,-0.00912,-0.047,24.2,10080.1.7,75.0
2024-10-24 21:8:20.589,WT1(4A3DE8A6FBCE),0.305,-0.125,-0.944,-35.645,-19.226,7.996,-169.82,-7.84,-7.06,-1.5,-43.55,88.158,0.108,-0.99295,-0.00912,-0.047,24.2,10080.1.7,75.0
2024-10-24 21:8:20.589,WT1(4A3DE8A6FBCE),0.318,-0.154,-0.962,-38.269,-19.775,6.47,-170.2,-7.66,-7.09,-1.5,-43.55,88.158,0.108,-0.99295,-0.00912,-0.047,24.2,10080.1.7,75.0
2024-10-24 21:8:20.618,WT1(4A3DE8A6FBCE),0.238,-0.138,-0.899,-42.786,-34.912,9.094,-170.61,-7.38,-7.11,-1.5,-43.55,88.158,0.108,-0.99295,-0.00912,-0.047,24.2,10080.1.7,75.0
2024-10-24 21:8:20.618,WT1(4A3DE8A6FBCE),0.383,-0.086,-0.987,-55.359,-46.57,9.949,-171.14,-7.03,-7.13,-1.5,-43.55,88.158,0.108,-0.99295,-0.00912,-0.047,24.2,10080.1.7,75.0
2024-10-24 21:8:20.618,WT1(4A3DE8A6FBCE),0.272,-0.059,-0.764,-69.702,-19.165,10.925,-171.78,-6.73,-7.19,-1.5,-43.55,88.158,0.108,-0.99295,-0.00912,-0.047,24.2,10080.1.7,75.0
2024-10-24 21:8:20.618,WT1(4A3DE8A6FBCE),0.233,-0.126,-0.831,-88.562,14.771,2.502,-172.62,-6.82,-7.25,-1.5,-43.55,88.158,0.108,-0.99295,-0.00912,-0.047,24.2,10080.1.7,75.0
2024-10-24 21:8:20.678,WT1(4A3DE8A6FBCE),0.189,-0.185,-0.945,-98.938,11.597,-5.127,-173.58,-6.96,-7.23,-1.5,-43.55,88.158,0.108,-0.99295,-0.00912,-0.047,24.2,10080.1.7,75.0
2024-10-24 21:8:20.678,WT1(4A3DE8A6FBCE),0.282,-0.138,-1.338,-97.473,-32.104,-8.118,-174.59,-6.88,-7.14,-1.5,-43.55,88.158,0.108,-0.99295,-0.00912,-0.047,24.2,10080.1.7,75.0
2024-10-24 21:8:20.678,WT1(4A3DE8A6FBCE),0.44,0.003,-1.314,-88.867,-7.813,-16.785,-175.51,-6.76,-6.99,-1.5,-43.55,88.158,0.108,-0.99295,-0.00912,-0.047,24.2,10080.1.7,75.0
2024-10-24 21:8:20.678,WT1(4A3DE8A6FBCE),0.258,0.064,-1.253,-75.134,21.851,-26.428,-176.32,-6.89,-6.76,-1.5,-43.55,88.158,0.108,-0.99295,-0.00912,-0.047,24.2,10080.1.7,75.0
2024-10-24 21:8:20.708,WT1(4A3DE8A6FBCE),0.339,-0.052,-1.559,-50.598,32.227,-38.879,-176.94,-7.39,-6.42,-1.5,-43.55,88.158,0.108,-0.99295,-0.00912,-0.047,24.2,10080.1.7,75.0
2024-10-24 21:8:20.708,WT1(4A3DE8A6FBCE),0.423,0.05,-1.349,-34.851,36.682,-35.339,-177.35,-7.77,-6.08,-1.5,-43.55,88.158,0.108,-0.99295,-0.00912,-0.047,24.2,10080.1.7,75.0
2024-10-24 21:8:20.708,WT1(4A3DE8A6FBCE),0.484,0.059,-1.297,-31.616,64.27,-29.358,-177.7,-8.39,-5.81,-1.5,-43.55,88.158,0.108,-0.99295,-0.00912,-0.047,24.2,10080.1.7,75.0
2024-10-24 21:8:20.708,WT1(4A3DE8A6FBCE),0.504,0.012,-1.352,-32.166,88.562,-23.315,-178.06,-9.28,-5.61,-1.5,-43.55,88.158,0.108,-0.99295,-0.00912,-0.047,24.2,10080.1.7,75.0
2024-10-24 21:8:20.739,WT1(4A3DE8A6FBCE),0.528,0.085,-1.373,-35.828,102.844,-22.888,-178.43,-10.31,-5.44,-1.5,-43.55,88.158,0.108,-0.99295,-0.00912,-0.047,24.2,10080.1.7,75.0
2024-10-24 21:8:20.739,WT1(4A3DE8A6FBCE),0.584,0.15,-1.365,-41.87,129.822,-31.128,-178.87,-11.54,-5.21,-1.5,-43.55,88.158,0.108,-0.99295,-0.00912,-0.047,24.2,10080.1.7,75.0
2024-10-24 21:8:20.739,WT1(4A3DE8A6FBCE),0.551,0.104,-1.469,-44.067,171.509,-47.791,-179.4,-13.21,-4.83,-1.5,-43.55,88.158,0.0105,-0.99152,0.03769,-0.12357,24.2,10080.1.7,75.0
