time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-10-25 22:17:56.19	WT1(4A3DE8A6FBCE)	0.242	0.327	1.107	0.305	-9.399	11.719	33.21	20.21	118.64	39.325	-58.725	128.150	-0.62317	-0.26770	-0.16165	-0.71677	25.3	10080.1.7	10
2024-10-25 22:17:56.19	WT1(4A3DE8A6FBCE)	0.246	0.329	1.113	7.996	-2.258	15.076	33.26	20.00	118.72	39.325	-58.725	128.150	-0.62317	-0.26770	-0.16165	-0.71677	25.3	10080.1.7	10
2024-10-25 22:17:56.19	WT1(4A3DE8A6FBCE)	0.242	0.324	1.089	12.085	-3.052	15.991	33.37	19.80	118.83	39.325	-58.725	128.150	-0.62317	-0.26770	-0.16165	-0.71677	25.3	10080.1.7	10
2024-10-25 22:17:56.20	WT1(4A3DE8A6FBCE)	0.238	0.307	1.112	12.817	-5.981	18.433	33.49	19.56	118.94	39.325	-58.725	128.150	-0.62317	-0.26770	-0.16165	-0.71677	25.3	10080.1.7	10
2024-10-25 22:17:56.49	WT1(4A3DE8A6FBCE)	0.253	0.311	1.104	13.794	-7.629	20.691	33.62	19.29	119.05	39.325	-58.725	128.150	-0.62317	-0.26770	-0.16165	-0.71677	25.3	10080.1.7	10
2024-10-25 22:17:56.49	WT1(4A3DE8A6FBCE)	0.234	0.309	1.111	14.587	0.671	20.996	33.78	19.06	119.20	39.325	-58.725	128.150	-0.62317	-0.26770	-0.16165	-0.71677	25.3	10080.1.7	10
2024-10-25 22:17:56.49	WT1(4A3DE8A6FBCE)	0.250	0.308	1.125	14.465	-2.869	23.315	33.94	18.83	119.38	39.325	-58.725	128.150	-0.62317	-0.26770	-0.16165	-0.71677	25.3	10080.1.7	10
2024-10-25 22:17:56.49	WT1(4A3DE8A6FBCE)	0.253	0.321	1.110	13.977	-10.010	27.710	34.09	18.51	119.54	39.325	-58.725	128.150	-0.62317	-0.26770	-0.16165	-0.71677	25.3	10080.1.7	10
2024-10-25 22:17:56.79	WT1(4A3DE8A6FBCE)	0.252	0.323	1.104	12.329	-11.597	31.616	34.22	18.15	119.71	39.325	-58.725	128.150	-0.62317	-0.26770	-0.16165	-0.71677	25.3	10080.1.7	10
2024-10-25 22:17:56.79	WT1(4A3DE8A6FBCE)	0.274	0.297	1.102	8.606	-14.343	34.424	34.33	17.76	119.90	39.325	-58.725	128.150	-0.62317	-0.26770	-0.16165	-0.71677	25.3	10080.1.7	10
2024-10-25 22:17:56.79	WT1(4A3DE8A6FBCE)	0.282	0.289	1.123	0.793	-19.653	38.269	34.37	17.29	120.09	39.325	-58.725	128.150	-0.62317	-0.26770	-0.16165	-0.71677	25.3	10080.1.7	10
2024-10-25 22:17:56.79	WT1(4A3DE8A6FBCE)	0.280	0.272	1.102	-6.714	-14.343	37.537	34.34	16.86	120.30	39.325	-58.725	128.150	-0.62317	-0.26770	-0.16165	-0.71677	25.3	10080.1.7	10
2024-10-25 22:17:56.140	WT1(4A3DE8A6FBCE)	0.277	0.253	1.088	-10.742	-6.714	33.936	34.26	16.50	120.53	39.325	-58.725	128.150	-0.62317	-0.26770	-0.16165	-0.71677	25.3	10080.1.7	10
