time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-10-29 11:30:14.636	WT901BLE67(919C7A43D1FF)	0.031	0.897	-0.875	180.664	123.901	26.001	128.57	2.99	35.56	43.500	-25.083	18.533	0.20581	0.89124	0.40204	-0.03973	29.3	10080.1.7	0
2024-10-29 11:30:14.637	WT901BLE67(919C7A43D1FF)	0.054	0.844	-0.958	196.411	132.019	12.329	130.52	2.05	36.48	43.500	-25.083	18.533	0.20581	0.89124	0.40204	-0.03973	29.3	10080.1.7	0
2024-10-29 11:30:14.637	WT901BLE67(919C7A43D1FF)	-0.004	0.839	-0.783	204.102	131.958	-7.263	132.57	1.22	37.49	43.500	-25.083	18.533	0.20581	0.89124	0.40204	-0.03973	29.3	10080.1.7	0
2024-10-29 11:30:14.637	WT901BLE67(919C7A43D1FF)	0.004	0.837	-0.736	175.476	118.774	-21.912	134.40	0.52	38.55	43.500	-25.083	18.533	0.20581	0.89124	0.40204	-0.03973	29.3	10080.1.7	0
2024-10-29 11:30:14.697	WT901BLE67(919C7A43D1FF)	-0.011	0.722	-0.821	158.203	92.957	-32.776	135.98	0.04	39.47	43.500	-25.083	18.533	0.20581	0.89124	0.40204	-0.03973	29.3	10080.1.7	0
2024-10-29 11:30:14.697	WT901BLE67(919C7A43D1FF)	-0.092	0.727	-0.939	156.921	69.153	-40.527	137.53	-0.21	40.29	43.500	-25.083	18.533	0.20581	0.89124	0.40204	-0.03973	29.3	10080.1.7	0
2024-10-29 11:30:14.697	WT901BLE67(919C7A43D1FF)	-0.233	0.698	-1.003	155.579	34.241	-50.903	139.05	-0.20	40.95	43.500	-25.083	18.533	0.20581	0.89124	0.40204	-0.03973	29.3	10080.1.7	0
2024-10-29 11:30:14.697	WT901BLE67(919C7A43D1FF)	-0.341	0.645	-1.066	156.128	-14.771	-69.763	140.58	0.24	41.45	43.500	-25.083	18.533	0.20581	0.89124	0.40204	-0.03973	29.3	10080.1.7	0
2024-10-29 11:30:14.727	WT901BLE67(919C7A43D1FF)	-0.365	0.580	-1.118	155.151	-83.191	-97.412	142.11	1.32	41.76	43.500	-25.083	18.533	0.20581	0.89124	0.40204	-0.03973	29.3	10080.1.7	0
2024-10-29 11:30:14.728	WT901BLE67(919C7A43D1FF)	-0.317	0.577	-1.061	151.428	-159.241	-125.122	143.62	3.18	41.87	43.500	-25.083	18.533	0.20581	0.89124	0.40204	-0.03973	29.3	10080.1.7	0
2024-10-29 11:30:14.728	WT901BLE67(919C7A43D1FF)	-0.169	0.661	-0.828	128.967	-192.932	-152.283	144.95	5.58	41.96	43.500	-25.083	18.533	0.20581	0.89124	0.40204	-0.03973	29.3	10080.1.7	0
2024-10-29 11:30:14.728	WT901BLE67(919C7A43D1FF)	0.302	0.761	-0.573	92.163	-204.041	-163.818	145.98	8.16	42.19	43.500	-25.083	18.533	0.20581	0.89124	0.40204	-0.03973	29.3	10080.1.7	0
2024-10-29 11:30:14.787	WT901BLE67(919C7A43D1FF)	0.213	1.064	0.034	21.851	-140.808	-130.493	146.41	10.29	42.48	43.500	-25.083	18.533	0.20581	0.89124	0.40204	-0.03973	29.3	10080.1.7	0
2024-10-29 11:30:14.787	WT901BLE67(919C7A43D1FF)	0.121	1.044	-0.275	-68.054	-81.543	-58.228	145.93	11.46	42.63	43.500	-25.083	18.533	0.20581	0.89124	0.40204	-0.03973	29.3	10080.1.7	0
2024-10-29 11:30:14.787	WT901BLE67(919C7A43D1FF)	-0.114	1.033	-0.260	-135.925	-71.228	-2.808	144.62	12.17	42.29	43.500	-25.083	18.533	0.20581	0.89124	0.40204	-0.03973	29.3	10080.1.7	0
2024-10-29 11:30:14.787	WT901BLE67(919C7A43D1FF)	-0.093	0.895	-0.487	-171.448	-24.048	2.075	142.88	12.40	42.08	43.500	-25.083	18.533	0.20581	0.89124	0.40204	-0.03973	29.3	10080.1.7	0
2024-10-29 11:30:14.817	WT901BLE67(919C7A43D1FF)	-0.156	0.932	-0.614	-197.754	-20.691	13.489	140.88	12.49	41.87	43.500	-25.083	18.533	0.20581	0.89124	0.40204	-0.03973	29.3	10080.1.7	0
2024-10-29 11:30:14.818	WT901BLE67(919C7A43D1FF)	-0.145	0.699	-0.850	-188.965	-12.207	22.400	138.83	12.44	41.63	43.500	-25.083	18.533	0.36880	0.85388	0.36557	0.03323	29.3	10080.1.7	0
