time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-11-7 21:18:55.52	WT1(4A3DE8A6FBCE)	0.155	-0.642	1.031	-6.531	8.972	7.446	-31.81	-3.57	121.21	-40.558	-43.325	34.100	0.48608	-0.07910	-0.20715	0.84525	31.8	10080.1.7	10
2024-11-7 21:18:55.52	WT1(4A3DE8A6FBCE)	0.153	-0.660	1.023	-1.953	26.550	7.690	-31.85	-3.35	121.16	-40.558	-43.325	34.100	0.48608	-0.07910	-0.20715	0.84525	31.8	10080.1.7	10
2024-11-7 21:18:55.52	WT1(4A3DE8A6FBCE)	0.048	-0.666	1.078	9.766	38.330	5.371	-31.77	-3.02	121.03	-40.558	-43.325	34.100	0.48608	-0.07910	-0.20715	0.84525	31.8	10080.1.7	10
2024-11-7 21:18:55.53	WT1(4A3DE8A6FBCE)	-0.130	-0.832	1.261	31.921	47.974	4.883	-31.53	-2.60	120.84	-40.558	-43.325	34.100	0.48608	-0.07910	-0.20715	0.84525	31.8	10080.1.7	10
2024-11-7 21:18:55.83	WT1(4A3DE8A6FBCE)	-0.203	-1.004	1.413	86.975	40.039	10.437	-30.81	-2.22	120.70	-40.558	-43.325	34.100	0.48608	-0.07910	-0.20715	0.84525	31.8	10080.1.7	10
2024-11-7 21:18:55.83	WT1(4A3DE8A6FBCE)	-0.040	-0.860	1.188	116.028	15.869	21.606	-29.73	-1.91	120.76	-40.558	-43.325	34.100	0.48608	-0.07910	-0.20715	0.84525	31.8	10080.1.7	10
2024-11-7 21:18:55.83	WT1(4A3DE8A6FBCE)	0.105	-0.795	1.122	121.094	-11.536	29.175	-28.56	-1.82	121.06	-40.558	-43.325	34.100	0.48608	-0.07910	-0.20715	0.84525	31.8	10080.1.7	10
2024-11-7 21:18:55.83	WT1(4A3DE8A6FBCE)	0.081	-0.776	1.136	115.417	3.113	39.612	-27.44	-1.66	121.42	-40.558	-43.325	34.100	0.48608	-0.07910	-0.20715	0.84525	31.8	10080.1.7	10
2024-11-7 21:18:55.144	WT1(4A3DE8A6FBCE)	0.006	-0.845	1.201	112.183	29.968	48.523	-26.37	-1.22	121.75	-40.558	-43.325	34.100	0.48608	-0.07910	-0.20715	0.84525	31.8	10080.1.7	10
2024-11-7 21:18:55.144	WT1(4A3DE8A6FBCE)	-0.066	-0.904	1.258	117.065	39.429	54.871	-25.28	-0.64	122.10	-40.558	-43.325	34.100	0.48608	-0.07910	-0.20715	0.84525	31.8	10080.1.7	10
2024-11-7 21:18:55.144	WT1(4A3DE8A6FBCE)	-0.146	-0.936	1.266	125.488	38.574	54.321	-24.10	-0.04	122.47	-40.558	-43.325	34.100	0.48608	-0.07910	-0.20715	0.84525	31.8	10080.1.7	10
