time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(Â°/s),AsY(Â°/s),AsZ(Â°/s),AngleX(Â°),AngleY(Â°),AngleZ(Â°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(Â°C),Version(),Battery
2024-11-7 21:38:17.138,WT1(4A3DE8A6FBCE),-0.378,-0.612,1.368,22.278,54.016,17.883,-8.84,14.51,86.91,-53.275,-45.95,76.975,0.70996,-0.07913,0.06818,0.69635,32.6,10080.1.7,10.0
2024-11-7 21:38:17.139,WT1(4A3DE8A6FBCE),-0.79,-1.162,2.029,109.009,25.085,13.123,-8.06,14.89,87.02,-53.275,-45.95,76.975,0.70996,-0.07913,0.06818,0.69635,32.6,10080.1.7,10.0
2024-11-7 21:38:17.139,WT1(4A3DE8A6FBCE),-0.931,-1.097,1.723,190.674,12.207,53.833,-6.26,15.03,87.42,-53.275,-45.95,76.975,0.70996,-0.07913,0.06818,0.69635,32.6,10080.1.7,10.0
2024-11-7 21:38:17.139,WT1(4A3DE8A6FBCE),-0.22,-0.715,1.033,194.214,-89.417,89.172,-4.17,14.52,88.29,-53.275,-45.95,76.975,0.70996,-0.07913,0.06818,0.69635,32.6,10080.1.7,10.0
2024-11-7 21:38:17.169,WT1(4A3DE8A6FBCE),0.55,-0.539,0.974,223.999,-187.439,91.492,-1.87,12.85,89.25,-53.275,-45.95,76.975,0.70996,-0.07913,0.06818,0.69635,32.6,10080.1.7,10.0
2024-11-7 21:38:17.169,WT1(4A3DE8A6FBCE),1.001,-0.132,0.778,229.248,-174.683,78.796,0.51,11.02,90.07,-53.275,-45.95,76.975,0.70996,-0.07913,0.06818,0.69635,32.6,10080.1.7,10.0
2024-11-7 21:38:17.169,WT1(4A3DE8A6FBCE),0.761,0.221,0.716,204.285,-78.369,51.147,2.64,9.94,90.58,-53.275,-45.95,76.975,0.70996,-0.07913,0.06818,0.69635,32.6,10080.1.7,10.0
2024-11-7 21:38:17.169,WT1(4A3DE8A6FBCE),0.218,0.15,0.885,164.673,48.523,36.743,4.36,10.1,91.0,-53.275,-45.95,76.975,0.70996,-0.07913,0.06818,0.69635,32.6,10080.1.7,10.0
2024-11-7 21:38:17.199,WT1(4A3DE8A6FBCE),-0.01,-0.102,1.04,158.386,85.266,25.208,5.91,10.88,91.37,-53.275,-45.95,76.975,0.70996,-0.07913,0.06818,0.69635,32.6,10080.1.7,10.0
2024-11-7 21:38:17.199,WT1(4A3DE8A6FBCE),0.095,-0.086,1.042,165.955,62.378,12.634,7.51,11.52,91.61,-53.275,-45.95,76.975,0.70996,-0.07913,0.06818,0.69635,32.6,10080.1.7,10.0
2024-11-7 21:38:17.199,WT1(4A3DE8A6FBCE),0.096,-0.001,1.013,164.551,48.523,4.822,9.1,11.99,91.77,-53.275,-45.95,76.975,0.70996,-0.07913,0.06818,0.69635,32.6,10080.1.7,10.0
2024-11-7 21:38:17.199,WT1(4A3DE8A6FBCE),-0.105,0.104,0.933,145.752,65.552,3.784,10.55,12.56,91.92,-53.275,-45.95,76.975,0.70996,-0.07913,0.06818,0.69635,32.6,10080.1.7,10.0
2024-11-7 21:38:17.259,WT1(4A3DE8A6FBCE),-0.183,0.125,0.862,116.943,76.05,6.165,11.75,13.26,92.13,-53.275,-45.95,76.975,0.70996,-0.07913,0.06818,0.69635,32.6,10080.1.7,10.0
2024-11-7 21:38:17.259,WT1(4A3DE8A6FBCE),-0.087,0.106,0.889,99.976,57.495,4.15,12.74,13.83,92.33,-53.275,-45.95,76.975,0.70996,-0.07913,0.06818,0.69635,32.6,10080.1.7,10.0
2024-11-7 21:38:17.259,WT1(4A3DE8A6FBCE),-0.026,0.109,0.917,90.332,40.771,3.845,13.61,14.22,92.49,-53.275,-45.95,76.975,0.70996,-0.07913,0.06818,0.69635,32.6,10080.1.7,10.0
2024-11-7 21:38:17.259,WT1(4A3DE8A6FBCE),-0.068,0.155,0.893,84.717,43.274,2.869,14.42,14.58,92.64,-53.275,-45.95,76.975,0.70996,-0.07913,0.06818,0.69635,32.6,10080.1.7,10.0
2024-11-7 21:38:17.289,WT1(4A3DE8A6FBCE),-0.02,0.18,0.871,71.655,46.936,4.333,15.13,15.0,92.81,-53.275,-45.95,76.975,0.70996,-0.07913,0.06818,0.69635,32.6,10080.1.7,10.0
2024-11-7 21:38:17.289,WT1(4A3DE8A6FBCE),0.025,0.088,1.044,66.345,45.044,-1.831,15.76,15.39,92.94,-53.275,-45.95,76.975,0.70996,-0.07913,0.06818,0.69635,32.6,10080.1.7,10.0
2024-11-7 21:38:17.290,WT1(4A3DE8A6FBCE),0.069,0.027,1.146,72.021,57.617,-1.831,16.42,15.88,93.1,-53.275,-45.95,76.975,0.70996,-0.07913,0.06818,0.69635,32.6,10080.1.7,10.0
2024-11-7 21:38:17.290,WT1(4A3DE8A6FBCE),0.081,0.124,1.072,82.825,69.092,-3.906,17.2,16.47,93.29,-53.275,-45.95,76.975,0.70996,-0.07913,0.06818,0.69635,32.6,10080.1.7,10.0
2024-11-7 21:38:17.319,WT1(4A3DE8A6FBCE),0.069,0.168,1.054,78.125,87.402,-5.981,18.0,17.23,93.52,-53.275,-45.95,76.975,0.70996,-0.07913,0.06818,0.69635,32.6,10080.1.7,10.0
