time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(Â°/s),AsY(Â°/s),AsZ(Â°/s),AngleX(Â°),AngleY(Â°),AngleZ(Â°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(Â°C),Version(),Battery
2024-11-8 23:33:1:908,WTSensor3(8E7876082DDC),0.229,0.524,0.092,-185.791,-25.513,54.077,-150.24,-2.96,144.33,45.842,-65.725,7.533,0.30219,0.0845,0.22574,0.92221,25.2,10080.1.13,75.0
2024-11-8 23:33:1:908,WTSensor3(8E7876082DDC),0.19,0.333,0.296,-287.048,-0.732,46.143,-153.1,-3.13,144.81,44.625,-64.308,5.817,0.30219,0.0845,0.22574,0.92221,25.2,10080.1.13,75.0
2024-11-8 23:33:1:908,WTSensor3(8E7876082DDC),0.025,0.365,-0.11,-379.15,97.229,62.5,-156.91,-2.47,145.71,44.625,-64.308,5.817,0.30219,0.0845,0.22574,0.92221,25.2,10080.1.13,75.0
2024-11-8 23:33:1:908,WTSensor3(8E7876082DDC),-0.119,0.436,-0.954,-559.204,140.93,75.806,-162.39,-1.3,146.79,44.625,-64.308,5.817,0.30219,0.0845,0.22574,0.92221,25.2,10080.1.13,75.0
2024-11-8 23:33:1:952,WTSensor3(8E7876082DDC),0.363,-0.191,-0.901,-715.698,139.893,87.585,-169.62,-0.04,147.84,44.625,-64.308,5.817,0.30219,0.0845,0.22574,0.92221,25.2,10080.1.13,75.0
2024-11-8 23:33:1:953,WTSensor3(8E7876082DDC),0.553,-0.344,-1.202,-953.857,136.23,66.528,-179.07,1.31,148.47,44.625,-64.308,5.817,0.30219,0.0845,0.22574,0.92221,25.2,10080.1.13,75.0
2024-11-8 23:33:1:953,WTSensor3(8E7876082DDC),3.021,-1.017,-0.845,-1162.354,222.29,36.621,169.39,3.56,148.44,44.625,-64.308,5.817,0.30219,0.0845,0.22574,0.92221,25.2,10080.1.13,75.0
2024-11-8 23:33:1:953,WTSensor3(8E7876082DDC),-2.994,-10.909,14.268,392.395,633.179,-16.785,166.92,8.55,147.07,44.625,-64.308,5.817,0.30219,0.0845,0.22574,0.92221,25.2,10080.1.13,75.0
2024-11-8 23:33:1:982,WTSensor3(8E7876082DDC),-0.782,-2.862,0.252,-153.809,369.263,36.072,165.2,11.12,145.56,44.625,-64.308,5.817,0.30219,0.0845,0.22574,0.92221,25.2,10080.1.13,75.0
2024-11-8 23:33:1:982,WTSensor3(8E7876082DDC),1.306,-0.057,0.797,54.688,-130.432,143.738,166.23,10.6,147.04,44.625,-64.308,5.817,0.30219,0.0845,0.22574,0.92221,25.2,10080.1.13,75.0
