time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-11-8 23:39:21:882	WTSensor3(8E7876082DDC)	0.094	0.340	0.925	50.720	-9.277	7.507	-148.19	-1.83	128.25	41.433	-62.292	3.217	0.42657	0.10492	0.18381	0.87927	27.5	10080.1.13	75
2024-11-8 23:39:21:882	WTSensor3(8E7876082DDC)	0.124	0.346	0.943	59.143	-14.587	7.385	-147.60	-1.99	128.25	41.433	-62.292	3.217	0.42657	0.10492	0.18381	0.87927	27.5	10080.1.13	75
2024-11-8 23:39:21:882	WTSensor3(8E7876082DDC)	0.149	0.332	0.984	72.937	-12.695	6.287	-146.88	-2.13	128.26	41.433	-62.292	3.217	0.42657	0.10492	0.18381	0.87927	27.5	10080.1.13	75
2024-11-8 23:39:21:882	WTSensor3(8E7876082DDC)	0.153	0.341	0.992	88.135	-12.329	1.343	-146.01	-2.25	128.22	41.433	-62.292	3.217	0.42657	0.10492	0.18381	0.87927	27.5	10080.1.13	75
2024-11-8 23:39:21:928	WTSensor3(8E7876082DDC)	0.170	0.371	0.961	97.656	-5.798	-0.244	-145.04	-2.30	128.19	41.433	-62.292	3.217	0.42657	0.10492	0.18381	0.87927	27.5	10080.1.13	75
2024-11-8 23:39:21:928	WTSensor3(8E7876082DDC)	0.100	0.413	0.911	102.539	-0.854	-1.160	-144.01	-2.30	128.18	41.433	-62.292	3.217	0.42657	0.10492	0.18381	0.87927	27.5	10080.1.13	75
2024-11-8 23:39:21:928	WTSensor3(8E7876082DDC)	-0.130	0.448	0.837	100.769	17.151	0.549	-143.01	-2.17	128.28	41.433	-62.292	3.217	0.42657	0.10492	0.18381	0.87927	27.5	10080.1.13	75
2024-11-8 23:39:21:928	WTSensor3(8E7876082DDC)	-0.162	0.611	0.490	83.679	33.936	20.142	-142.17	-1.99	128.61	41.433	-62.292	3.217	0.42657	0.10492	0.18381	0.87927	27.5	10080.1.13	75
2024-11-8 23:39:21:973	WTSensor3(8E7876082DDC)	0.095	0.831	-0.003	19.775	18.677	40.283	-142.00	-2.02	129.08	41.433	-62.292	3.217	0.42657	0.10492	0.18381	0.87927	27.5	10080.1.13	75
2024-11-8 23:39:21:973	WTSensor3(8E7876082DDC)	0.556	1.045	-0.534	-131.348	41.138	62.134	-143.26	-1.99	129.78	41.433	-62.292	3.217	0.42657	0.10492	0.18381	0.87927	27.5	10080.1.13	75
2024-11-8 23:39:21:973	WTSensor3(8E7876082DDC)	0.324	0.867	-0.729	-292.786	92.407	36.987	-146.18	-1.40	130.57	41.433	-62.292	3.217	0.42657	0.10492	0.18381	0.87927	27.5	10080.1.13	75
2024-11-8 23:39:21:973	WTSensor3(8E7876082DDC)	-0.382	0.489	-0.783	-497.559	206.604	31.494	-151.15	0.24	131.72	40.108	-66.225	6.258	0.42657	0.10492	0.18381	0.87927	27.5	10080.1.13	75
