time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(Â°/s),AsY(Â°/s),AsZ(Â°/s),AngleX(Â°),AngleY(Â°),AngleZ(Â°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(Â°C),Version(),Battery
2024-11-7 21:41:25.960,WT1(4A3DE8A6FBCE),0.368,-0.206,1.118,-2.014,-0.427,-1.16,-9.97,-14.72,65.79,46.725,12.625,-12.85,-0.84204,-0.01199,0.13162,-0.52289,32.8,10080.1.7,10.0
2024-11-7 21:41:25.960,WT1(4A3DE8A6FBCE),0.349,-0.224,1.128,-3.662,2.563,-0.732,-10.02,-14.72,65.79,46.725,12.625,-12.85,-0.84204,-0.01199,0.13162,-0.52289,32.8,10080.1.7,10.0
2024-11-7 21:41:25.960,WT1(4A3DE8A6FBCE),0.341,-0.264,1.158,-2.869,2.502,0.366,-10.07,-14.71,65.79,46.725,12.625,-12.85,-0.84204,-0.01199,0.13162,-0.52289,32.8,10080.1.7,10.0
2024-11-7 21:41:25.960,WT1(4A3DE8A6FBCE),0.316,-0.313,1.187,2.258,0.244,1.221,-10.09,-14.71,65.81,46.725,12.625,-12.85,-0.84204,-0.01199,0.13162,-0.52289,32.8,10080.1.7,10.0
2024-11-7 21:41:25.990,WT1(4A3DE8A6FBCE),0.298,-0.345,1.206,10.803,-0.732,2.014,-10.03,-14.73,65.85,46.725,12.625,-12.85,-0.84204,-0.01199,0.13162,-0.52289,32.8,10080.1.7,10.0
2024-11-7 21:41:25.990,WT1(4A3DE8A6FBCE),0.273,-0.37,1.206,23.254,-2.136,4.089,-9.85,-14.76,65.9,46.725,12.625,-12.85,-0.84204,-0.01199,0.13162,-0.52289,32.8,10080.1.7,10.0
2024-11-7 21:41:25.990,WT1(4A3DE8A6FBCE),0.25,-0.456,1.292,36.56,-2.502,8.728,-9.58,-14.79,65.99,46.725,12.625,-12.85,-0.84204,-0.01199,0.13162,-0.52289,32.8,10080.1.7,10.0
2024-11-7 21:41:25.990,WT1(4A3DE8A6FBCE),0.315,-0.515,1.367,59.875,-12.573,9.521,-9.1,-14.88,66.12,46.725,12.625,-12.85,-0.83386,-0.01501,0.1442,-0.53247,32.8,10080.1.7,10.0
2024-11-7 21:41:26.20,WT1(4A3DE8A6FBCE),0.466,-0.531,1.459,92.529,-25.452,9.338,-8.34,-15.11,66.26,46.725,12.625,-12.85,-0.83386,-0.01501,0.1442,-0.53247,32.8,10080.1.7,10.0
2024-11-7 21:41:26.20,WT1(4A3DE8A6FBCE),0.19,-0.724,1.913,163.33,24.719,26.55,-7.01,-15.1,66.46,46.725,12.625,-12.85,-0.83386,-0.01501,0.1442,-0.53247,32.8,10080.1.7,10.0
2024-11-7 21:41:26.20,WT1(4A3DE8A6FBCE),0.317,-0.679,1.694,219.727,-3.296,5.31,-5.04,-14.92,66.57,46.725,12.625,-12.85,-0.83386,-0.01501,0.1442,-0.53247,32.8,10080.1.7,10.0
2024-11-7 21:41:26.20,WT1(4A3DE8A6FBCE),0.419,-0.549,1.668,296.57,-62.561,-10.01,-2.32,-15.47,66.54,46.725,12.625,-12.85,-0.83386,-0.01501,0.1442,-0.53247,32.8,10080.1.7,10.0
2024-11-7 21:41:26.80,WT1(4A3DE8A6FBCE),0.437,-0.347,1.451,363.525,-53.955,-17.944,1.12,-16.06,66.4,46.725,12.625,-12.85,-0.83386,-0.01501,0.1442,-0.53247,32.8,10080.1.7,10.0
2024-11-7 21:41:26.80,WT1(4A3DE8A6FBCE),0.486,-0.123,1.211,407.776,-50.903,-28.748,5.11,-16.56,66.12,46.725,12.625,-12.85,-0.83386,-0.01501,0.1442,-0.53247,32.8,10080.1.7,10.0
2024-11-7 21:41:26.80,WT1(4A3DE8A6FBCE),0.531,0.048,1.058,427.429,-48.218,-37.231,9.39,-17.01,65.7,46.725,12.625,-12.85,-0.83386,-0.01501,0.1442,-0.53247,32.8,10080.1.7,10.0
2024-11-7 21:41:26.80,WT1(4A3DE8A6FBCE),0.572,0.186,0.948,416.26,-32.654,-37.537,13.64,-17.31,65.27,46.725,12.625,-12.85,-0.83386,-0.01501,0.1442,-0.53247,32.8,10080.1.7,10.0
2024-11-7 21:41:26.110,WT1(4A3DE8A6FBCE),0.57,0.199,1.045,407.104,-11.353,-40.649,17.76,-17.37,64.86,46.725,12.625,-12.85,-0.83386,-0.01501,0.1442,-0.53247,32.8,10080.1.7,10.0
2024-11-7 21:41:26.110,WT1(4A3DE8A6FBCE),0.512,0.165,1.192,415.405,12.329,-46.57,21.91,-17.18,64.48,46.725,12.625,-12.85,-0.83386,-0.01501,0.1442,-0.53247,32.8,10080.1.7,10.0
2024-11-7 21:41:26.110,WT1(4A3DE8A6FBCE),0.466,0.272,1.133,413.208,28.87,-46.326,26.07,-16.78,64.19,46.725,12.625,-12.85,-0.83386,-0.01501,0.1442,-0.53247,32.8,10080.1.7,10.0
2024-11-7 21:41:26.110,WT1(4A3DE8A6FBCE),0.465,0.422,0.958,392.151,28.625,-44.128,30.02,-16.33,63.97,46.725,12.625,-12.85,-0.83386,-0.01501,0.1442,-0.53247,32.8,10080.1.7,10.0
