time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-11-7 21:49:56.263	WT1(4A3DE8A6FBCE)	-0.516	-0.808	1.111	364.685	-15.320	30.762	-26.17	34.48	81.72	72.667	9.258	32.717	-0.60458	0.46225	0.01147	-0.64850	31.3	10080.1.7	10
2024-11-7 21:49:56.264	WT1(4A3DE8A6FBCE)	-0.538	-0.605	0.805	387.817	-18.555	41.077	-22.12	34.43	82.18	72.667	9.258	32.717	-0.60458	0.46225	0.01147	-0.64850	31.3	10080.1.7	10
2024-11-7 21:49:56.264	WT1(4A3DE8A6FBCE)	-0.465	-0.351	0.609	382.507	-36.316	48.584	-17.98	34.25	82.79	72.667	9.258	32.717	-0.60458	0.46225	0.01147	-0.64850	31.3	10080.1.7	10
2024-11-7 21:49:56.264	WT1(4A3DE8A6FBCE)	-0.316	-0.133	0.509	363.586	-57.434	51.575	-13.95	33.84	83.50	72.667	9.258	32.717	-0.60458	0.46225	0.01147	-0.64850	31.3	10080.1.7	10
2024-11-7 21:49:56.324	WT1(4A3DE8A6FBCE)	-0.195	-0.041	0.598	348.816	-72.144	47.241	-10.12	33.22	84.18	72.667	9.258	32.717	-0.60458	0.46225	0.01147	-0.64850	31.3	10080.1.7	10
2024-11-7 21:49:56.324	WT1(4A3DE8A6FBCE)	-0.287	0.036	0.704	337.402	-57.434	39.307	-6.48	32.62	84.72	72.667	9.258	32.717	-0.60458	0.46225	0.01147	-0.64850	31.3	10080.1.7	10
2024-11-7 21:49:56.324	WT1(4A3DE8A6FBCE)	-0.566	0.105	0.695	329.224	-23.499	33.142	-3.02	32.29	85.11	72.667	9.258	32.717	-0.60458	0.46225	0.01147	-0.64850	31.3	10080.1.7	10
2024-11-7 21:49:56.325	WT1(4A3DE8A6FBCE)	-1.118	0.195	0.588	317.322	3.601	31.616	0.31	32.23	85.44	72.667	9.258	32.717	-0.60458	0.46225	0.01147	-0.64850	31.3	10080.1.7	10
2024-11-7 21:49:56.355	WT1(4A3DE8A6FBCE)	-1.613	0.491	-0.106	249.878	7.080	45.715	3.23	32.28	85.87	72.667	9.258	32.717	-0.60458	0.46225	0.01147	-0.64850	31.3	10080.1.7	10
2024-11-7 21:49:56.355	WT1(4A3DE8A6FBCE)	-1.663	0.768	-1.138	3.052	-2.808	93.323	4.43	32.18	86.79	72.667	9.258	32.717	-0.60458	0.46225	0.01147	-0.64850	31.3	10080.1.7	10
2024-11-7 21:49:56.355	WT1(4A3DE8A6FBCE)	-1.341	0.420	-1.338	-366.211	-26.489	144.958	2.52	31.91	88.31	72.667	9.258	32.717	-0.60458	0.46225	0.01147	-0.64850	31.3	10080.1.7	10
2024-11-7 21:49:56.355	WT1(4A3DE8A6FBCE)	-1.130	-0.547	-0.994	-735.046	-70.129	176.025	-2.91	31.32	90.26	76.092	2.850	5.308	-0.60458	0.46225	0.01147	-0.64850	31.3	10080.1.7	10
2024-11-7 21:49:56.384	WT1(4A3DE8A6FBCE)	-0.975	-1.643	-0.572	-1032.349	-122.986	191.711	-11.38	30.48	92.58	76.092	2.850	5.308	-0.60458	0.46225	0.01147	-0.64850	31.3	10080.1.7	10
2024-11-7 21:49:56.384	WT1(4A3DE8A6FBCE)	-0.533	-2.709	-0.026	-1215.637	-218.933	178.101	-21.90	29.18	95.18	76.092	2.850	5.308	-0.60458	0.46225	0.01147	-0.64850	31.3	10080.1.7	10
2024-11-7 21:49:56.384	WT1(4A3DE8A6FBCE)	0.742	-3.540	0.916	-1249.817	-315.002	138.245	-33.07	27.27	98.12	76.092	2.850	5.308	-0.60458	0.46225	0.01147	-0.64850	31.3	10080.1.7	10
2024-11-7 21:49:56.384	WT1(4A3DE8A6FBCE)	1.712	-7.868	-7.799	-761.536	-322.998	1.404	-41.88	25.06	100.74	76.092	2.850	5.308	-0.60458	0.46225	0.01147	-0.64850	31.3	10080.1.7	10
2024-11-7 21:49:56.444	WT1(4A3DE8A6FBCE)	-0.183	-1.658	5.698	159.363	-335.815	-188.049	-39.13	20.62	101.11	76.092	2.850	5.308	-0.60458	0.46225	0.01147	-0.64850	31.3	10080.1.7	10
