time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-10-29 11:9:23.352	WT901BLE67(919C7A43D1FF)	0.297	0.914	0.365	1.099	0.366	-0.427	69.07	-16.22	155.55	4.367	-47.242	6.675	0.09412	0.23355	0.52774	0.81116	26.1	10080.1.7	0
2024-10-29 11:9:23.352	WT901BLE67(919C7A43D1FF)	0.298	0.918	0.355	2.380	-0.549	-0.854	69.10	-16.22	155.54	4.367	-47.242	6.675	0.09412	0.23355	0.52774	0.81116	26.1	10080.1.7	0
2024-10-29 11:9:23.352	WT901BLE67(919C7A43D1FF)	0.283	0.913	0.344	3.784	0.000	-1.709	69.14	-16.20	155.53	4.367	-47.242	6.675	0.09412	0.23355	0.52774	0.81116	26.1	10080.1.7	0
2024-10-29 11:9:23.352	WT901BLE67(919C7A43D1FF)	0.272	0.921	0.312	5.615	-0.244	-2.869	69.21	-16.18	155.51	4.367	-47.242	6.675	0.09412	0.23355	0.52774	0.81116	26.1	10080.1.7	0
2024-10-29 11:9:23.413	WT901BLE67(919C7A43D1FF)	0.267	0.915	0.292	5.249	-0.610	-2.625	69.27	-16.16	155.49	4.367	-47.242	6.675	0.09412	0.23355	0.52774	0.81116	26.1	10080.1.7	0
2024-10-29 11:9:23.414	WT901BLE67(919C7A43D1FF)	0.272	0.918	0.270	4.944	-0.977	-2.075	69.34	-16.13	155.47	4.367	-47.242	6.675	0.09412	0.23355	0.52774	0.81116	26.1	10080.1.7	0
2024-10-29 11:9:23.414	WT901BLE67(919C7A43D1FF)	0.274	0.918	0.250	2.930	-1.343	-2.197	69.39	-16.12	155.45	4.367	-47.242	6.675	0.09412	0.23355	0.52774	0.81116	26.1	10080.1.7	0
2024-10-29 11:9:23.414	WT901BLE67(919C7A43D1FF)	0.270	0.923	0.241	0.305	-0.549	-2.625	69.41	-16.09	155.42	4.367	-47.242	6.675	0.09412	0.23355	0.52774	0.81116	26.1	10080.1.7	0
2024-10-29 11:9:23.447	WT901BLE67(919C7A43D1FF)	0.266	0.916	0.237	-1.953	0.549	-2.563	69.41	-16.07	155.41	4.367	-47.242	6.675	0.09412	0.23355	0.52774	0.81116	26.1	10080.1.7	0
2024-10-29 11:9:23.448	WT901BLE67(919C7A43D1FF)	0.271	0.909	0.236	-3.357	0.732	-2.319	69.38	-16.05	155.41	4.367	-47.242	6.675	0.09412	0.23355	0.52774	0.81116	26.1	10080.1.7	0
2024-10-29 11:9:23.448	WT901BLE67(919C7A43D1FF)	0.272	0.907	0.241	-4.150	0.793	-1.526	69.35	-16.02	155.40	4.367	-47.242	6.675	0.09412	0.23355	0.52774	0.81116	26.1	10080.1.7	0
2024-10-29 11:9:23.448	WT901BLE67(919C7A43D1FF)	0.275	0.902	0.246	-4.333	1.282	-0.793	69.31	-16.01	155.41	4.367	-47.242	6.675	0.09412	0.23355	0.52774	0.81116	26.1	10080.1.7	0
2024-10-29 11:9:23.473	WT901BLE67(919C7A43D1FF)	0.280	0.904	0.248	-4.578	1.465	0.000	69.27	-16.00	155.42	4.367	-47.242	6.675	0.09412	0.23355	0.52774	0.81116	26.1	10080.1.7	0
2024-10-29 11:9:23.474	WT901BLE67(919C7A43D1FF)	0.287	0.905	0.258	-5.310	0.854	0.610	69.22	-16.00	155.42	4.367	-47.242	6.675	0.09412	0.23355	0.52774	0.81116	26.1	10080.1.7	0
2024-10-29 11:9:23.474	WT901BLE67(919C7A43D1FF)	0.288	0.905	0.271	-5.554	0.366	0.488	69.16	-16.00	155.43	4.367	-47.242	6.675	0.09412	0.23355	0.52774	0.81116	26.1	10080.1.7	0
2024-10-29 11:9:23.474	WT901BLE67(919C7A43D1FF)	0.281	0.908	0.278	-5.249	0.732	0.244	69.11	-16.00	155.43	4.367	-47.242	6.675	0.09412	0.23355	0.52774	0.81116	26.1	10080.1.7	0
2024-10-29 11:9:23.533	WT901BLE67(919C7A43D1FF)	0.279	0.911	0.281	-5.859	1.221	1.038	69.06	-16.00	155.44	4.367	-47.242	6.675	0.09412	0.23355	0.52774	0.81116	26.1	10080.1.7	0
2024-10-29 11:9:23.533	WT901BLE67(919C7A43D1FF)	0.285	0.910	0.288	-6.165	1.099	1.892	69.00	-16.01	155.45	4.367	-47.242	6.675	0.09412	0.23355	0.52774	0.81116	26.1	10080.1.7	0
