time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-10-29 11:19:0.5	WT901BLE67(919C7A43D1FF)	0.107	0.443	0.884	-4.272	0.061	3.418	26.58	-5.79	-31.00	-15.483	-5.392	-38.692	0.93982	0.19910	-0.11279	-0.25354	25.9	10080.1.7	0
2024-10-29 11:19:0.5	WT901BLE67(919C7A43D1FF)	0.111	0.435	0.893	-3.174	-1.160	3.052	26.55	-5.81	-30.98	-15.483	-5.392	-38.692	0.93982	0.19910	-0.11279	-0.25354	25.9	10080.1.7	0
2024-10-29 11:19:0.5	WT901BLE67(919C7A43D1FF)	0.114	0.441	0.897	-2.075	-1.343	2.441	26.53	-5.83	-30.96	-15.483	-5.392	-38.692	0.93982	0.19910	-0.11279	-0.25354	25.9	10080.1.7	0
2024-10-29 11:19:0.5	WT901BLE67(919C7A43D1FF)	0.117	0.447	0.891	-2.319	-0.793	2.563	26.51	-5.86	-30.95	-15.483	-5.392	-38.692	0.93982	0.19910	-0.11279	-0.25354	25.9	10080.1.7	0
2024-10-29 11:19:0.36	WT901BLE67(919C7A43D1FF)	0.105	0.448	0.899	-3.479	-0.061	2.136	26.48	-5.87	-30.93	-15.483	-5.392	-38.692	0.93982	0.19910	-0.11279	-0.25354	25.9	10080.1.7	0
2024-10-29 11:19:0.36	WT901BLE67(919C7A43D1FF)	0.102	0.441	0.901	-3.479	-0.671	0.793	26.44	-5.88	-30.92	-15.483	-5.392	-38.692	0.93982	0.19910	-0.11279	-0.25354	25.9	10080.1.7	0
2024-10-29 11:19:0.36	WT901BLE67(919C7A43D1FF)	0.081	0.430	0.904	-3.235	-1.526	-0.610	26.42	-5.89	-30.93	-15.483	-5.392	-38.692	0.93982	0.19910	-0.11279	-0.25354	25.9	10080.1.7	0
2024-10-29 11:19:0.36	WT901BLE67(919C7A43D1FF)	0.090	0.426	0.900	-2.930	-3.540	0.061	26.39	-5.92	-30.94	-15.483	-5.392	-38.692	0.93982	0.19910	-0.11279	-0.25354	25.9	10080.1.7	0
2024-10-29 11:19:0.66	WT901BLE67(919C7A43D1FF)	0.132	0.429	0.901	-2.747	-8.362	1.831	26.37	-5.99	-30.96	-15.483	-5.392	-38.692	0.93982	0.19910	-0.11279	-0.25354	25.9	10080.1.7	0
2024-10-29 11:19:0.67	WT901BLE67(919C7A43D1FF)	0.138	0.438	0.908	-2.563	-9.460	1.648	26.35	-6.08	-30.99	-15.483	-5.392	-38.692	0.93982	0.19910	-0.11279	-0.25354	25.9	10080.1.7	0
2024-10-29 11:19:0.67	WT901BLE67(919C7A43D1FF)	0.136	0.430	0.913	-2.563	-5.066	1.038	26.32	-6.15	-31.01	-16.808	2.592	-41.558	0.93982	0.19910	-0.11279	-0.25354	25.9	10080.1.7	0
2024-10-29 11:19:0.67	WT901BLE67(919C7A43D1FF)	0.143	0.426	0.915	-1.892	-4.517	1.099	26.30	-6.20	-31.02	-16.808	2.592	-41.558	0.93982	0.19910	-0.11279	-0.25354	25.9	10080.1.7	0
2024-10-29 11:19:0.185	WT901BLE67(919C7A43D1FF)	0.135	0.425	0.912	-0.305	-2.869	1.648	26.30	-6.23	-31.02	-16.808	2.592	-41.558	0.93982	0.19910	-0.11279	-0.25354	25.9	10080.1.7	0
2024-10-29 11:19:0.186	WT901BLE67(919C7A43D1FF)	0.122	0.429	0.902	2.319	2.319	2.991	26.31	-6.24	-31.00	-16.808	2.592	-41.558	0.93982	0.19910	-0.11279	-0.25354	25.9	10080.1.7	0
2024-10-29 11:19:0.186	WT901BLE67(919C7A43D1FF)	0.121	0.450	0.882	2.991	2.747	3.662	26.33	-6.23	-30.95	-16.808	2.592	-41.558	0.93982	0.19910	-0.11279	-0.25354	25.9	10080.1.7	0
2024-10-29 11:19:0.186	WT901BLE67(919C7A43D1FF)	0.112	0.466	0.865	1.953	1.282	3.784	26.35	-6.23	-30.91	-16.808	2.592	-41.558	0.93982	0.19910	-0.11279	-0.25354	25.9	10080.1.7	0
2024-10-29 11:19:0.186	WT901BLE67(919C7A43D1FF)	0.104	0.471	0.857	0.305	0.427	3.296	26.36	-6.25	-30.88	-16.808	2.592	-41.558	0.93982	0.19910	-0.11279	-0.25354	25.9	10080.1.7	0
2024-10-29 11:19:0.186	WT901BLE67(919C7A43D1FF)	0.113	0.472	0.855	-2.014	-2.136	2.625	26.35	-6.27	-30.86	-16.808	2.592	-41.558	0.93982	0.19910	-0.11279	-0.25354	25.9	10080.1.7	0
2024-10-29 11:19:0.186	WT901BLE67(919C7A43D1FF)	0.124	0.461	0.868	-3.235	-4.944	1.770	26.32	-6.32	-30.86	-16.808	2.592	-41.558	0.93982	0.19910	-0.11279	-0.25354	25.9	10080.1.7	0
2024-10-29 11:19:0.187	WT901BLE67(919C7A43D1FF)	0.136	0.450	0.876	-3.479	-5.859	1.526	26.28	-6.38	-30.87	-16.808	2.592	-41.558	0.93982	0.19910	-0.11279	-0.25354	25.9	10080.1.7	0
2024-10-29 11:19:0.187	WT901BLE67(919C7A43D1FF)	0.146	0.446	0.885	-3.418	-6.042	1.343	26.25	-6.44	-30.89	-16.808	2.592	-41.558	0.93982	0.19910	-0.11279	-0.25354	25.9	10080.1.7	0
