time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(Â°/s),AsY(Â°/s),AsZ(Â°/s),AngleX(Â°),AngleY(Â°),AngleZ(Â°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(Â°C),Version(),Battery
2024-10-21 20:7:37.86,WT901BLE67(C3F20D2DC0A7),0.038,0.008,0.997,-1.831,-0.122,0.122,-1.79,-2.33,107.96,64.417,-24.233,14.808,0.58838,0.01654,-0.01282,0.80823,28.3,10080.1.7,60.0
2024-10-21 20:7:37.86,WT901BLE67(C3F20D2DC0A7),0.046,0.005,1.002,-1.831,-0.488,0.366,-1.8,-2.33,107.96,64.417,-24.233,14.808,0.58838,0.01654,-0.01282,0.80823,28.3,10080.1.7,60.0
2024-10-21 20:7:37.86,WT901BLE67(C3F20D2DC0A7),0.053,-0.001,1.012,-1.831,-0.061,0.793,-1.82,-2.33,107.97,64.417,-24.233,14.808,0.58838,0.01654,-0.01282,0.80823,28.3,10080.1.7,60.0
2024-10-21 20:7:37.86,WT901BLE67(C3F20D2DC0A7),0.05,-0.006,1.017,-1.465,0.244,0.488,-1.83,-2.33,107.98,64.417,-24.233,14.808,0.58838,0.01654,-0.01282,0.80823,28.3,10080.1.7,60.0
2024-10-21 20:7:37.116,WT901BLE67(C3F20D2DC0A7),0.051,-0.011,1.02,-0.916,0.366,0.122,-1.84,-2.33,107.98,64.417,-24.233,14.808,0.5878,0.01437,-0.01456,0.80869,28.3,10080.1.7,60.0
2024-10-21 20:7:37.117,WT901BLE67(C3F20D2DC0A7),0.047,-0.011,1.016,-0.549,-0.366,-0.488,-1.85,-2.33,107.98,64.417,-24.233,14.808,0.5878,0.01437,-0.01456,0.80869,28.3,10080.1.7,60.0
2024-10-21 20:7:37.117,WT901BLE67(C3F20D2DC0A7),0.045,-0.013,1.024,0.061,-0.427,-0.977,-1.85,-2.34,107.97,64.417,-24.233,14.808,0.5878,0.01437,-0.01456,0.80869,28.3,10080.1.7,60.0
2024-10-21 20:7:37.117,WT901BLE67(C3F20D2DC0A7),0.049,-0.015,1.024,0.366,-0.244,-0.854,-1.84,-2.34,107.96,64.417,-24.233,14.808,0.5878,0.01437,-0.01456,0.80869,28.3,10080.1.7,60.0
2024-10-21 20:7:37.146,WT901BLE67(C3F20D2DC0A7),0.047,-0.014,1.025,0.793,0.0,-0.732,-1.83,-2.34,107.96,64.417,-24.233,14.808,0.5878,0.01437,-0.01456,0.80869,28.3,10080.1.7,60.0
2024-10-21 20:7:37.146,WT901BLE67(C3F20D2DC0A7),0.046,-0.008,1.021,1.282,0.488,-0.732,-1.82,-2.34,107.95,64.417,-24.233,14.808,0.5878,0.01437,-0.01456,0.80869,28.3,10080.1.7,60.0
2024-10-21 20:7:37.146,WT901BLE67(C3F20D2DC0A7),0.05,-0.002,1.014,1.526,0.61,-0.488,-1.8,-2.33,107.95,64.417,-24.233,14.808,0.5878,0.01437,-0.01456,0.80869,28.3,10080.1.7,60.0
2024-10-21 20:7:37.146,WT901BLE67(C3F20D2DC0A7),0.052,0.004,1.008,1.77,0.244,-0.732,-1.79,-2.33,107.95,64.417,-24.233,14.808,0.5878,0.01437,-0.01456,0.80869,28.3,10080.1.7,60.0
2024-10-21 20:7:37.216,WT901BLE67(C3F20D2DC0A7),0.046,0.007,1.001,1.892,0.305,-1.16,-1.77,-2.33,107.94,64.417,-24.233,14.808,0.5878,0.01437,-0.01456,0.80869,28.3,10080.1.7,60.0
