time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-10-21 20:40:7.876	WT901BLE67(C3F20D2DC0A7)	-0.903	0.511	0.170	-4.944	-0.366	19.714	55.35	54.88	160.58	82.208	-45.650	-3.133	0.33820	-0.32709	0.48764	0.73532	30.5	10080.1.7	60
2024-10-21 20:40:7.876	WT901BLE67(C3F20D2DC0A7)	-0.736	0.553	0.175	-10.498	-11.780	27.039	55.38	54.62	160.70	82.208	-45.650	-3.133	0.33820	-0.32709	0.48764	0.73532	30.5	10080.1.7	60
2024-10-21 20:40:7.876	WT901BLE67(C3F20D2DC0A7)	-0.653	0.539	0.245	-14.160	-11.963	27.161	55.33	54.32	160.80	82.208	-45.650	-3.133	0.33820	-0.32709	0.48764	0.73532	30.5	10080.1.7	60
2024-10-21 20:40:7.876	WT901BLE67(C3F20D2DC0A7)	-0.637	0.495	0.337	-12.634	-3.784	22.827	55.32	54.09	160.94	82.208	-45.650	-3.133	0.33820	-0.32709	0.48764	0.73532	30.5	10080.1.7	60
2024-10-21 20:40:7.908	WT901BLE67(C3F20D2DC0A7)	-0.680	0.479	0.386	-6.958	5.127	16.602	55.40	53.95	161.16	82.208	-45.650	-3.133	0.33820	-0.32709	0.48764	0.73532	30.5	10080.1.7	60
2024-10-21 20:40:7.909	WT901BLE67(C3F20D2DC0A7)	-0.750	0.499	0.358	0.183	10.559	10.193	55.57	53.90	161.39	82.208	-45.650	-3.133	0.33820	-0.32709	0.48764	0.73532	30.5	10080.1.7	60
2024-10-21 20:40:7.909	WT901BLE67(C3F20D2DC0A7)	-0.789	0.541	0.279	4.150	11.230	5.981	55.78	53.89	161.60	82.208	-45.650	-3.133	0.33820	-0.32709	0.48764	0.73532	30.5	10080.1.7	60
2024-10-21 20:40:7.909	WT901BLE67(C3F20D2DC0A7)	-0.797	0.566	0.225	3.479	7.751	3.967	55.94	53.90	161.76	82.208	-45.650	-3.133	0.33820	-0.32709	0.48764	0.73532	30.5	10080.1.7	60
2024-10-21 20:40:7.939	WT901BLE67(C3F20D2DC0A7)	-0.781	0.564	0.209	2.625	3.174	3.052	56.04	53.89	161.85	82.208	-45.650	-3.133	0.33820	-0.32709	0.48764	0.73532	30.5	10080.1.7	60
2024-10-21 20:40:7.939	WT901BLE67(C3F20D2DC0A7)	-0.748	0.557	0.201	1.587	-1.343	2.136	56.06	53.86	161.86	82.208	-45.650	-3.133	0.33820	-0.32709	0.48764	0.73532	30.5	10080.1.7	60
