time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-11-7 21:53:31.124	WT1(4A3DE8A6FBCE)	-0.018	-0.112	1.684	83.496	99.670	-7.935	8.56	-18.59	142.50	-122.842	-45.417	26.167	0.27631	0.07477	0.08749	0.95410	30.9	10080.1.7	10
2024-11-7 21:53:31.124	WT1(4A3DE8A6FBCE)	0.095	0.066	1.290	92.102	112.183	14.038	9.35	-17.45	142.84	-122.842	-45.417	26.167	0.27631	0.07477	0.08749	0.95410	30.9	10080.1.7	10
2024-11-7 21:53:31.124	WT1(4A3DE8A6FBCE)	0.391	0.061	1.282	93.567	44.373	20.325	10.15	-16.88	143.17	-122.842	-45.417	26.167	0.27631	0.07477	0.08749	0.95410	30.9	10080.1.7	10
2024-11-7 21:53:31.124	WT1(4A3DE8A6FBCE)	0.477	-0.017	1.433	113.892	35.522	23.071	11.11	-16.61	143.48	-122.842	-45.417	26.167	0.27631	0.07477	0.08749	0.95410	30.9	10080.1.7	10
2024-11-7 21:53:31.155	WT1(4A3DE8A6FBCE)	0.393	-0.015	1.438	148.254	68.237	20.508	12.37	-16.07	143.85	-122.842	-45.417	26.167	0.27631	0.07477	0.08749	0.95410	30.9	10080.1.7	10
2024-11-7 21:53:31.155	WT1(4A3DE8A6FBCE)	0.276	0.018	1.377	175.537	86.975	11.841	13.91	-15.30	144.22	-122.842	-45.417	26.167	0.27631	0.07477	0.08749	0.95410	30.9	10080.1.7	10
2024-11-7 21:53:31.155	WT1(4A3DE8A6FBCE)	0.143	-0.001	1.474	211.609	87.463	4.517	15.81	-14.49	144.55	-122.842	-45.417	26.167	0.27631	0.07477	0.08749	0.95410	30.9	10080.1.7	10
2024-11-7 21:53:31.155	WT1(4A3DE8A6FBCE)	0.009	-0.050	1.606	259.338	81.360	2.075	18.15	-13.72	144.85	-122.842	-45.417	26.167	0.27631	0.07477	0.08749	0.95410	30.9	10080.1.7	10
2024-11-7 21:53:31.184	WT1(4A3DE8A6FBCE)	-0.072	0.023	1.445	302.246	71.716	7.019	20.94	-13.05	145.20	-122.842	-45.417	26.167	0.27631	0.07477	0.08749	0.95410	30.9	10080.1.7	10
2024-11-7 21:53:31.184	WT1(4A3DE8A6FBCE)	-0.083	0.165	1.160	321.045	54.443	18.555	23.97	-12.58	145.60	-122.842	-45.417	26.167	0.27631	0.07477	0.08749	0.95410	30.9	10080.1.7	10
