time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(Â°/s),AsY(Â°/s),AsZ(Â°/s),AngleX(Â°),AngleY(Â°),AngleZ(Â°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(Â°C),Version(),Battery
2024-11-7 21:57:13.302,WT1(4A3DE8A6FBCE),-0.245,0.537,0.388,3.967,-11.658,8.179,37.4,26.03,172.96,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.302,WT1(4A3DE8A6FBCE),-0.369,0.547,0.394,8.179,13.245,4.089,37.51,26.05,173.05,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.302,WT1(4A3DE8A6FBCE),-0.474,0.542,0.398,13.245,25.391,0.488,37.7,26.21,173.22,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.302,WT1(4A3DE8A6FBCE),-0.522,0.532,0.389,19.775,27.893,0.305,37.96,26.42,173.42,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.332,WT1(4A3DE8A6FBCE),-0.497,0.555,0.341,25.391,23.193,2.686,38.29,26.59,173.61,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.332,WT1(4A3DE8A6FBCE),-0.432,0.571,0.304,27.466,14.282,4.517,38.62,26.69,173.76,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.332,WT1(4A3DE8A6FBCE),-0.443,0.561,0.333,29.602,12.451,4.639,38.96,26.75,173.89,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.332,WT1(4A3DE8A6FBCE),-0.463,0.562,0.292,36.011,11.536,1.099,39.34,26.82,173.99,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.392,WT1(4A3DE8A6FBCE),-0.519,0.577,0.239,36.926,8.24,-1.587,39.73,26.89,174.04,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.392,WT1(4A3DE8A6FBCE),-0.539,0.606,0.192,32.532,8.057,2.441,40.09,26.94,174.11,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.392,WT1(4A3DE8A6FBCE),-0.562,0.607,0.186,25.024,-0.61,8.484,40.39,26.91,174.18,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.392,WT1(4A3DE8A6FBCE),-0.63,0.581,0.241,24.902,-12.146,10.803,40.63,26.77,174.19,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.423,WT1(4A3DE8A6FBCE),-0.577,0.584,0.242,27.466,-23.743,18.127,40.88,26.52,174.17,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.423,WT1(4A3DE8A6FBCE),-0.487,0.6,0.243,43.701,-40.039,28.015,41.25,26.08,174.1,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.423,WT1(4A3DE8A6FBCE),-0.354,0.56,0.272,40.894,-52.49,29.724,41.58,25.53,173.96,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.423,WT1(4A3DE8A6FBCE),-0.325,0.561,0.312,59.021,-48.34,29.419,42.07,24.97,173.81,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.452,WT1(4A3DE8A6FBCE),-0.327,0.554,0.308,83.069,-44.189,25.818,42.74,24.48,173.68,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.453,WT1(4A3DE8A6FBCE),-0.411,0.574,0.288,80.872,-34.607,18.86,43.49,24.08,173.56,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.453,WT1(4A3DE8A6FBCE),-0.537,0.577,0.272,79.895,-29.48,15.381,44.24,23.75,173.43,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.453,WT1(4A3DE8A6FBCE),-0.528,0.584,0.261,66.345,-35.583,15.015,44.86,23.43,173.28,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.487,WT1(4A3DE8A6FBCE),-0.453,0.612,0.242,56.885,-56.091,13.0,45.32,22.99,172.98,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.487,WT1(4A3DE8A6FBCE),-0.515,0.598,0.3,49.072,-65.918,10.315,45.63,22.48,172.53,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.487,WT1(4A3DE8A6FBCE),-0.5,0.626,0.218,51.514,-64.819,14.343,45.96,21.97,172.11,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.487,WT1(4A3DE8A6FBCE),-0.403,0.681,0.161,37.598,-71.472,19.409,46.22,21.38,171.68,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.572,WT1(4A3DE8A6FBCE),-0.432,0.584,0.283,19.287,-74.829,20.935,46.27,20.75,171.24,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.572,WT1(4A3DE8A6FBCE),-0.431,0.525,0.366,22.583,-74.951,19.714,46.31,20.12,170.78,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.573,WT1(4A3DE8A6FBCE),-0.337,0.521,0.409,27.832,-89.478,24.353,46.38,19.4,170.27,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.573,WT1(4A3DE8A6FBCE),-0.365,0.486,0.538,43.457,-81.116,29.114,46.59,18.64,169.79,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.573,WT1(4A3DE8A6FBCE),-0.344,0.571,0.459,64.026,-85.022,25.452,47.02,17.92,169.33,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.573,WT1(4A3DE8A6FBCE),-0.283,0.637,0.376,71.045,-98.083,16.663,47.49,17.18,168.7,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
2024-11-7 21:57:13.573,WT1(4A3DE8A6FBCE),-0.349,0.699,0.38,79.59,-93.689,12.573,48.08,16.47,168.02,159.308,-14.375,-30.583,0.1254,-0.20758,0.33899,0.90894,30.8,10080.1.7,10.0
